,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년11월_계_총인구수,"9,128","6,478",879,444,"1,327"
2020년11월_계_연령구간인구수,"9,128","6,478",879,444,"1,327"
2020년11월_계_0~9세,399,295,41,16,47
2020년11월_계_10~19세,468,377,36,15,40
2020년11월_계_20~29세,836,610,86,25,115
2020년11월_계_30~39세,868,651,57,32,128
2020년11월_계_40~49세,"1,297",994,100,32,171
2020년11월_계_50~59세,"1,873","1,344",191,88,250
2020년11월_계_60~69세,"1,759","1,211",170,101,277
2020년11월_계_70~79세,"1,044",670,115,89,170
2020년11월_계_80~89세,494,279,76,30,109
2020년11월_계_90~99세,78,35,7,16,20
2020년11월_계_100세 이상,12,12,0,0,0
2020년11월_남_총인구수,"4,993","3,538",480,239,736
2020년11월_남_연령구간인구수,"4,993","3,538",480,239,736
2020년11월_남_0~9세,209,155,20,10,24
2020년11월_남_10~19세,235,177,24,11,23
2020년11월_남_20~29세,504,353,66,11,74
2020년11월_남_30~39세,527,398,29,20,80
2020년11월_남_40~49세,796,601,62,21,112
2020년11월_남_50~59세,"1,092",784,111,51,146
2020년11월_남_60~69세,930,638,94,51,147
2020년11월_남_70~79세,479,306,47,47,79
2020년11월_남_80~89세,194,111,25,12,46
2020년11월_남_90~99세,22,10,2,5,5
2020년11월_남_100세 이상,5,5,0,0,0
2020년11월_여_총인구수,"4,135","2,940",399,205,591
2020년11월_여_연령구간인구수,"4,135","2,940",399,205,591
2020년11월_여_0~9세,190,140,21,6,23
2020년11월_여_10~19세,233,200,12,4,17
2020년11월_여_20~29세,332,257,20,14,41
2020년11월_여_30~39세,341,253,28,12,48
2020년11월_여_40~49세,501,393,38,11,59
2020년11월_여_50~59세,781,560,80,37,104
2020년11월_여_60~69세,829,573,76,50,130
2020년11월_여_70~79세,565,364,68,42,91
2020년11월_여_80~89세,300,168,51,18,63
2020년11월_여_90~99세,56,25,5,11,15
2020년11월_여_100세 이상,7,7,0,0,0
