카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년11월_계_총인구수,"427,463","4,783","6,867","4,804","3,116","9,135","12,381","38,548","19,359","12,031","12,684","23,413","10,323","5,741","20,925","16,017","15,734","7,775","16,032","13,458","14,136","29,952","13,855","10,949","12,544","2,534","22,412","37,938","30,017"
2021년11월_계_연령구간인구수,"427,463","4,783","6,867","4,804","3,116","9,135","12,381","38,548","19,359","12,031","12,684","23,413","10,323","5,741","20,925","16,017","15,734","7,775","16,032","13,458","14,136","29,952","13,855","10,949","12,544","2,534","22,412","37,938","30,017"
2021년11월_계_0~9세,"32,078",223,265,244,71,692,489,"2,585","1,674",502,878,"2,116",370,520,"1,664","1,066",982,265,820,424,953,"2,264","1,117",588,499,72,"2,623","3,818","4,294"
2021년11월_계_10~19세,"41,495",158,460,294,111,591,683,"3,630","2,243",873,"1,359","2,228",632,502,"1,628","1,856","1,414",590,"1,291",773,"1,626","4,491","1,681",965,754,124,"2,523","4,110","3,905"
2021년11월_계_20~29세,"61,406",852,"1,406",891,478,"1,221","2,343","7,268","2,464","1,680","1,778","2,991","1,291",717,"2,571","2,280","2,494","1,162","2,249","1,559","2,209","4,601","1,954","1,705","1,886",236,"2,725","5,162","3,233"
2021년11월_계_30~39세,"54,691",951,788,711,406,"1,406","1,974","4,790","2,200","1,306","1,425","3,463",942,748,"2,985","1,567","1,963",744,"1,695","1,260","1,678","2,915","1,628","1,246","1,442",215,"3,369","5,735","5,139"
2021년11월_계_40~49세,"65,841",627,853,720,376,"1,293","1,582","5,451","3,102","1,614","1,809","3,825","1,211",912,"2,936","2,388","2,300",956,"2,156","1,482","2,325","5,439","2,188","1,559","1,502",210,"4,014","6,566","6,445"
2021년11월_계_50~59세,"71,317",638,981,641,520,"1,352","1,947","6,654","3,067","2,063","2,210","3,869","1,741",871,"3,429","2,956","2,551","1,364","2,892","2,516","2,655","5,720","2,428","2,123","2,379",494,"3,429","5,955","3,872"
2021년11월_계_60~69세,"55,854",671,967,625,575,"1,321","1,755","4,718","2,779","2,113","1,917","2,920","2,058",753,"3,102","2,286","2,149","1,330","2,711","2,856","1,588","2,575","1,655","1,601","2,257",582,"2,119","3,891","1,980"
2021년11월_계_70~79세,"29,985",449,775,463,368,883,"1,073","2,400","1,334","1,287",861,"1,393","1,393",479,"1,725","1,089","1,213",943,"1,545","1,646",742,"1,205",769,799,"1,158",362,"1,006","1,814",811
2021년11월_계_80~89세,"12,922",196,332,194,166,326,491,936,437,527,373,529,595,213,772,466,579,370,586,825,310,655,371,310,584,208,522,757,292
2021년11월_계_90~99세,"1,808",16,40,19,39,48,42,113,58,62,74,72,89,24,107,61,86,49,86,114,50,83,62,50,83,30,79,127,45
2021년11월_계_100세 이상,66,2,0,2,6,2,2,3,1,4,0,7,1,2,6,2,3,2,1,3,0,4,2,3,0,1,3,3,1
2021년11월_남_총인구수,"212,180","2,474","3,505","2,541","1,676","4,506","6,513","19,213","9,359","6,061","6,078","11,529","5,005","2,872","10,295","7,764","7,470","3,873","7,930","6,471","7,286","14,671","6,786","5,567","6,121","1,320","11,349","19,075","14,870"
2021년11월_남_연령구간인구수,"212,180","2,474","3,505","2,541","1,676","4,506","6,513","19,213","9,359","6,061","6,078","11,529","5,005","2,872","10,295","7,764","7,470","3,873","7,930","6,471","7,286","14,671","6,786","5,567","6,121","1,320","11,349","19,075","14,870"
2021년11월_남_0~9세,"16,397",103,139,130,43,362,249,"1,291",856,233,444,"1,097",187,255,832,499,501,146,416,215,506,"1,165",584,295,230,38,"1,351","2,012","2,218"
2021년11월_남_10~19세,"21,840",88,229,157,53,306,360,"1,912","1,152",435,726,"1,189",338,248,890,961,726,313,673,409,911,"2,427",925,508,418,71,"1,305","2,083","2,027"
2021년11월_남_20~29세,"32,310",373,721,460,228,600,"1,205","3,862","1,267",887,972,"1,567",659,391,"1,368","1,231","1,265",600,"1,179",802,"1,252","2,515","1,050",912,962,139,"1,476","2,704","1,663"
2021년11월_남_30~39세,"28,514",502,464,430,244,726,"1,142","2,567","1,059",745,717,"1,754",514,386,"1,529",794,"1,040",403,907,675,885,"1,401",802,675,791,132,"1,696","3,046","2,488"
2021년11월_남_40~49세,"33,113",390,451,414,236,691,935,"2,727","1,427",847,833,"1,949",662,488,"1,542","1,097","1,139",515,"1,117",788,"1,120","2,373","1,010",821,801,118,"2,029","3,325","3,268"
2021년11월_남_50~59세,"34,961",363,518,366,306,678,"1,059","3,144","1,441","1,076",974,"1,819",876,462,"1,635","1,386","1,153",682,"1,432","1,238","1,356","2,804","1,100","1,080","1,125",278,"1,797","2,958","1,855"
2021년11월_남_60~69세,"26,568",359,474,300,310,590,868,"2,241","1,295",992,892,"1,302",946,353,"1,458","1,112",927,598,"1,229","1,401",795,"1,255",820,787,"1,100",313,"1,065","1,869",917
2021년11월_남_70~79세,"13,441",209,345,196,180,400,486,"1,088",665,606,380,644,608,214,751,512,479,444,724,672,343,491,355,375,512,155,466,802,339
2021년11월_남_80~89세,"4,648",81,149,81,65,146,198,351,184,224,126,191,199,73,268,157,218,157,237,245,109,216,130,104,174,69,155,250,91
2021년11월_남_90~99세,380,5,15,7,10,7,11,30,13,16,14,15,16,2,21,15,21,15,16,26,9,23,10,10,8,7,8,26,4
2021년11월_남_100세 이상,8,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2021년11월_여_총인구수,"215,283","2,309","3,362","2,263","1,440","4,629","5,868","19,335","10,000","5,970","6,606","11,884","5,318","2,869","10,630","8,253","8,264","3,902","8,102","6,987","6,850","15,281","7,069","5,382","6,423","1,214","11,063","18,863","15,147"
2021년11월_여_연령구간인구수,"215,283","2,309","3,362","2,263","1,440","4,629","5,868","19,335","10,000","5,970","6,606","11,884","5,318","2,869","10,630","8,253","8,264","3,902","8,102","6,987","6,850","15,281","7,069","5,382","6,423","1,214","11,063","18,863","15,147"
2021년11월_여_0~9세,"15,681",120,126,114,28,330,240,"1,294",818,269,434,"1,019",183,265,832,567,481,119,404,209,447,"1,099",533,293,269,34,"1,272","1,806","2,076"
2021년11월_여_10~19세,"19,655",70,231,137,58,285,323,"1,718","1,091",438,633,"1,039",294,254,738,895,688,277,618,364,715,"2,064",756,457,336,53,"1,218","2,027","1,878"
2021년11월_여_20~29세,"29,096",479,685,431,250,621,"1,138","3,406","1,197",793,806,"1,424",632,326,"1,203","1,049","1,229",562,"1,070",757,957,"2,086",904,793,924,97,"1,249","2,458","1,570"
2021년11월_여_30~39세,"26,177",449,324,281,162,680,832,"2,223","1,141",561,708,"1,709",428,362,"1,456",773,923,341,788,585,793,"1,514",826,571,651,83,"1,673","2,689","2,651"
2021년11월_여_40~49세,"32,728",237,402,306,140,602,647,"2,724","1,675",767,976,"1,876",549,424,"1,394","1,291","1,161",441,"1,039",694,"1,205","3,066","1,178",738,701,92,"1,985","3,241","3,177"
2021년11월_여_50~59세,"36,356",275,463,275,214,674,888,"3,510","1,626",987,"1,236","2,050",865,409,"1,794","1,570","1,398",682,"1,460","1,278","1,299","2,916","1,328","1,043","1,254",216,"1,632","2,997","2,017"
2021년11월_여_60~69세,"29,286",312,493,325,265,731,887,"2,477","1,484","1,121","1,025","1,618","1,112",400,"1,644","1,174","1,222",732,"1,482","1,455",793,"1,320",835,814,"1,157",269,"1,054","2,022","1,063"
2021년11월_여_70~79세,"16,544",240,430,267,188,483,587,"1,312",669,681,481,749,785,265,974,577,734,499,821,974,399,714,414,424,646,207,540,"1,012",472
2021년11월_여_80~89세,"8,274",115,183,113,101,180,293,585,253,303,247,338,396,140,504,309,361,213,349,580,201,439,241,206,410,139,367,507,201
2021년11월_여_90~99세,"1,428",11,25,12,29,41,31,83,45,46,60,57,73,22,86,46,65,34,70,88,41,60,52,40,75,23,71,101,41
