카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년07월_계_총인구수,"490,138","36,924","15,159","12,819","36,636","32,104","15,144","13,063","31,470","22,230","17,873","6,935","35,180","16,486","18,940","33,825","29,029","16,319","19,039","31,190","12,669","13,925","23,179"
2021년07월_계_연령구간인구수,"490,138","36,924","15,159","12,819","36,636","32,104","15,144","13,063","31,470","22,230","17,873","6,935","35,180","16,486","18,940","33,825","29,029","16,319","19,039","31,190","12,669","13,925","23,179"
2021년07월_계_0~9세,"31,440","2,248",805,608,"2,424","2,365","1,034",612,"2,610","1,145","1,171",319,"2,722",830,"1,135","2,269","2,310",811,"1,305","1,810","1,002",805,"1,100"
2021년07월_계_10~19세,"42,075","2,849","1,163",843,"2,336","2,219",903,968,"3,760","2,007","1,721",493,"2,956","1,250","1,398","3,464","4,155","1,072","1,720","3,177","1,041","1,083","1,497"
2021년07월_계_20~29세,"68,651","5,912","2,056","1,624","6,025","5,067","2,108","1,657","3,989","2,866","2,581",884,"4,831","2,539","2,472","4,646","3,693","2,075","2,582","4,674","1,593","1,785","2,992"
2021년07월_계_30~39세,"66,400","5,895","2,093","1,679","6,436","5,787","2,399","1,562","3,605","2,292","2,144",804,"5,233","2,226","2,662","3,849","2,922","1,963","2,619","3,954","1,758","1,610","2,908"
2021년07월_계_40~49세,"75,739","5,616","2,349","1,851","5,567","5,224","2,278","1,809","5,482","3,059","2,695","1,039","5,271","2,323","2,452","5,531","5,623","2,345","3,001","5,025","1,792","2,117","3,290"
2021년07월_계_50~59세,"88,582","6,140","2,661","2,273","6,038","5,097","2,577","2,477","5,580","4,024","3,375","1,458","6,439","3,279","3,483","6,440","5,396","2,875","3,372","6,098","2,152","2,650","4,698"
2021년07월_계_60~69세,"69,175","4,819","2,247","2,169","4,582","3,734","2,216","2,289","3,992","3,701","2,475","1,197","4,799","2,474","3,214","4,511","2,998","2,938","2,625","3,895","2,084","2,230","3,986"
2021년07월_계_70~79세,"31,451","2,184","1,246","1,151","2,181","1,725","1,031","1,105","1,670","1,919","1,050",505,"1,920","1,054","1,365","1,899","1,230","1,573","1,225","1,644",849,"1,095","1,830"
