카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년04월_계_총인구수,"68,681","34,425","4,635","2,417","2,375","3,727","3,988","6,247","3,788","3,902","3,177"
2021년04월_계_연령구간인구수,"68,681","34,425","4,635","2,417","2,375","3,727","3,988","6,247","3,788","3,902","3,177"
2021년04월_계_0~9세,"3,730","2,551",123,48,47,130,106,388,100,118,119
2021년04월_계_10~19세,"5,081","3,480",161,108,75,184,185,435,122,190,141
2021년04월_계_20~29세,"6,728","4,087",376,145,120,273,235,812,230,266,184
2021년04월_계_30~39세,"5,945","3,798",287,111,95,202,217,598,223,231,183
2021년04월_계_40~49세,"8,108","5,242",397,156,179,300,328,527,355,361,263
2021년04월_계_50~59세,"12,392","5,911",785,434,472,769,747,992,727,802,753
2021년04월_계_60~69세,"14,327","5,177","1,289",705,732,"1,021","1,131","1,286","1,103","1,024",859
2021년04월_계_70~79세,"7,247","2,524",700,401,374,483,625,670,550,512,408
2021년04월_계_80~89세,"4,444","1,429",435,258,250,319,371,471,319,356,236
2021년04월_계_90~99세,645,208,79,50,30,42,40,68,57,41,30
2021년04월_계_100세 이상,34,18,3,1,1,4,3,0,2,1,1
2021년04월_남_총인구수,"35,370","17,408","2,453","1,207","1,244","1,901","2,068","3,339","2,001","2,054","1,695"
2021년04월_남_연령구간인구수,"35,370","17,408","2,453","1,207","1,244","1,901","2,068","3,339","2,001","2,054","1,695"
2021년04월_남_0~9세,"1,886","1,275",63,28,32,71,48,193,52,56,68
2021년04월_남_10~19세,"2,597","1,802",88,57,38,95,114,167,63,105,68
2021년04월_남_20~29세,"4,084","2,354",251,86,70,175,140,603,134,153,118
2021년04월_남_30~39세,"3,248","2,020",168,59,55,101,126,338,149,135,97
2021년04월_남_40~49세,"4,346","2,632",253,94,122,159,201,307,213,217,148
2021년04월_남_50~59세,"6,545","3,080",431,227,249,402,394,530,370,438,424
2021년04월_남_60~69세,"7,474","2,596",679,366,386,536,588,691,609,561,462
2021년04월_남_70~79세,"3,432","1,092",359,183,193,240,312,324,268,250,211
2021년04월_남_80~89세,"1,596",504,141,97,89,111,135,171,124,133,91
2021년04월_남_90~99세,158,52,20,10,10,10,9,15,19,6,7
2021년04월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1
2021년04월_여_총인구수,"33,311","17,017","2,182","1,210","1,131","1,826","1,920","2,908","1,787","1,848","1,482"
2021년04월_여_연령구간인구수,"33,311","17,017","2,182","1,210","1,131","1,826","1,920","2,908","1,787","1,848","1,482"
2021년04월_여_0~9세,"1,844","1,276",60,20,15,59,58,195,48,62,51
2021년04월_여_10~19세,"2,484","1,678",73,51,37,89,71,268,59,85,73
2021년04월_여_20~29세,"2,644","1,733",125,59,50,98,95,209,96,113,66
2021년04월_여_30~39세,"2,697","1,778",119,52,40,101,91,260,74,96,86
2021년04월_여_40~49세,"3,762","2,610",144,62,57,141,127,220,142,144,115
2021년04월_여_50~59세,"5,847","2,831",354,207,223,367,353,462,357,364,329
2021년04월_여_60~69세,"6,853","2,581",610,339,346,485,543,595,494,463,397
2021년04월_여_70~79세,"3,815","1,432",341,218,181,243,313,346,282,262,197
2021년04월_여_80~89세,"2,848",925,294,161,161,208,236,300,195,223,145
2021년04월_여_90~99세,487,156,59,40,20,32,31,53,38,35,23
2021년04월_여_100세 이상,30,17,3,1,1,3,2,0,2,1,0
