,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년09월_계_총인구수,"67,576","24,561","2,901","3,150","2,770","6,048","2,769","1,950","2,925","2,087","2,374","4,766","3,725","3,971","3,579"
2021년09월_계_연령구간인구수,"67,576","24,561","2,901","3,150","2,770","6,048","2,769","1,950","2,925","2,087","2,374","4,766","3,725","3,971","3,579"
2021년09월_계_0~9세,"3,689","2,179",85,111,62,272,86,35,79,68,65,177,172,176,122
2021년09월_계_10~19세,"5,006","2,850",140,115,127,349,164,79,150,79,125,234,187,220,187
2021년09월_계_20~29세,"5,419","2,735",209,197,147,440,176,123,190,75,130,266,225,258,248
2021년09월_계_30~39세,"4,690","2,427",156,177,123,364,113,69,117,96,95,265,243,227,218
2021년09월_계_40~49세,"7,707","3,741",253,273,227,608,240,151,295,191,225,390,379,365,369
2021년09월_계_50~59세,"11,391","4,104",546,519,477,"1,062",447,322,502,290,409,815,605,671,622
2021년09월_계_60~69세,"12,649","3,365",621,674,634,"1,246",593,412,562,468,474,"1,164",758,877,801
2021년09월_계_70~79세,"9,896","2,026",530,637,560,977,551,413,541,394,461,836,686,710,574
2021년09월_계_80~89세,"6,188",983,301,407,359,656,353,305,413,370,324,539,405,402,371
2021년09월_계_90~99세,900,149,58,39,50,70,45,41,71,55,60,75,63,63,61
2021년09월_계_100세 이상,41,2,2,1,4,4,1,0,5,1,6,5,2,2,6
2021년09월_남_총인구수,"33,463","12,058","1,461","1,565","1,382","2,976","1,345",929,"1,465",982,"1,201","2,345","1,908","1,992","1,854"
2021년09월_남_연령구간인구수,"33,463","12,058","1,461","1,565","1,382","2,976","1,345",929,"1,465",982,"1,201","2,345","1,908","1,992","1,854"
2021년09월_남_0~9세,"1,868","1,095",43,59,35,133,41,19,44,31,36,87,89,93,63
2021년09월_남_10~19세,"2,584","1,448",76,60,67,183,84,37,83,44,74,127,92,117,92
2021년09월_남_20~29세,"3,068","1,493",116,99,98,267,102,69,98,44,82,169,130,164,137
2021년09월_남_30~39세,"2,506","1,193",96,114,77,216,58,39,69,47,54,156,137,115,135
2021년09월_남_40~49세,"4,284","1,795",154,178,134,355,145,98,184,121,150,231,270,218,251
2021년09월_남_50~59세,"6,347","2,148",302,305,276,570,252,189,296,165,259,458,359,387,381
2021년09월_남_60~69세,"6,358","1,634",328,330,330,597,290,210,301,232,239,580,412,444,431
2021년09월_남_70~79세,"4,348",912,229,286,247,439,240,162,240,171,196,364,293,324,245
2021년09월_남_80~89세,"1,938",310,104,126,111,209,116,101,138,114,99,160,121,120,109
2021년09월_남_90~99세,162,30,13,8,7,7,17,5,12,13,12,13,5,10,10
2021년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"34,113","12,503","1,440","1,585","1,388","3,072","1,424","1,021","1,460","1,105","1,173","2,421","1,817","1,979","1,725"
2021년09월_여_연령구간인구수,"34,113","12,503","1,440","1,585","1,388","3,072","1,424","1,021","1,460","1,105","1,173","2,421","1,817","1,979","1,725"
2021년09월_여_0~9세,"1,821","1,084",42,52,27,139,45,16,35,37,29,90,83,83,59
2021년09월_여_10~19세,"2,422","1,402",64,55,60,166,80,42,67,35,51,107,95,103,95
2021년09월_여_20~29세,"2,351","1,242",93,98,49,173,74,54,92,31,48,97,95,94,111
2021년09월_여_30~39세,"2,184","1,234",60,63,46,148,55,30,48,49,41,109,106,112,83
2021년09월_여_40~49세,"3,423","1,946",99,95,93,253,95,53,111,70,75,159,109,147,118
2021년09월_여_50~59세,"5,044","1,956",244,214,201,492,195,133,206,125,150,357,246,284,241
2021년09월_여_60~69세,"6,291","1,731",293,344,304,649,303,202,261,236,235,584,346,433,370
2021년09월_여_70~79세,"5,548","1,114",301,351,313,538,311,251,301,223,265,472,393,386,329
2021년09월_여_80~89세,"4,250",673,197,281,248,447,237,204,275,256,225,379,284,282,262
2021년09월_여_90~99세,738,119,45,31,43,63,28,36,59,42,48,62,58,53,51
2021년09월_여_100세 이상,41,2,2,1,4,4,1,0,5,1,6,5,2,2,6
