,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년11월_계_총인구수,"503,139","230,573","7,618","30,645","54,769","3,517","9,913","4,120","1,896","24,828","17,269","12,548","4,687","2,838","30,472","25,453","272,566","40,632","2,889","4,832","2,502","4,940","2,118",595,"1,290","15,756","17,200","19,752","22,344","32,268","23,143","72,757","9,548"
2020년11월_계_연령구간인구수,"503,139","230,573","7,618","30,645","54,769","3,517","9,913","4,120","1,896","24,828","17,269","12,548","4,687","2,838","30,472","25,453","272,566","40,632","2,889","4,832","2,502","4,940","2,118",595,"1,290","15,756","17,200","19,752","22,344","32,268","23,143","72,757","9,548"
2020년11월_계_0~9세,"39,852","17,545",151,"2,394","5,723",67,568,75,31,"1,199",610,433,205,162,"3,657","2,270","22,307","3,928",68,110,29,88,37,6,22,572,"1,229",788,"1,473","3,031","1,663","8,349",914
2020년11월_계_10~19세,"46,857","21,297",244,"3,724","5,868",147,786,125,73,"1,516",794,717,261,198,"3,804","3,040","25,560","3,625",85,215,89,191,58,15,38,800,"1,868",950,"2,065","3,081","2,449","8,871","1,160"
2020년11월_계_20~29세,"56,470","26,175",478,"3,634","6,305",282,994,198,103,"3,198","1,674","1,049",581,625,"3,500","3,554","30,295","4,098",181,319,164,304,67,32,53,"1,643","2,163","2,328","2,410","3,940","2,952","8,757",884
2020년11월_계_30~39세,"59,787","27,070",455,"3,110","8,204",267,959,182,79,"2,979","1,621","1,046",516,344,"3,885","3,423","32,717","5,124",132,262,102,230,71,15,60,"1,734","1,872","2,333","2,244","4,429","2,492","10,416","1,201"
2020년11월_계_40~49세,"77,179","35,642",766,"5,198","10,091",320,"1,270",302,177,"3,352","2,202","1,466",531,346,"5,222","4,399","41,537","6,271",217,480,191,373,125,40,102,"1,985","2,696","2,516","3,307","4,876","3,324","13,356","1,678"
2020년11월_계_50~59세,"90,353","41,508","1,445","5,986","8,549",713,"1,815",713,334,"4,520","3,388","2,345",818,482,"5,458","4,942","48,845","7,131",474,894,477,903,388,114,204,"2,776","3,448","3,504","4,157","6,051","4,714","12,130","1,480"
2020년11월_계_60~69세,"78,246","36,515","1,940","4,178","6,235",913,"1,824",974,467,"5,066","4,146","3,159",967,406,"3,720","2,520","41,731","5,797",772,"1,121",619,"1,222",597,195,355,"3,312","2,560","4,150","4,069","4,411","3,595","7,547","1,409"
2020년11월_계_70~79세,"36,865","17,166","1,353","1,667","2,532",533,"1,125",844,379,"2,345","2,148","1,685",594,197,894,870,"19,699","2,938",511,855,475,909,418,111,253,"2,044",974,"2,320","1,846","1,694","1,379","2,363",609
2020년11월_계_80~89세,"15,288","6,723",692,673,"1,123",236,493,612,223,570,621,558,190,72,275,385,"8,565","1,482",387,505,306,618,309,53,171,774,327,752,674,666,513,839,189
2020년11월_계_90~99세,"2,131",875,87,76,124,38,77,91,29,80,58,85,22,6,55,47,"1,256",230,59,68,49,100,48,14,29,107,59,106,93,87,60,125,22
2020년11월_계_100세 이상,111,57,7,5,15,1,2,4,1,3,7,5,2,0,2,3,54,8,3,3,1,2,0,0,3,9,4,5,6,2,2,4,2
2020년11월_남_총인구수,"254,299","118,801","3,849","15,622","29,028","1,825","5,004","2,031",922,"12,800","8,881","6,301","2,527","1,661","15,466","12,884","135,498","20,320","1,443","2,377","1,227","2,392","1,059",299,631,"7,720","8,513","9,730","10,932","15,837","11,493","36,841","4,684"
2020년11월_남_연령구간인구수,"254,299","118,801","3,849","15,622","29,028","1,825","5,004","2,031",922,"12,800","8,881","6,301","2,527","1,661","15,466","12,884","135,498","20,320","1,443","2,377","1,227","2,392","1,059",299,631,"7,720","8,513","9,730","10,932","15,837","11,493","36,841","4,684"
2020년11월_남_0~9세,"20,653","9,075",74,"1,248","2,932",29,298,44,16,631,320,244,104,96,"1,847","1,192","11,578","2,067",38,57,6,38,17,3,9,290,618,399,748,"1,606",872,"4,348",462
2020년11월_남_10~19세,"24,582","11,209",143,"1,944","3,122",72,391,54,42,797,427,373,136,98,"2,018","1,592","13,373","1,872",53,121,46,85,32,8,24,398,994,489,"1,109","1,636","1,289","4,626",591
2020년11월_남_20~29세,"32,338","15,426",297,"2,111","3,732",172,563,120,62,"1,851",997,600,374,481,"2,072","1,994","16,912","2,324",111,188,93,183,52,16,28,887,"1,235","1,261","1,349","2,177","1,674","4,859",475
2020년11월_남_30~39세,"31,575","14,616",250,"1,572","4,460",162,519,111,47,"1,725",973,610,314,212,"1,855","1,806","16,959","2,630",77,145,71,155,44,15,35,990,967,"1,343","1,139","2,252","1,301","5,201",594
