,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2021년03월_계_총인구수,"845,025","193,300","2,241","4,926","3,890","6,769","3,970","6,819","6,836","8,751","10,599","30,873","13,523","54,291","39,812","192,804","10,107","3,293","7,612","14,256","14,740","14,497","26,596","30,600","13,506","13,505","44,092","265,571","23,796","10,736","18,000","16,975","51,172","16,012","53,248","9,757","24,202","28,360","13,313","193,350","19,290","69,604","4,612","12,176","8,526","13,401","47,505","18,236"
2021년03월_계_연령구간인구수,"845,025","193,300","2,241","4,926","3,890","6,769","3,970","6,819","6,836","8,751","10,599","30,873","13,523","54,291","39,812","192,804","10,107","3,293","7,612","14,256","14,740","14,497","26,596","30,600","13,506","13,505","44,092","265,571","23,796","10,736","18,000","16,975","51,172","16,012","53,248","9,757","24,202","28,360","13,313","193,350","19,290","69,604","4,612","12,176","8,526","13,401","47,505","18,236"
2021년03월_계_0~9세,"73,341","16,304",52,102,100,405,93,332,227,396,622,"2,563","1,543","5,431","4,438","13,363",605,87,304,"1,384",643,665,"2,349","2,506",546,659,"3,615","23,949","2,290",672,"2,291",880,"5,849",640,"4,587",470,"1,708","2,036","2,526","19,725","1,456","9,904",102,512,336,854,"4,186","2,375"
2021년03월_계_10~19세,"85,548","19,894",57,192,118,440,186,530,397,672,890,"3,776","1,972","6,339","4,325","19,959",666,118,513,"1,415",967,"1,006","3,994","4,073",946,"1,098","5,163","26,392","2,329","1,034","1,273","1,470","6,529","1,078","6,617",568,"2,302","2,263",929,"19,303","1,850","7,457",166,719,547,"1,101","5,112","2,351"
2021년03월_계_20~29세,"119,562","24,879",164,309,315,710,304,"1,048",951,"1,041","1,304","4,075","1,494","7,543","5,621","28,071","1,123",189,924,"1,648","3,419","2,273","3,630","4,495","2,029","1,679","6,662","40,784","3,202","1,407","1,934","2,487","7,318","3,322","7,635","2,040","4,222","5,350","1,867","25,828","2,268","8,873",364,"2,048","1,091","2,008","7,301","1,875"
2021년03월_계_30~39세,"117,883","23,472",122,286,216,672,224,785,670,799,"1,125","3,434","1,596","7,550","5,993","22,071","1,061",208,759,"1,891","1,961","1,533","3,103","3,347","1,283","1,267","5,658","41,062","3,924","1,100","3,498","1,868","8,477","1,862","6,588","1,634","3,914","4,665","3,532","31,278","2,034","15,379",288,"1,447",791,"1,617","6,801","2,921"
2021년03월_계_40~49세,"136,223","30,775",170,396,352,785,392,929,837,"1,198","1,533","5,423","2,552","9,489","6,719","30,201","1,252",324,994,"2,087","1,868","1,861","5,136","5,524","1,754","1,671","7,730","43,146","4,156","1,550","2,621","2,446","9,994","2,011","8,991","1,330","3,869","4,290","1,888","32,101","3,054","12,575",422,"1,519","1,135","2,048","7,834","3,514"
2021년03월_계_50~59세,"137,272","33,267",445,885,856,"1,322",751,"1,107","1,158","1,578","1,867","5,200","2,131","9,140","6,827","33,796","2,164",601,"1,509","2,337","2,133","2,590","4,525","5,562","2,495","2,737","7,143","42,743","3,277","2,028","2,683","3,421","7,296","2,861","9,862","1,558","4,027","4,517","1,213","27,466","3,498","7,309",884,"2,004","1,520","2,238","7,735","2,278"
2021년03월_계_60~69세,"100,298","24,955",613,"1,307",960,"1,292",863,"1,019","1,296","1,549","1,755","3,615","1,274","5,603","3,809","25,835","1,826",788,"1,393","2,057","2,032","2,615","2,291","2,872","2,413","2,474","5,074","28,531","2,506","1,584","2,101","2,647","3,591","2,485","5,867","1,275","2,613","3,103",759,"20,977","2,721","4,714","1,136","1,966","1,608","1,861","5,323","1,648"
2021년03월_계_70~79세,"47,448","12,388",339,802,569,621,615,650,806,979,"1,018","1,902",637,"2,063","1,387","12,458",834,534,757,901,"1,197","1,280","1,006","1,362","1,347","1,217","2,023","12,200","1,332",819,975,"1,103","1,388","1,223","2,059",617,"1,022","1,333",329,"10,402","1,444","2,114",689,"1,226",975,"1,112","2,061",781
2021년03월_계_80~89세,"23,938","6,342",234,542,355,458,464,371,419,466,425,776,281,962,589,"6,165",510,381,401,463,479,586,491,751,623,603,877,"5,928",675,491,551,567,644,475,905,238,452,686,244,"5,503",834,"1,118",491,669,470,505,995,421
2021년03월_계_90~99세,"3,406",991,42,100,48,61,76,44,74,70,60,105,41,169,101,862,65,61,57,71,40,85,70,106,68,100,139,820,104,51,70,84,86,54,132,27,72,115,25,733,124,158,62,63,51,57,150,68
2021년03월_계_100세 이상,106,33,3,5,1,3,2,4,1,3,0,4,2,2,3,23,1,2,1,2,1,3,1,2,2,0,8,16,1,0,3,2,0,1,5,0,1,2,1,34,7,3,8,3,2,0,7,4
2021년03월_남_총인구수,"425,909","96,122","1,169","2,527","1,988","3,429","2,053","3,376","3,512","4,290","5,240","14,972","6,676","27,253","19,637","95,733","5,272","1,708","3,903","6,953","7,297","7,291","13,243","14,952","6,805","6,667","21,642","134,784","11,813","5,500","9,233","8,468","26,045","8,160","26,063","5,159","12,939","14,370","7,034","99,270","9,926","37,068","2,468","6,171","4,326","6,871","23,457","8,983"
2021년03월_남_연령구간인구수,"425,909","96,122","1,169","2,527","1,988","3,429","2,053","3,376","3,512","4,290","5,240","14,972","6,676","27,253","19,637","95,733","5,272","1,708","3,903","6,953","7,297","7,291","13,243","14,952","6,805","6,667","21,642","134,784","11,813","5,500","9,233","8,468","26,045","8,160","26,063","5,159","12,939","14,370","7,034","99,270","9,926","37,068","2,468","6,171","4,326","6,871","23,457","8,983"
2021년03월_남_0~9세,"37,425","8,248",30,46,52,194,48,183,119,208,311,"1,274",785,"2,772","2,226","6,827",294,48,139,706,323,347,"1,187","1,296",272,346,"1,869","12,214","1,150",332,"1,144",470,"2,972",332,"2,382",234,866,"1,055","1,277","10,136",760,"5,077",51,266,162,465,"2,144","1,211"
2021년03월_남_10~19세,"44,392","10,344",30,99,58,225,98,285,214,334,447,"1,935","1,018","3,357","2,244","10,355",353,68,264,695,497,495,"2,031","2,148",526,572,"2,706","13,707","1,194",529,689,760,"3,442",570,"3,393",294,"1,187","1,153",496,"9,986",959,"3,858",82,352,303,547,"2,677","1,208"
2021년03월_남_20~29세,"65,185","13,463",94,187,184,420,173,534,540,592,698,"2,135",821,"4,077","3,008","15,249",656,112,520,871,"1,762","1,252","1,993","2,457","1,154",940,"3,532","22,082","1,545",770,"1,057","1,328","3,965","1,896","4,090","1,079","2,425","2,823","1,104","14,391","1,353","5,133",225,"1,112",619,"1,105","3,881",963
2021년03월_남_30~39세,"61,820","11,959",68,180,117,363,139,424,396,445,602,"1,701",752,"3,815","2,957","11,367",585,126,426,913,"1,102",858,"1,525","1,622",712,681,"2,817","21,665","1,972",591,"1,854","1,037","4,307","1,090","3,226",952,"2,302","2,490","1,844","16,829","1,087","8,470",192,817,464,914,"3,502","1,383"
2021년03월_남_40~49세,"69,036","15,312",109,248,209,423,247,476,473,615,809,"2,580","1,211","4,642","3,270","14,945",660,205,543,"1,057",985,"1,034","2,398","2,528",922,874,"3,739","21,877","2,157",824,"1,405","1,221","4,970","1,043","4,165",753,"2,095","2,198","1,046","16,902","1,613","6,790",283,867,634,"1,107","3,802","1,806"
2021년03월_남_50~59세,"68,785","16,590",239,486,473,681,429,551,604,783,956,"2,545","1,090","4,539","3,214","16,637","1,137",336,786,"1,111",982,"1,274","2,333","2,738","1,221","1,307","3,412","21,444","1,709","1,071","1,375","1,646","3,806","1,366","4,655",825,"2,069","2,289",633,"14,114","1,857","4,027",524,"1,048",782,"1,110","3,622","1,144"
2021년03월_남_60~69세,"49,150","12,319",345,689,515,669,461,486,626,691,822,"1,674",601,"2,833","1,907","12,478",992,420,738,"1,000",898,"1,233","1,127","1,365","1,134","1,244","2,327","14,082","1,239",812,"1,056","1,289","1,739","1,151","2,873",652,"1,327","1,538",406,"10,271","1,386","2,340",628,931,732,914,"2,564",776
2021년03월_남_70~79세,"21,251","5,512",161,375,267,285,283,284,353,432,427,839,287,903,616,"5,520",407,254,322,420,542,562,460,535,609,502,907,"5,556",603,407,455,518,606,538,930,278,490,583,148,"4,663",639,993,301,525,437,507,914,347
2021년03월_남_80~89세,"8,150","2,146",83,185,106,149,155,145,168,176,157,268,100,283,171,"2,184",171,131,153,170,196,217,175,246,242,181,302,"1,996",221,159,183,181,226,166,316,86,163,221,74,"1,824",246,350,166,238,183,190,322,129
2021년03월_남_90~99세,695,224,10,30,7,20,19,8,18,13,11,21,11,32,24,165,16,8,12,10,10,18,14,17,13,20,27,160,23,5,14,18,12,8,33,6,15,20,6,146,25,30,14,15,8,12,26,16
2021년03월_남_100세 이상,20,5,0,2,0,0,1,0,1,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,2,0,2,0,3,0
2021년03월_여_총인구수,"419,116","97,178","1,072","2,399","1,902","3,340","1,917","3,443","3,324","4,461","5,359","15,901","6,847","27,038","20,175","97,071","4,835","1,585","3,709","7,303","7,443","7,206","13,353","15,648","6,701","6,838","22,450","130,787","11,983","5,236","8,767","8,507","25,127","7,852","27,185","4,598","11,263","13,990","6,279","94,080","9,364","32,536","2,144","6,005","4,200","6,530","24,048","9,253"
2021년03월_여_연령구간인구수,"419,116","97,178","1,072","2,399","1,902","3,340","1,917","3,443","3,324","4,461","5,359","15,901","6,847","27,038","20,175","97,071","4,835","1,585","3,709","7,303","7,443","7,206","13,353","15,648","6,701","6,838","22,450","130,787","11,983","5,236","8,767","8,507","25,127","7,852","27,185","4,598","11,263","13,990","6,279","94,080","9,364","32,536","2,144","6,005","4,200","6,530","24,048","9,253"
2021년03월_여_0~9세,"35,916","8,056",22,56,48,211,45,149,108,188,311,"1,289",758,"2,659","2,212","6,536",311,39,165,678,320,318,"1,162","1,210",274,313,"1,746","11,735","1,140",340,"1,147",410,"2,877",308,"2,205",236,842,981,"1,249","9,589",696,"4,827",51,246,174,389,"2,042","1,164"
2021년03월_여_10~19세,"41,156","9,550",27,93,60,215,88,245,183,338,443,"1,841",954,"2,982","2,081","9,604",313,50,249,720,470,511,"1,963","1,925",420,526,"2,457","12,685","1,135",505,584,710,"3,087",508,"3,224",274,"1,115","1,110",433,"9,317",891,"3,599",84,367,244,554,"2,435","1,143"
