,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년05월_계_총인구수,"147,746","12,618","9,291","10,909","17,284","11,676","11,558","11,210","11,325","8,253","9,714","16,025","9,393","8,490"
2020년05월_계_연령구간인구수,"147,746","12,618","9,291","10,909","17,284","11,676","11,558","11,210","11,325","8,253","9,714","16,025","9,393","8,490"
2020년05월_계_0~9세,"7,110",850,409,688,888,573,417,398,498,301,575,836,351,326
2020년05월_계_10~19세,"9,727","1,065",535,890,"1,407",798,699,662,655,468,648,939,518,443
2020년05월_계_20~29세,"20,370","1,269","1,136","1,122","2,069","1,754","2,075","1,507","1,660","1,595","1,394","2,409","1,385",995
2020년05월_계_30~39세,"17,557","1,376","1,165","1,157","1,944","1,446","1,413","1,189","1,239",975,"1,373","2,197","1,151",932
2020년05월_계_40~49세,"20,749","2,055","1,394","1,496","2,617","1,634","1,512","1,544","1,435","1,031","1,430","2,325","1,202","1,074"
2020년05월_계_50~59세,"25,414","1,988","1,654","1,836","2,969","2,053","1,889","2,061","2,078","1,349","1,566","2,752","1,649","1,570"
2020년05월_계_60~69세,"23,602","1,754","1,475","1,842","2,738","1,809","1,713","1,956","2,020","1,231","1,422","2,346","1,620","1,676"
2020년05월_계_70~79세,"15,098","1,390",918,"1,152","1,669","1,097","1,221","1,281","1,198",853,845,"1,492",992,990
2020년05월_계_80~89세,"7,140",745,542,624,872,435,549,540,487,401,406,633,471,435
2020년05월_계_90~99세,895,118,56,95,100,74,64,62,47,44,51,85,52,47
2020년05월_계_100세 이상,84,8,7,7,11,3,6,10,8,5,4,11,2,2
2020년05월_남_총인구수,"71,070","5,986","4,470","5,239","8,185","5,677","5,498","5,593","5,520","3,936","4,659","7,812","4,447","4,048"
2020년05월_남_연령구간인구수,"71,070","5,986","4,470","5,239","8,185","5,677","5,498","5,593","5,520","3,936","4,659","7,812","4,447","4,048"
2020년05월_남_0~9세,"3,694",470,202,357,484,291,209,215,247,172,283,428,179,157
2020년05월_남_10~19세,"5,115",576,295,457,710,438,330,356,365,244,334,497,275,238
2020년05월_남_20~29세,"10,283",656,548,595,"1,041",876,998,800,868,721,707,"1,240",690,543
2020년05월_남_30~39세,"9,194",689,619,602,988,745,750,666,683,515,683,"1,136",594,524
2020년05월_남_40~49세,"10,445","1,000",710,708,"1,222",847,790,849,745,553,701,"1,179",603,538
2020년05월_남_50~59세,"12,300",976,822,866,"1,456",964,924,"1,071","1,010",658,766,"1,308",767,712
2020년05월_남_60~69세,"10,803",773,682,864,"1,221",842,792,892,917,563,669,"1,100",733,755
2020년05월_남_70~79세,"6,424",543,377,516,701,498,502,544,519,352,368,650,437,417
2020년05월_남_80~89세,"2,568",272,200,241,333,158,182,187,154,146,138,248,154,155
2020년05월_남_90~99세,226,31,13,31,27,18,18,12,9,11,10,24,14,8
2020년05월_남_100세 이상,18,0,2,2,2,0,3,1,3,1,0,2,1,1
2020년05월_여_총인구수,"76,676","6,632","4,821","5,670","9,099","5,999","6,060","5,617","5,805","4,317","5,055","8,213","4,946","4,442"
2020년05월_여_연령구간인구수,"76,676","6,632","4,821","5,670","9,099","5,999","6,060","5,617","5,805","4,317","5,055","8,213","4,946","4,442"
2020년05월_여_0~9세,"3,416",380,207,331,404,282,208,183,251,129,292,408,172,169
2020년05월_여_10~19세,"4,612",489,240,433,697,360,369,306,290,224,314,442,243,205
2020년05월_여_20~29세,"10,087",613,588,527,"1,028",878,"1,077",707,792,874,687,"1,169",695,452
2020년05월_여_30~39세,"8,363",687,546,555,956,701,663,523,556,460,690,"1,061",557,408
2020년05월_여_40~49세,"10,304","1,055",684,788,"1,395",787,722,695,690,478,729,"1,146",599,536
2020년05월_여_50~59세,"13,114","1,012",832,970,"1,513","1,089",965,990,"1,068",691,800,"1,444",882,858
2020년05월_여_60~69세,"12,799",981,793,978,"1,517",967,921,"1,064","1,103",668,753,"1,246",887,921
2020년05월_여_70~79세,"8,674",847,541,636,968,599,719,737,679,501,477,842,555,573
2020년05월_여_80~89세,"4,572",473,342,383,539,277,367,353,333,255,268,385,317,280
2020년05월_여_90~99세,669,87,43,64,73,56,46,50,38,33,41,61,38,39
2020년05월_여_100세 이상,66,8,5,5,9,3,3,9,5,4,4,9,1,1
