,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년06월_계_총인구수,"189,060","60,179","5,342","7,359","3,356","5,909","15,349","5,271","6,431","7,668","6,996","3,819","1,945","12,455","24,463","22,518"
2021년06월_계_연령구간인구수,"189,060","60,179","5,342","7,359","3,356","5,909","15,349","5,271","6,431","7,668","6,996","3,819","1,945","12,455","24,463","22,518"
2021년06월_계_0~9세,"13,588","5,764",167,369,83,207,"1,312",144,385,281,214,80,49,703,"2,074","1,756"
2021년06월_계_10~19세,"18,276","7,565",288,629,144,271,"1,084",268,394,522,512,417,81,"1,029","2,587","2,485"
2021년06월_계_20~29세,"23,053","7,071",496,725,296,552,"2,050",451,776,672,700,467,201,"1,600","3,700","3,296"
2021년06월_계_30~39세,"22,890","8,329",405,636,231,550,"2,535",387,951,607,522,284,135,"1,329","3,292","2,697"
2021년06월_계_40~49세,"30,268","12,145",539,994,336,724,"2,585",555,935,811,747,345,178,"1,727","4,089","3,558"
2021년06월_계_50~59세,"31,532","9,048","1,013","1,336",664,"1,104","2,357","1,015","1,170","1,368","1,398",642,365,"2,209","3,898","3,945"
2021년06월_계_60~69세,"26,840","5,735","1,210","1,437",780,"1,282","1,990","1,237","1,032","1,752","1,507",791,490,"2,036","2,850","2,711"
2021년06월_계_70~79세,"13,738","2,954",693,693,457,697,913,647,489,979,819,460,240,"1,111","1,277","1,309"
2021년06월_계_80~89세,"7,759","1,386",453,466,328,461,459,465,261,582,520,304,175,611,615,673
2021년06월_계_90~99세,"1,077",176,74,71,36,58,63,98,38,89,54,28,29,97,81,85
2021년06월_계_100세 이상,39,6,4,3,1,3,1,4,0,5,3,1,2,3,0,3
2021년06월_남_총인구수,"97,561","30,386","2,818","3,669","1,770","3,220","8,590","2,745","3,622","4,043","3,737","1,949","1,015","6,272","12,416","11,309"
2021년06월_남_연령구간인구수,"97,561","30,386","2,818","3,669","1,770","3,220","8,590","2,745","3,622","4,043","3,737","1,949","1,015","6,272","12,416","11,309"
2021년06월_남_0~9세,"6,986","2,917",88,199,47,105,712,74,218,144,105,40,25,341,"1,076",895
2021년06월_남_10~19세,"9,512","3,902",173,313,76,145,555,127,221,304,287,186,47,530,"1,348","1,298"
2021년06월_남_20~29세,"12,747","3,789",295,403,188,345,"1,176",267,477,379,395,239,113,874,"1,976","1,831"
2021년06월_남_30~39세,"12,557","4,383",239,332,129,338,"1,502",230,582,371,325,187,80,719,"1,740","1,400"
2021년06월_남_40~49세,"16,176","6,191",320,524,204,456,"1,575",325,570,484,442,201,108,915,"2,111","1,750"
2021년06월_남_50~59세,"16,741","4,701",552,699,376,613,"1,377",571,643,750,806,346,196,"1,132","1,994","1,985"
2021년06월_남_60~69세,"13,561","2,709",662,723,407,704,"1,045",663,569,891,798,412,254,996,"1,401","1,327"
2021년06월_남_70~79세,"6,292","1,301",313,294,213,339,456,308,239,488,374,222,114,506,554,571
2021년06월_남_80~89세,"2,767",456,162,170,121,163,183,163,89,215,194,112,74,239,195,231
2021년06월_남_90~99세,216,36,14,11,9,11,9,17,14,16,10,4,4,19,21,21
2021년06월_남_100세 이상,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021년06월_여_총인구수,"91,499","29,793","2,524","3,690","1,586","2,689","6,759","2,526","2,809","3,625","3,259","1,870",930,"6,183","12,047","11,209"
2021년06월_여_연령구간인구수,"91,499","29,793","2,524","3,690","1,586","2,689","6,759","2,526","2,809","3,625","3,259","1,870",930,"6,183","12,047","11,209"
2021년06월_여_0~9세,"6,602","2,847",79,170,36,102,600,70,167,137,109,40,24,362,998,861
2021년06월_여_10~19세,"8,764","3,663",115,316,68,126,529,141,173,218,225,231,34,499,"1,239","1,187"
2021년06월_여_20~29세,"10,306","3,282",201,322,108,207,874,184,299,293,305,228,88,726,"1,724","1,465"
2021년06월_여_30~39세,"10,333","3,946",166,304,102,212,"1,033",157,369,236,197,97,55,610,"1,552","1,297"
2021년06월_여_40~49세,"14,092","5,954",219,470,132,268,"1,010",230,365,327,305,144,70,812,"1,978","1,808"
2021년06월_여_50~59세,"14,791","4,347",461,637,288,491,980,444,527,618,592,296,169,"1,077","1,904","1,960"
2021년06월_여_60~69세,"13,279","3,026",548,714,373,578,945,574,463,861,709,379,236,"1,040","1,449","1,384"
2021년06월_여_70~79세,"7,446","1,653",380,399,244,358,457,339,250,491,445,238,126,605,723,738
2021년06월_여_80~89세,"4,992",930,291,296,207,298,276,302,172,367,326,192,101,372,420,442
2021년06월_여_90~99세,861,140,60,60,27,47,54,81,24,73,44,24,25,78,60,64
2021년06월_여_100세 이상,33,5,4,2,1,2,1,4,0,4,2,1,2,2,0,3
