카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년06월_계_총인구수,"69,285","22,697","7,902","4,914","7,037","4,521","4,302","3,038","3,968","1,872","3,245","2,877","2,252",391,269
2021년06월_계_연령구간인구수,"69,285","22,697","7,902","4,914","7,037","4,521","4,302","3,038","3,968","1,872","3,245","2,877","2,252",391,269
2021년06월_계_0~9세,"3,308","1,479",500,172,293,139,167,80,124,67,132,71,69,9,6
2021년06월_계_10~19세,"4,538","2,162",675,209,390,202,215,104,146,72,131,107,104,17,4
2021년06월_계_20~29세,"5,184","2,241",688,315,480,254,251,153,210,90,198,157,113,25,9
2021년06월_계_30~39세,"5,317","2,122",669,323,616,321,267,182,231,78,215,148,117,20,8
2021년06월_계_40~49세,"7,670","3,200","1,105",424,741,386,401,252,324,142,274,193,194,21,13
2021년06월_계_50~59세,"11,713","3,731","1,326",827,"1,303",764,734,511,610,328,553,515,392,72,47
2021년06월_계_60~69세,"14,899","3,785","1,486","1,291","1,713","1,202","1,033",803,967,457,716,682,579,101,84
2021년06월_계_70~79세,"9,992","2,482",865,778,950,778,708,597,764,365,597,583,395,68,62
2021년06월_계_80~89세,"5,796","1,331",502,478,461,396,447,325,535,241,376,374,252,49,29
2021년06월_계_90~99세,850,160,86,96,88,79,75,29,56,32,51,46,36,9,7
2021년06월_계_100세 이상,18,4,0,1,2,0,4,2,1,0,2,1,1,0,0
2021년06월_남_총인구수,"34,644","11,194","3,927","2,474","3,528","2,296","2,154","1,495","2,021",919,"1,630","1,482","1,178",200,146
2021년06월_남_연령구간인구수,"34,644","11,194","3,927","2,474","3,528","2,296","2,154","1,495","2,021",919,"1,630","1,482","1,178",200,146
2021년06월_남_0~9세,"1,740",796,238,84,148,66,92,50,68,33,71,40,46,5,3
2021년06월_남_10~19세,"2,323","1,077",343,105,199,119,113,53,80,34,65,58,65,10,2
2021년06월_남_20~29세,"2,938","1,242",389,179,284,144,143,87,133,52,111,95,62,11,6
2021년06월_남_30~39세,"2,792","1,094",337,168,315,187,146,97,118,37,125,83,70,10,5
2021년06월_남_40~49세,"4,156","1,632",566,246,418,230,222,142,186,77,169,127,117,14,10
2021년06월_남_50~59세,"6,032","1,913",684,422,634,360,390,251,329,186,305,283,207,43,25
2021년06월_남_60~69세,"7,432","1,808",734,652,856,621,526,393,508,229,349,348,311,48,49
2021년06월_남_70~79세,"4,723","1,104",417,405,466,381,326,287,363,164,289,272,180,40,29
2021년06월_남_80~89세,"2,302",487,200,189,193,166,175,125,228,101,132,162,113,16,15
2021년06월_남_90~99세,201,40,19,23,13,22,21,9,8,6,14,14,7,3,2
2021년06월_남_100세 이상,5,1,0,1,2,0,0,1,0,0,0,0,0,0,0
2021년06월_여_총인구수,"34,641","11,503","3,975","2,440","3,509","2,225","2,148","1,543","1,947",953,"1,615","1,395","1,074",191,123
2021년06월_여_연령구간인구수,"34,641","11,503","3,975","2,440","3,509","2,225","2,148","1,543","1,947",953,"1,615","1,395","1,074",191,123
2021년06월_여_0~9세,"1,568",683,262,88,145,73,75,30,56,34,61,31,23,4,3
2021년06월_여_10~19세,"2,215","1,085",332,104,191,83,102,51,66,38,66,49,39,7,2
2021년06월_여_20~29세,"2,246",999,299,136,196,110,108,66,77,38,87,62,51,14,3
2021년06월_여_30~39세,"2,525","1,028",332,155,301,134,121,85,113,41,90,65,47,10,3
2021년06월_여_40~49세,"3,514","1,568",539,178,323,156,179,110,138,65,105,66,77,7,3
2021년06월_여_50~59세,"5,681","1,818",642,405,669,404,344,260,281,142,248,232,185,29,22
2021년06월_여_60~69세,"7,467","1,977",752,639,857,581,507,410,459,228,367,334,268,53,35
2021년06월_여_70~79세,"5,269","1,378",448,373,484,397,382,310,401,201,308,311,215,28,33
2021년06월_여_80~89세,"3,494",844,302,289,268,230,272,200,307,140,244,212,139,33,14
2021년06월_여_90~99세,649,120,67,73,75,57,54,20,48,26,37,32,29,6,5
2021년06월_여_100세 이상,13,3,0,0,0,0,4,1,1,0,2,1,1,0,0
