,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년11월_계_총인구수,"278,496","6,744","7,728","6,971","2,261","1,516","1,897","2,631","3,010","2,964","3,281","5,213","4,299","4,417","2,580","1,538","3,256","4,683","6,894","22,292","9,266","11,398","38,865","8,531","22,820","14,079","24,737","15,548","6,542","32,535"
2021년11월_계_연령구간인구수,"278,496","6,744","7,728","6,971","2,261","1,516","1,897","2,631","3,010","2,964","3,281","5,213","4,299","4,417","2,580","1,538","3,256","4,683","6,894","22,292","9,266","11,398","38,865","8,531","22,820","14,079","24,737","15,548","6,542","32,535"
2021년11월_계_0~9세,"17,630",315,472,264,53,18,32,66,104,74,162,340,86,155,57,23,82,275,282,"1,518",412,414,"3,513",810,"1,357","1,162","2,026",544,483,"2,531"
2021년11월_계_10~19세,"27,120",561,612,450,120,59,91,132,133,146,155,328,172,254,94,76,114,328,395,"2,176",672,880,"4,425",964,"2,636","1,924","3,257","1,099",639,"4,228"
2021년11월_계_20~29세,"35,143",567,652,613,170,89,118,178,200,138,288,593,269,386,215,80,370,455,870,"2,385","1,337","1,251","4,603",916,"3,177","2,312","3,468","4,229",730,"4,484"
2021년11월_계_30~39세,"27,465",486,709,497,111,62,76,138,187,137,260,471,198,321,154,72,291,452,749,"2,307",874,919,"4,378","1,134","2,272","1,531","2,892","1,467",768,"3,552"
2021년11월_계_40~49세,"40,395",761,998,715,211,119,173,211,293,256,312,571,380,466,231,124,367,679,772,"3,341","1,223","1,408","6,296","1,405","3,452","2,600","4,670","1,633","1,033","5,695"
2021년11월_계_50~59세,"48,540","1,152","1,314","1,283",409,240,338,369,527,469,531,851,718,811,532,236,515,907,"1,111","3,979","1,808","1,859","6,333","1,298","4,346","2,581","4,632","2,198","1,101","6,092"
2021년11월_계_60~69세,"42,294","1,425","1,501","1,447",481,390,467,617,669,750,674,"1,066","1,029",925,567,361,718,884,"1,304","3,627","1,668","2,130","5,181","1,119","3,500","1,088","2,293","2,064",919,"3,430"
2021년11월_계_70~79세,"24,865",887,882,981,402,284,337,517,519,566,501,622,812,597,399,319,535,480,918,"1,951",860,"1,721","2,685",605,"1,371",596,993,"1,449",508,"1,568"
