,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년06월_계_총인구수,"280,072","6,869","7,783","7,089","2,279","1,555","1,908","2,635","3,068","2,986","3,309","5,243","4,359","4,523","2,589","1,576","3,381","4,801","6,963","22,529","9,352","11,575","38,365","8,492","22,984","14,152","24,954","15,710","6,689","32,354"
2021년06월_계_연령구간인구수,"280,072","6,869","7,783","7,089","2,279","1,555","1,908","2,635","3,068","2,986","3,309","5,243","4,359","4,523","2,589","1,576","3,381","4,801","6,963","22,529","9,352","11,575","38,365","8,492","22,984","14,152","24,954","15,710","6,689","32,354"
2021년06월_계_0~9세,"18,263",345,512,260,61,24,32,66,109,87,165,342,85,171,63,25,95,293,296,"1,604",415,464,"3,550",828,"1,430","1,182","2,115",585,529,"2,530"
2021년06월_계_10~19세,"27,457",572,600,476,126,58,94,136,134,143,163,346,189,270,96,81,121,344,411,"2,181",688,915,"4,326",979,"2,629","1,998","3,300","1,197",639,"4,245"
2021년06월_계_20~29세,"35,662",583,670,651,169,92,124,178,210,133,305,624,270,402,221,94,358,479,876,"2,466","1,364","1,298","4,614",910,"3,248","2,329","3,525","4,166",773,"4,530"
2021년06월_계_30~39세,"27,791",500,729,512,116,68,78,140,199,148,258,463,202,336,147,68,309,482,754,"2,376",880,965,"4,350","1,115","2,314","1,530","2,975","1,477",810,"3,490"
2021년06월_계_40~49세,"41,039",787,"1,023",749,216,127,168,217,312,270,326,574,400,488,241,128,394,699,806,"3,410","1,242","1,434","6,231","1,417","3,506","2,671","4,779","1,652","1,029","5,743"
2021년06월_계_50~59세,"48,434","1,186","1,310","1,303",413,254,342,372,532,473,545,870,718,825,536,233,545,932,"1,116","3,997","1,852","1,856","6,203","1,261","4,379","2,517","4,547","2,249","1,098","5,970"
2021년06월_계_60~69세,"41,841","1,422","1,483","1,430",471,388,470,617,673,741,651,"1,049","1,028",940,553,381,741,864,"1,312","3,571","1,647","2,150","5,058","1,112","3,436","1,060","2,240","2,090",929,"3,334"
2021년06월_계_70~79세,"24,792",877,870,"1,002",407,284,343,521,532,576,520,615,823,587,404,313,550,481,897,"1,937",865,"1,720","2,617",595,"1,338",594,978,"1,452",517,"1,577"
2021년06월_계_80~89세,"12,645",511,497,590,244,219,213,329,323,359,331,317,530,422,266,215,217,199,435,876,354,679,"1,224",240,591,233,428,698,285,820
2021년06월_계_90~99세,"2,072",84,87,107,53,40,43,59,43,54,45,43,110,81,58,35,47,28,58,105,44,92,186,33,111,37,65,133,77,114
2021년06월_계_100세 이상,76,2,2,9,3,1,1,0,1,2,0,0,4,1,4,3,4,0,2,6,1,2,6,2,2,1,2,11,3,1
2021년06월_남_총인구수,"139,543","3,367","3,852","3,589","1,125",792,965,"1,326","1,619","1,475","1,671","2,746","2,238","2,342","1,338",779,"1,784","2,551","3,570","11,075","4,734","5,958","18,547","4,226","11,341","6,928","12,182","7,902","3,456","16,065"
2021년06월_남_연령구간인구수,"139,543","3,367","3,852","3,589","1,125",792,965,"1,326","1,619","1,475","1,671","2,746","2,238","2,342","1,338",779,"1,784","2,551","3,570","11,075","4,734","5,958","18,547","4,226","11,341","6,928","12,182","7,902","3,456","16,065"
2021년06월_남_0~9세,"9,400",182,258,139,29,10,20,34,50,35,72,173,56,94,39,13,56,163,159,788,233,241,"1,843",411,745,602,"1,107",302,274,"1,272"
2021년06월_남_10~19세,"14,055",269,296,246,59,40,46,64,82,67,88,173,109,156,53,46,71,164,215,"1,146",378,562,"2,131",521,"1,352","1,041","1,665",558,327,"2,130"
2021년06월_남_20~29세,"19,429",330,363,373,98,47,73,107,125,83,174,405,150,242,135,56,198,267,449,"1,350",718,743,"2,387",493,"1,789","1,218","1,883","2,278",442,"2,453"
2021년06월_남_30~39세,"14,536",258,396,279,69,44,43,95,112,99,158,259,129,176,93,38,189,257,447,"1,241",502,549,"2,106",531,"1,176",754,"1,461",869,446,"1,760"
2021년06월_남_40~49세,"20,974",434,545,430,123,83,113,140,194,158,198,317,271,301,160,82,238,387,456,"1,774",670,800,"3,074",754,"1,680","1,202","2,219",892,534,"2,745"
2021년06월_남_50~59세,"24,675",622,676,715,229,156,199,209,318,265,312,464,390,473,298,127,283,522,618,"1,988",893,957,"2,950",643,"2,090","1,276","2,258","1,120",572,"3,052"
2021년06월_남_60~69세,"20,709",712,733,730,256,192,249,319,379,374,312,538,549,482,289,196,381,463,608,"1,689",817,"1,006","2,430",526,"1,690",517,"1,058",994,488,"1,732"
2021년06월_남_70~79세,"11,140",379,391,451,175,133,148,234,235,264,256,285,374,276,176,138,264,253,438,808,400,786,"1,160",254,624,232,392,666,258,690
2021년06월_남_80~89세,"4,153",166,173,203,76,78,66,109,115,118,92,117,172,121,83,75,91,72,163,269,115,289,414,85,174,80,124,203,97,213
2021년06월_남_90~99세,457,15,19,20,11,9,8,15,9,12,9,15,37,21,11,8,13,3,17,22,8,23,51,7,21,6,14,19,17,17
2021년06월_남_100세 이상,15,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,1,1,1,1
2021년06월_여_총인구수,"140,529","3,502","3,931","3,500","1,154",763,943,"1,309","1,449","1,511","1,638","2,497","2,121","2,181","1,251",797,"1,597","2,250","3,393","11,454","4,618","5,617","19,818","4,266","11,643","7,224","12,772","7,808","3,233","16,289"
2021년06월_여_연령구간인구수,"140,529","3,502","3,931","3,500","1,154",763,943,"1,309","1,449","1,511","1,638","2,497","2,121","2,181","1,251",797,"1,597","2,250","3,393","11,454","4,618","5,617","19,818","4,266","11,643","7,224","12,772","7,808","3,233","16,289"
2021년06월_여_0~9세,"8,863",163,254,121,32,14,12,32,59,52,93,169,29,77,24,12,39,130,137,816,182,223,"1,707",417,685,580,"1,008",283,255,"1,258"
2021년06월_여_10~19세,"13,402",303,304,230,67,18,48,72,52,76,75,173,80,114,43,35,50,180,196,"1,035",310,353,"2,195",458,"1,277",957,"1,635",639,312,"2,115"
2021년06월_여_20~29세,"16,233",253,307,278,71,45,51,71,85,50,131,219,120,160,86,38,160,212,427,"1,116",646,555,"2,227",417,"1,459","1,111","1,642","1,888",331,"2,077"
2021년06월_여_30~39세,"13,255",242,333,233,47,24,35,45,87,49,100,204,73,160,54,30,120,225,307,"1,135",378,416,"2,244",584,"1,138",776,"1,514",608,364,"1,730"
2021년06월_여_40~49세,"20,065",353,478,319,93,44,55,77,118,112,128,257,129,187,81,46,156,312,350,"1,636",572,634,"3,157",663,"1,826","1,469","2,560",760,495,"2,998"
2021년06월_여_50~59세,"23,759",564,634,588,184,98,143,163,214,208,233,406,328,352,238,106,262,410,498,"2,009",959,899,"3,253",618,"2,289","1,241","2,289","1,129",526,"2,918"
2021년06월_여_60~69세,"21,132",710,750,700,215,196,221,298,294,367,339,511,479,458,264,185,360,401,704,"1,882",830,"1,144","2,628",586,"1,746",543,"1,182","1,096",441,"1,602"
2021년06월_여_70~79세,"13,652",498,479,551,232,151,195,287,297,312,264,330,449,311,228,175,286,228,459,"1,129",465,934,"1,457",341,714,362,586,786,259,887
2021년06월_여_80~89세,"8,492",345,324,387,168,141,147,220,208,241,239,200,358,301,183,140,126,127,272,607,239,390,810,155,417,153,304,495,188,607
2021년06월_여_90~99세,"1,615",69,68,87,42,31,35,44,34,42,36,28,73,60,47,27,34,25,41,83,36,69,135,26,90,31,51,114,60,97
2021년06월_여_100세 이상,61,2,0,6,3,1,1,0,1,2,0,0,3,1,3,3,4,0,2,6,1,0,5,1,2,1,1,10,2,0
