,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년04월_남_20~29세,"31,230",969,516,"1,167",326,"2,206","2,305","1,021","1,308",500,"2,707","4,183","1,430","2,407","4,978","1,739",94,97,261,109,82,"2,825"
2021년04월_남_30~39세,"27,497",627,512,"1,103",297,"2,777","2,439",659,895,464,"1,771","3,056","1,136","1,965","4,764","1,868",68,92,286,95,64,"2,559"
2021년04월_남_40~49세,"37,918",956,454,"1,387",371,"3,291","2,194",809,"1,426",735,"1,975","3,790","1,946","2,806","8,634","2,623",115,113,345,126,142,"3,680"
2021년04월_남_50~59세,"33,554",975,569,"1,257",402,"2,310","2,570","1,084","1,536",783,"2,663","3,908","1,594","2,759","5,354","1,795",239,184,427,234,186,"2,725"
2021년04월_남_60~69세,"17,225",639,428,721,300,"1,528","1,806",725,883,376,"1,277","1,539",575,"1,205","1,896","1,019",260,214,438,255,225,916
2021년04월_남_70~79세,"7,406",362,345,438,211,607,700,264,355,182,366,470,270,513,714,284,160,169,270,175,145,406
2021년04월_남_80~89세,"2,340",118,106,129,57,184,199,78,107,60,149,179,67,177,151,72,83,49,94,73,98,110
2021년04월_남_90~99세,219,10,12,16,7,12,15,10,7,6,11,12,7,19,13,9,6,3,13,7,12,12
2021년04월_남_100세 이상,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2021년04월_여_총인구수,"200,815","5,460","3,271","7,677","2,308","16,082","13,981","5,515","7,909","3,431","13,892","21,555","9,157","15,939","39,357","12,083","1,025",932,"1,836","1,100","1,034","17,271"
