카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년08월_계_총인구수,"296,183","17,212","27,298","23,003","11,898","14,302","24,261","15,839","15,801","23,609","14,838","26,821","16,688","13,701","16,834","11,247","10,850","11,981"
2020년08월_계_연령구간인구수,"296,183","17,212","27,298","23,003","11,898","14,302","24,261","15,839","15,801","23,609","14,838","26,821","16,688","13,701","16,834","11,247","10,850","11,981"
2020년08월_계_0~9세,"20,901","1,241","2,403","1,229",425,"1,026","1,861","1,203","1,342","1,777","1,407","2,668","1,061",781,872,597,551,457
2020년08월_계_10~19세,"20,487","1,224","1,636","1,700",874,"1,022","2,190","1,727","1,087","1,515",979,"1,682","1,166",953,931,533,627,641
2020년08월_계_20~29세,"45,461","2,533","4,473","4,452","4,511","2,272","3,037","1,749","1,842","2,996","1,544","3,049","2,572","2,192","2,411","2,038","1,711","2,079"
2020년08월_계_30~39세,"49,558","2,991","4,791","3,254","1,620","2,343","3,744","2,270","2,819","4,248","2,804","5,194","2,963","2,526","2,631","1,997","1,670","1,693"
2020년08월_계_40~49세,"45,723","2,647","4,067","3,104","1,151","2,209","4,177","2,979","2,596","3,784","2,607","4,481","2,457","2,151","2,391","1,502","1,609","1,811"
2020년08월_계_50~59세,"47,585","2,779","4,467","3,746","1,284","2,309","3,937","2,452","2,399","3,703","2,155","3,964","3,027","2,098","3,198","1,860","1,996","2,211"
2020년08월_계_60~69세,"36,056","2,081","2,994","2,967",947,"1,676","2,743","1,678","2,043","2,972","1,777","3,140","2,082","1,690","2,582","1,490","1,581","1,613"
2020년08월_계_70~79세,"20,636","1,198","1,648","1,746",742,975,"1,736","1,204","1,113","1,769","1,060","1,748",936,899,"1,253",828,755,"1,026"
