,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년12월_계_총인구수,"2,639,422","502,916","230,422","272,494","253,502","140,548","158,907","416,328","103,119","102,015","97,228","71,406","263,728","23,256","51,724","25,044","16,692","36,313","42,263","31,361","43,414","114,758","55,613","31,494","48,716","9,077"
2020년12월_계_연령구간인구수,"2,639,422","502,916","230,422","272,494","253,502","140,548","158,907","416,328","103,119","102,015","97,228","71,406","263,728","23,256","51,724","25,044","16,692","36,313","42,263","31,361","43,414","114,758","55,613","31,494","48,716","9,077"
2020년12월_계_0~9세,"189,561","39,673","17,468","22,205","16,196","10,437","10,643","41,366","6,100","5,699","5,200","4,072","20,476",681,"1,911",979,726,"1,675","1,526","1,418","1,910","9,524","4,639","1,385","2,933",392
2020년12월_계_10~19세,"225,924","46,753","21,242","25,511","20,836","12,245","13,736","44,917","8,883","6,692","7,541","5,580","22,700",961,"2,296","1,207",938,"2,117","2,254","2,041","2,257","11,541","4,346","1,867","3,753",463
2020년12월_계_20~29세,"284,163","56,450","26,193","30,257","26,921","14,620","16,790","56,651","9,629","10,151","8,163","6,207","36,229","1,522","3,154","1,694","1,145","2,425","2,865","2,541","3,534","12,032","4,114","2,008","4,485",833
2020년12월_계_30~39세,"291,117","59,577","26,979","32,598","25,460","15,142","15,481","65,718","8,488","9,440","7,445","5,726","33,192","1,309","3,243","1,693","1,032","2,406","2,777","2,265","3,290","14,876","5,471","1,944","4,290",852
2020년12월_계_40~49세,"383,508","77,130","35,625","41,505","36,687","19,401","22,332","73,143","13,901","12,658","11,490","8,787","41,568","2,159","4,700","2,399","1,729","3,873","4,439","3,822","4,759","20,660","7,087","3,231","6,263","1,290"
2020년12월_계_50~59세,"459,662","90,149","41,381","48,768","46,852","23,907","26,500","69,803","17,941","18,310","16,728","12,037","44,853","4,312","8,714","4,708","2,987","6,165","7,302","5,899","8,521","19,625","8,090","5,769","8,642","1,848"
2020년12월_계_60~69세,"409,250","78,580","36,601","41,979","41,169","22,012","25,641","39,469","18,377","18,724","18,318","13,378","34,901","5,336","11,789","5,527","3,456","7,410","9,613","6,267","9,308","13,758","9,422","6,826","8,203","1,766"
2020년12월_계_70~79세,"241,411","36,999","17,237","19,762","24,523","13,435","16,626","16,035","11,868","12,538","12,639","9,268","19,395","4,018","8,938","4,042","2,684","5,909","6,588","4,109","5,836","7,677","6,827","4,733","5,679","1,045"
2020년12월_계_80~89세,"135,047","15,351","6,752","8,599","13,012","8,114","9,644","8,019","6,856","6,966","8,366","5,480","9,254","2,612","6,135","2,466","1,715","3,780","4,280","2,674","3,482","4,406","4,927","3,198","3,812",498
2020년12월_계_90~99세,"18,786","2,142",887,"1,255","1,754","1,182","1,452","1,155","1,016",794,"1,276",814,"1,095",331,796,308,252,523,598,314,489,618,656,503,640,78
2020년12월_계_100세 이상,993,112,57,55,92,53,62,52,60,43,62,57,65,15,48,21,28,30,21,11,28,41,34,30,16,12
2020년12월_남_총인구수,"1,329,211","254,222","118,767","135,455","126,911","70,525","78,661","213,720","51,070","51,812","47,634","35,000","132,805","11,892","25,265","12,482","8,263","17,197","20,775","16,074","22,473","59,828","27,352","15,853","24,441","4,956"
2020년12월_남_연령구간인구수,"1,329,211","254,222","118,767","135,455","126,911","70,525","78,661","213,720","51,070","51,812","47,634","35,000","132,805","11,892","25,265","12,482","8,263","17,197","20,775","16,074","22,473","59,828","27,352","15,853","24,441","4,956"
2020년12월_남_0~9세,"97,729","20,600","9,048","11,552","8,296","5,416","5,582","21,312","3,153","2,888","2,688","2,115","10,441",370,"1,002",503,385,831,779,728,965,"4,901","2,364",713,"1,494",203
2020년12월_남_10~19세,"118,670","24,487","11,159","13,328","10,892","6,594","7,187","23,407","4,624","3,593","3,933","3,021","11,778",523,"1,203",635,479,"1,089","1,155","1,091","1,263","6,118","2,315","1,002","2,048",233
2020년12월_남_20~29세,"160,830","32,344","15,466","16,878","15,192","8,213","9,194","31,393","5,672","5,995","4,750","3,517","19,914",927,"1,814","1,025",675,"1,407","1,709","1,478","2,100","6,834","2,328","1,177","2,666",506
2020년12월_남_30~39세,"155,283","31,496","14,590","16,906","13,588","8,003","8,021","35,035","4,511","5,167","4,015","3,016","17,799",749,"1,804",992,557,"1,238","1,475","1,244","1,811","8,106","2,758","1,053","2,334",511
2020년12월_남_40~49세,"200,206","38,777","18,351","20,426","19,117","10,231","11,617","36,976","7,208","6,950","6,091","4,725","21,315","1,273","2,753","1,382","1,020","2,151","2,490","2,148","2,839","11,152","3,873","1,892","3,435",791
2020년12월_남_50~59세,"237,742","45,244","21,495","23,749","24,216","12,483","13,575","35,613","9,139","9,795","8,828","6,212","22,490","2,432","4,714","2,493","1,636","3,274","3,881","3,320","4,666","10,649","4,205","3,120","4,678","1,079"
2020년12월_남_60~69세,"202,941","38,526","18,078","20,448","20,281","10,809","12,394","20,233","8,804","9,352","8,988","6,467","17,045","2,811","5,919","2,752","1,721","3,537","4,800","3,285","4,875","7,130","4,685","3,531","4,061",935
2020년12월_남_70~79세,"107,476","17,294","8,227","9,067","10,872","5,846","7,430","7,033","5,338","5,597","5,452","4,004","8,599","1,854","3,877","1,767","1,163","2,380","3,009","1,821","2,713","3,346","3,031","2,120","2,451",479
