,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년07월_계_총인구수,"69,399","24,871","2,978","3,302","2,863","6,253","2,873","2,041","3,063","2,193","2,441","4,907","3,843","4,118","3,653"
2020년07월_계_연령구간인구수,"69,399","24,871","2,978","3,302","2,863","6,253","2,873","2,041","3,063","2,193","2,441","4,907","3,843","4,118","3,653"
2020년07월_계_0~9세,"4,202","2,389",101,144,73,311,106,47,106,82,89,202,206,200,146
2020년07월_계_10~19세,"5,374","2,979",156,156,148,379,172,109,167,89,127,259,199,232,202
2020년07월_계_20~29세,"5,591","2,676",224,201,155,483,189,113,202,102,144,291,254,281,276
2020년07월_계_30~39세,"5,288","2,681",185,217,136,428,147,87,143,111,108,288,258,260,239
2020년07월_계_40~49세,"8,192","3,837",282,327,269,659,259,181,341,206,235,410,399,404,383
2020년07월_계_50~59세,"11,778","4,091",547,545,495,"1,117",465,337,517,333,435,892,648,728,628
2020년07월_계_60~69세,"12,112","3,133",620,661,625,"1,177",593,406,557,444,461,"1,114",721,842,758
2020년07월_계_70~79세,"10,091","2,032",513,639,568,"1,024",565,425,567,416,475,852,704,724,587
2020년07월_계_80~89세,"5,940",915,308,377,345,614,339,298,380,358,318,536,393,390,369
2020년07월_계_90~99세,786,136,40,34,45,58,37,37,76,47,45,58,59,55,59
2020년07월_계_100세 이상,45,2,2,1,4,3,1,1,7,5,4,5,2,2,6
2020년07월_남_총인구수,"34,243","12,250","1,480","1,651","1,423","3,067","1,380",968,"1,525","1,022","1,232","2,407","1,921","2,044","1,873"
2020년07월_남_연령구간인구수,"34,243","12,250","1,480","1,651","1,423","3,067","1,380",968,"1,525","1,022","1,232","2,407","1,921","2,044","1,873"
2020년07월_남_0~9세,"2,121","1,193",48,78,38,159,49,27,57,36,55,98,103,104,76
2020년07월_남_10~19세,"2,789","1,541",86,77,80,191,93,54,89,48,73,138,95,124,100
2020년07월_남_20~29세,"3,146","1,448",120,105,93,297,106,64,115,62,90,185,138,171,152
2020년07월_남_30~39세,"2,742","1,293",103,135,91,241,74,47,77,56,54,163,140,130,138
2020년07월_남_40~49세,"4,644","1,911",176,210,162,384,152,117,211,132,159,242,280,243,265
2020년07월_남_50~59세,"6,464","2,137",296,323,276,577,248,196,309,176,267,500,374,408,377
2020년07월_남_60~69세,"6,001","1,497",325,315,332,566,293,202,283,219,232,545,379,419,394
2020년07월_남_70~79세,"4,358",920,211,285,232,459,247,157,241,165,197,368,298,328,250
2020년07월_남_80~89세,"1,825",278,105,117,114,187,105,100,130,112,93,159,108,108,109
2020년07월_남_90~99세,152,32,10,6,5,6,13,4,13,15,12,9,6,9,12
2020년07월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년07월_여_총인구수,"35,156","12,621","1,498","1,651","1,440","3,186","1,493","1,073","1,538","1,171","1,209","2,500","1,922","2,074","1,780"
2020년07월_여_연령구간인구수,"35,156","12,621","1,498","1,651","1,440","3,186","1,493","1,073","1,538","1,171","1,209","2,500","1,922","2,074","1,780"
2020년07월_여_0~9세,"2,081","1,196",53,66,35,152,57,20,49,46,34,104,103,96,70
2020년07월_여_10~19세,"2,585","1,438",70,79,68,188,79,55,78,41,54,121,104,108,102
2020년07월_여_20~29세,"2,445","1,228",104,96,62,186,83,49,87,40,54,106,116,110,124
2020년07월_여_30~39세,"2,546","1,388",82,82,45,187,73,40,66,55,54,125,118,130,101
2020년07월_여_40~49세,"3,548","1,926",106,117,107,275,107,64,130,74,76,168,119,161,118
2020년07월_여_50~59세,"5,314","1,954",251,222,219,540,217,141,208,157,168,392,274,320,251
2020년07월_여_60~69세,"6,111","1,636",295,346,293,611,300,204,274,225,229,569,342,423,364
2020년07월_여_70~79세,"5,733","1,112",302,354,336,565,318,268,326,251,278,484,406,396,337
2020년07월_여_80~89세,"4,115",637,203,260,231,427,234,198,250,246,225,377,285,282,260
2020년07월_여_90~99세,634,104,30,28,40,52,24,33,63,32,33,49,53,46,47
2020년07월_여_100세 이상,44,2,2,1,4,3,1,1,7,4,4,5,2,2,6
