,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년12월_계_총인구수,"463,661","32,558","31,445","36,130","34,803","20,259","42,560","47,622","43,420","33,524","47,014","27,215","25,939","19,569","21,603"
2021년12월_계_연령구간인구수,"463,661","32,558","31,445","36,130","34,803","20,259","42,560","47,622","43,420","33,524","47,014","27,215","25,939","19,569","21,603"
2021년12월_계_0~9세,"32,996","1,126","1,686","2,153","2,294","1,366","2,616","3,297","3,672","2,644","6,342","1,827","1,466","1,155","1,352"
2021년12월_계_10~19세,"41,616","1,595","2,083","2,785","3,320","2,000","3,665","4,903","3,706","4,147","5,372","2,446","1,955","1,566","2,073"
2021년12월_계_20~29세,"64,284","6,732","5,466","4,672","4,441","2,346","5,864","6,710","5,778","4,542","4,963","3,832","3,479","2,607","2,852"
2021년12월_계_30~39세,"60,071","5,123","4,605","4,350","3,833","2,171","4,900","5,458","6,627","3,696","7,821","3,257","3,304","2,454","2,472"
2021년12월_계_40~49세,"73,614","4,397","4,701","5,589","5,483","3,348","6,389","7,338","6,923","6,092","9,399","4,037","3,733","2,781","3,404"
2021년12월_계_50~59세,"81,152","5,485","5,462","6,058","5,996","3,401","8,440","8,882","7,478","6,143","6,293","5,115","4,901","3,589","3,909"
2021년12월_계_60~69세,"61,579","4,713","4,246","5,466","4,744","2,957","6,201","6,457","5,463","3,233","4,127","3,753","4,039","3,063","3,117"
2021년12월_계_70~79세,"31,279","2,178","2,124","3,488","3,044","1,720","2,929","2,901","2,298","1,905","1,820","1,841","2,003","1,494","1,534"
2021년12월_계_80~89세,"15,055","1,065",951,"1,423","1,471",834,"1,388","1,449","1,282",972,762,987,947,763,761
2021년12월_계_90~99세,"1,960",139,119,144,171,112,167,225,185,146,111,117,106,93,125
2021년12월_계_100세 이상,55,5,2,2,6,4,1,2,8,4,4,3,6,4,4
2021년12월_남_총인구수,"228,538","16,694","15,612","17,572","16,846","9,701","20,917","23,095","21,613","16,578","22,826","13,356","12,993","9,954","10,781"
2021년12월_남_연령구간인구수,"228,538","16,694","15,612","17,572","16,846","9,701","20,917","23,095","21,613","16,578","22,826","13,356","12,993","9,954","10,781"
2021년12월_남_0~9세,"17,090",614,885,"1,108","1,182",692,"1,377","1,723","1,882","1,375","3,258",924,747,607,716
2021년12월_남_10~19세,"21,464",798,"1,120","1,414","1,681","1,028","1,856","2,584","1,916","2,113","2,708","1,263","1,029",823,"1,131"
2021년12월_남_20~29세,"32,580","3,147","2,640","2,287","2,260","1,183","3,044","3,417","2,989","2,411","2,455","2,000","1,835","1,405","1,507"
2021년12월_남_30~39세,"30,734","2,821","2,455","2,203","1,938","1,088","2,547","2,732","3,426","1,829","3,669","1,658","1,783","1,323","1,262"
2021년12월_남_40~49세,"37,060","2,479","2,451","2,862","2,640","1,664","3,127","3,557","3,516","2,935","4,722","1,996","1,900","1,507","1,704"
2021년12월_남_50~59세,"39,952","3,009","2,720","2,953","2,971","1,604","4,077","4,170","3,629","3,139","3,019","2,476","2,421","1,802","1,962"
2021년12월_남_60~69세,"29,805","2,432","2,026","2,507","2,198","1,412","3,021","3,089","2,729","1,572","1,919","1,841","2,025","1,535","1,499"
2021년12월_남_70~79세,"13,771",980,913,"1,584","1,297",723,"1,342","1,253","1,056",801,807,808,878,651,678
2021년12월_남_80~89세,"5,615",386,367,612,616,292,493,523,440,367,239,353,356,284,287
2021년12월_남_90~99세,459,27,35,41,62,15,33,47,28,35,29,36,19,17,35
2021년12월_남_100세 이상,8,1,0,1,1,0,0,0,2,1,1,1,0,0,0
2021년12월_여_총인구수,"235,123","15,864","15,833","18,558","17,957","10,558","21,643","24,527","21,807","16,946","24,188","13,859","12,946","9,615","10,822"
2021년12월_여_연령구간인구수,"235,123","15,864","15,833","18,558","17,957","10,558","21,643","24,527","21,807","16,946","24,188","13,859","12,946","9,615","10,822"
2021년12월_여_0~9세,"15,906",512,801,"1,045","1,112",674,"1,239","1,574","1,790","1,269","3,084",903,719,548,636
2021년12월_여_10~19세,"20,152",797,963,"1,371","1,639",972,"1,809","2,319","1,790","2,034","2,664","1,183",926,743,942
2021년12월_여_20~29세,"31,704","3,585","2,826","2,385","2,181","1,163","2,820","3,293","2,789","2,131","2,508","1,832","1,644","1,202","1,345"
2021년12월_여_30~39세,"29,337","2,302","2,150","2,147","1,895","1,083","2,353","2,726","3,201","1,867","4,152","1,599","1,521","1,131","1,210"
2021년12월_여_40~49세,"36,554","1,918","2,250","2,727","2,843","1,684","3,262","3,781","3,407","3,157","4,677","2,041","1,833","1,274","1,700"
2021년12월_여_50~59세,"41,200","2,476","2,742","3,105","3,025","1,797","4,363","4,712","3,849","3,004","3,274","2,639","2,480","1,787","1,947"
2021년12월_여_60~69세,"31,774","2,281","2,220","2,959","2,546","1,545","3,180","3,368","2,734","1,661","2,208","1,912","2,014","1,528","1,618"
2021년12월_여_70~79세,"17,508","1,198","1,211","1,904","1,747",997,"1,587","1,648","1,242","1,104","1,013","1,033","1,125",843,856
2021년12월_여_80~89세,"9,440",679,584,811,855,542,895,926,842,605,523,634,591,479,474
