카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년10월_계_총인구수,"60,102","16,699","11,948","1,932","1,571","3,840","2,474","1,759","2,504","2,340","5,418","1,843","2,730","1,502","3,542"
2021년10월_계_연령구간인구수,"60,102","16,699","11,948","1,932","1,571","3,840","2,474","1,759","2,504","2,340","5,418","1,843","2,730","1,502","3,542"
2021년10월_계_0~9세,"2,917","1,195",849,59,36,87,71,41,119,55,177,35,85,28,80
2021년10월_계_10~19세,"4,037","1,527",946,117,26,182,252,50,165,79,333,61,133,49,117
2021년10월_계_20~29세,"4,464","1,614",846,97,87,252,112,90,187,157,445,89,198,71,219
2021년10월_계_30~39세,"4,749","1,767","1,087",113,85,246,130,96,179,117,389,96,166,73,205
2021년10월_계_40~49세,"6,841","2,281","1,691",129,109,356,181,126,276,213,628,139,281,122,309
2021년10월_계_50~59세,"10,615","2,851","2,087",314,296,711,380,272,429,470,"1,053",322,485,274,671
2021년10월_계_60~69세,"12,668","2,827","2,266",425,412,852,586,438,509,549,"1,218",445,684,440,"1,017"
2021년10월_계_70~79세,"7,956","1,589","1,313",361,273,648,398,370,364,386,715,357,391,255,536
2021년10월_계_80~89세,"5,155",915,760,270,218,451,335,243,239,278,408,264,265,163,346
2021년10월_계_90~99세,684,131,103,46,29,55,28,32,32,34,51,35,40,27,41
2021년10월_계_100세 이상,16,2,0,1,0,0,1,1,5,2,1,0,2,0,1
2021년10월_남_총인구수,"29,925","8,272","6,010",961,742,"1,976","1,156",863,"1,299","1,185","2,733",910,"1,339",753,"1,726"
2021년10월_남_연령구간인구수,"29,925","8,272","6,010",961,742,"1,976","1,156",863,"1,299","1,185","2,733",910,"1,339",753,"1,726"
2021년10월_남_0~9세,"1,519",628,435,26,15,44,42,28,62,31,87,20,43,17,41
2021년10월_남_10~19세,"2,161",787,521,76,18,121,89,24,102,42,182,42,66,27,64
2021년10월_남_20~29세,"2,584",891,472,58,49,163,67,55,120,104,271,55,101,50,128
2021년10월_남_30~39세,"2,592",915,576,57,47,135,78,68,97,73,225,55,102,47,117
2021년10월_남_40~49세,"3,821","1,209",946,79,68,209,112,70,166,125,353,88,156,75,165
2021년10월_남_50~59세,"5,724","1,482","1,130",172,150,434,197,161,258,269,557,180,261,125,348
2021년10월_남_60~69세,"6,343","1,348","1,103",245,213,446,288,224,258,289,618,229,347,234,501
2021년10월_남_70~79세,"3,497",702,572,159,124,276,183,153,154,155,312,155,176,130,246
2021년10월_남_80~89세,"1,561",280,235,82,52,138,93,73,77,96,121,77,80,46,111
2021년10월_남_90~99세,122,30,20,7,6,10,7,7,5,1,6,9,7,2,5
2021년10월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년10월_여_총인구수,"30,177","8,427","5,938",971,829,"1,864","1,318",896,"1,205","1,155","2,685",933,"1,391",749,"1,816"
2021년10월_여_연령구간인구수,"30,177","8,427","5,938",971,829,"1,864","1,318",896,"1,205","1,155","2,685",933,"1,391",749,"1,816"
2021년10월_여_0~9세,"1,398",567,414,33,21,43,29,13,57,24,90,15,42,11,39
2021년10월_여_10~19세,"1,876",740,425,41,8,61,163,26,63,37,151,19,67,22,53
2021년10월_여_20~29세,"1,880",723,374,39,38,89,45,35,67,53,174,34,97,21,91
2021년10월_여_30~39세,"2,157",852,511,56,38,111,52,28,82,44,164,41,64,26,88
2021년10월_여_40~49세,"3,020","1,072",745,50,41,147,69,56,110,88,275,51,125,47,144
2021년10월_여_50~59세,"4,891","1,369",957,142,146,277,183,111,171,201,496,142,224,149,323
2021년10월_여_60~69세,"6,325","1,479","1,163",180,199,406,298,214,251,260,600,216,337,206,516
2021년10월_여_70~79세,"4,459",887,741,202,149,372,215,217,210,231,403,202,215,125,290
2021년10월_여_80~89세,"3,594",635,525,188,166,313,242,170,162,182,287,187,185,117,235
2021년10월_여_90~99세,562,101,83,39,23,45,21,25,27,33,45,26,33,25,36
2021년10월_여_100세 이상,15,2,0,1,0,0,1,1,5,2,0,0,2,0,1
