,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년07월_계_총인구수,"313,319","6,570","73,799","4,241","20,989","19,705","21,418","5,607","6,539","3,164","4,475","20,054","9,537","10,868","36,826","18,504","21,819","29,204"
2020년07월_계_연령구간인구수,"313,319","6,570","73,799","4,241","20,989","19,705","21,418","5,607","6,539","3,164","4,475","20,054","9,537","10,868","36,826","18,504","21,819","29,204"
2020년07월_계_0~9세,"33,717",395,"9,585",220,"3,059","2,680","2,470",149,304,64,117,"1,698",934,462,"4,208","1,572","2,372","3,428"
2020년07월_계_10~19세,"34,235",491,"9,165",352,"2,876","1,654","1,420",282,398,119,190,"2,083",734,838,"4,821","2,460","2,774","3,578"
2020년07월_계_20~29세,"35,896",561,"9,116",306,"2,501","2,000","2,436",435,578,191,367,"2,354","1,069","1,720","4,467","2,120","2,762","2,913"
2020년07월_계_30~39세,"48,723",652,"13,630",257,"4,036","3,656","4,623",395,637,180,315,"2,476","1,800","1,214","5,290","2,116","3,140","4,306"
2020년07월_계_40~49세,"55,563",908,"14,142",584,"4,382","3,351","3,392",596,962,273,408,"3,458","1,529","1,497","6,926","3,444","4,085","5,626"
2020년07월_계_50~59세,"45,581","1,163","9,305",768,"2,256","2,708","3,053","1,048","1,297",528,868,"3,232","1,337","2,043","5,242","3,102","3,324","4,307"
2020년07월_계_60~69세,"30,760","1,132","5,026",789,976,"2,033","2,185","1,208","1,082",758,940,"2,367","1,084","1,615","3,166","1,942","1,778","2,679"
2020년07월_계_70~79세,"17,884",725,"2,495",570,560,992,"1,126",828,704,580,730,"1,488",682,985,"1,788","1,117","1,031","1,483"
2020년07월_계_80~89세,"9,589",475,"1,169",340,297,543,616,582,510,411,488,796,300,430,817,545,474,796
2020년07월_계_90~99세,"1,257",64,155,51,45,88,94,80,63,51,49,94,54,54,90,76,69,80
2020년07월_계_100세 이상,114,4,11,4,1,0,3,4,4,9,3,8,14,10,11,10,10,8
2020년07월_남_총인구수,"162,566","3,424","38,000","2,179","11,364","10,619","11,989","2,963","3,619","1,651","2,289","10,437","4,983","5,615","18,371","9,437","11,132","14,494"
2020년07월_남_연령구간인구수,"162,566","3,424","38,000","2,179","11,364","10,619","11,989","2,963","3,619","1,651","2,289","10,437","4,983","5,615","18,371","9,437","11,132","14,494"
2020년07월_남_0~9세,"17,320",194,"4,922",112,"1,571","1,329","1,277",75,156,38,57,876,477,231,"2,165",836,"1,255","1,749"
2020년07월_남_10~19세,"17,622",255,"4,716",190,"1,485",877,711,165,211,59,92,"1,056",388,443,"2,445","1,275","1,462","1,792"
2020년07월_남_20~29세,"19,943",337,"4,865",179,"1,489","1,219","1,448",271,369,109,209,"1,338",564,973,"2,336","1,212","1,538","1,487"
2020년07월_남_30~39세,"26,014",394,"7,068",136,"2,084","2,009","2,799",246,415,119,185,"1,326","1,009",719,"2,626","1,099","1,620","2,160"
2020년07월_남_40~49세,"30,211",521,"7,473",327,"2,526","1,991","2,127",368,615,188,239,"1,877",861,801,"3,552","1,763","2,084","2,898"
2020년07월_남_50~59세,"24,582",628,"4,929",430,"1,359","1,482","1,729",583,765,304,496,"1,793",716,"1,053","2,717","1,630","1,698","2,270"
2020년07월_남_60~69세,"15,291",562,"2,474",397,489,"1,057","1,170",643,570,368,492,"1,214",530,781,"1,471",925,859,"1,289"
2020년07월_남_70~79세,"7,897",340,"1,112",273,251,467,501,379,320,293,324,654,313,441,744,481,422,582
2020년07월_남_80~89세,"3,373",178,398,124,102,174,212,213,181,157,186,277,110,158,287,192,179,245
2020년07월_남_90~99세,279,13,35,11,8,14,15,18,16,11,9,25,10,13,27,21,14,19
2020년07월_남_100세 이상,34,2,8,0,0,0,0,2,1,5,0,1,5,2,1,3,1,3
2020년07월_여_총인구수,"150,753","3,146","35,799","2,062","9,625","9,086","9,429","2,644","2,920","1,513","2,186","9,617","4,554","5,253","18,455","9,067","10,687","14,710"
2020년07월_여_연령구간인구수,"150,753","3,146","35,799","2,062","9,625","9,086","9,429","2,644","2,920","1,513","2,186","9,617","4,554","5,253","18,455","9,067","10,687","14,710"
2020년07월_여_0~9세,"16,397",201,"4,663",108,"1,488","1,351","1,193",74,148,26,60,822,457,231,"2,043",736,"1,117","1,679"
2020년07월_여_10~19세,"16,613",236,"4,449",162,"1,391",777,709,117,187,60,98,"1,027",346,395,"2,376","1,185","1,312","1,786"
2020년07월_여_20~29세,"15,953",224,"4,251",127,"1,012",781,988,164,209,82,158,"1,016",505,747,"2,131",908,"1,224","1,426"
2020년07월_여_30~39세,"22,709",258,"6,562",121,"1,952","1,647","1,824",149,222,61,130,"1,150",791,495,"2,664","1,017","1,520","2,146"
2020년07월_여_40~49세,"25,352",387,"6,669",257,"1,856","1,360","1,265",228,347,85,169,"1,581",668,696,"3,374","1,681","2,001","2,728"
2020년07월_여_50~59세,"20,999",535,"4,376",338,897,"1,226","1,324",465,532,224,372,"1,439",621,990,"2,525","1,472","1,626","2,037"
2020년07월_여_60~69세,"15,469",570,"2,552",392,487,976,"1,015",565,512,390,448,"1,153",554,834,"1,695","1,017",919,"1,390"
2020년07월_여_70~79세,"9,987",385,"1,383",297,309,525,625,449,384,287,406,834,369,544,"1,044",636,609,901
2020년07월_여_80~89세,"6,216",297,771,216,195,369,404,369,329,254,302,519,190,272,530,353,295,551
2020년07월_여_90~99세,978,51,120,40,37,74,79,62,47,40,40,69,44,41,63,55,55,61
2020년07월_여_100세 이상,80,2,3,4,1,0,3,2,3,4,3,7,9,8,10,7,9,5
