카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년09월_계_총인구수,"61,478","17,045","12,293","2,053","1,617","3,862","2,526","1,803","2,560","2,372","5,575","1,854","2,783","1,540","3,595"
2020년09월_계_연령구간인구수,"61,478","17,045","12,293","2,053","1,617","3,862","2,526","1,803","2,560","2,372","5,575","1,854","2,783","1,540","3,595"
2020년09월_계_0~9세,"3,349","1,382",982,67,28,107,71,41,136,64,211,40,96,34,90
2020년09월_계_10~19세,"4,145","1,563",961,114,51,167,239,61,170,70,356,57,156,52,128
2020년09월_계_20~29세,"4,946","1,758",934,119,94,260,136,94,206,180,504,87,215,100,259
2020년09월_계_30~39세,"5,198","1,895","1,219",101,103,254,157,104,195,138,409,110,193,76,244
2020년09월_계_40~49세,"7,137","2,359","1,757",143,132,382,184,142,290,210,657,146,292,134,309
2020년09월_계_50~59세,"11,037","2,883","2,174",333,296,723,414,287,443,473,"1,122",342,516,302,729
2020년09월_계_60~69세,"11,918","2,593","2,126",421,410,808,566,426,491,528,"1,166",410,637,407,929
2020년09월_계_70~79세,"8,114","1,598","1,319",406,268,673,421,389,361,400,717,368,396,256,542
2020년09월_계_80~89세,"4,958",891,728,296,211,429,303,225,233,268,387,264,242,155,326
2020년09월_계_90~99세,647,118,86,52,24,58,30,34,31,39,46,30,37,24,38
2020년09월_계_100세 이상,29,5,7,1,0,1,5,0,4,2,0,0,3,0,1
2020년09월_남_총인구수,"30,533","8,445","6,163","1,016",775,"1,971","1,202",885,"1,321","1,178","2,802",904,"1,362",766,"1,743"
2020년09월_남_연령구간인구수,"30,533","8,445","6,163","1,016",775,"1,971","1,202",885,"1,321","1,178","2,802",904,"1,362",766,"1,743"
2020년09월_남_0~9세,"1,733",712,511,28,14,52,38,25,76,36,106,23,48,18,46
2020년09월_남_10~19세,"2,238",818,520,69,37,102,101,28,101,35,206,37,78,32,74
2020년09월_남_20~29세,"2,853",979,535,70,60,169,78,59,126,110,297,57,111,58,144
2020년09월_남_30~39세,"2,853",988,640,57,60,146,96,68,106,86,240,65,117,49,135
2020년09월_남_40~49세,"3,968","1,229",978,92,76,231,116,87,177,118,363,90,156,85,170
2020년09월_남_50~59세,"5,860","1,491","1,141",173,151,433,212,168,257,272,579,188,282,139,374
2020년09월_남_60~69세,"5,950","1,236","1,045",238,208,415,281,213,249,274,586,209,319,214,463
2020년09월_남_70~79세,"3,482",699,557,178,116,279,184,164,147,161,307,151,174,130,235
2020년09월_남_80~89세,"1,484",270,223,99,47,137,84,67,78,82,111,78,72,39,97
2020년09월_남_90~99세,110,23,12,12,6,7,11,6,4,4,7,6,5,2,5
2020년09월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"30,945","8,600","6,130","1,037",842,"1,891","1,324",918,"1,239","1,194","2,773",950,"1,421",774,"1,852"
2020년09월_여_연령구간인구수,"30,945","8,600","6,130","1,037",842,"1,891","1,324",918,"1,239","1,194","2,773",950,"1,421",774,"1,852"
2020년09월_여_0~9세,"1,616",670,471,39,14,55,33,16,60,28,105,17,48,16,44
2020년09월_여_10~19세,"1,907",745,441,45,14,65,138,33,69,35,150,20,78,20,54
2020년09월_여_20~29세,"2,093",779,399,49,34,91,58,35,80,70,207,30,104,42,115
2020년09월_여_30~39세,"2,345",907,579,44,43,108,61,36,89,52,169,45,76,27,109
2020년09월_여_40~49세,"3,169","1,130",779,51,56,151,68,55,113,92,294,56,136,49,139
2020년09월_여_50~59세,"5,177","1,392","1,033",160,145,290,202,119,186,201,543,154,234,163,355
2020년09월_여_60~69세,"5,968","1,357","1,081",183,202,393,285,213,242,254,580,201,318,193,466
2020년09월_여_70~79세,"4,632",899,762,228,152,394,237,225,214,239,410,217,222,126,307
2020년09월_여_80~89세,"3,474",621,505,197,164,292,219,158,155,186,276,186,170,116,229
2020년09월_여_90~99세,537,95,74,40,18,51,19,28,27,35,39,24,32,22,33
2020년09월_여_100세 이상,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
