,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년08월_계_총인구수,"2,118,183","657,250","255,532","401,718","103,386","98,726","322,158","176,360","115,155","43,279","166,805","50,783","64,220","51,036","30,429","99,465","77,241","61,890"
2021년08월_계_연령구간인구수,"2,118,183","657,250","255,532","401,718","103,386","98,726","322,158","176,360","115,155","43,279","166,805","50,783","64,220","51,036","30,429","99,465","77,241","61,890"
2021년08월_계_0~9세,"166,048","59,855","19,346","40,509","5,467","5,770","31,908","15,037","6,923","3,847","14,856","2,399","2,755","2,185","1,188","7,490","3,445","2,923"
2021년08월_계_10~19세,"201,255","67,753","25,696","42,057","7,984","8,094","35,202","17,107","9,615","6,270","15,738","4,199","4,507","3,371","1,977","9,524","5,550","4,364"
2021년08월_계_20~29세,"239,796","95,438","34,738","60,700","10,898","9,241","37,427","19,015","10,976","4,874","15,943","3,814","5,144","3,678","2,502","9,434","6,594","4,818"
2021년08월_계_30~39세,"261,608","102,712","32,026","70,686","9,104","9,034","48,347","21,787","10,329","4,640","22,022","3,458","4,204","3,256","1,948","10,168","5,835","4,764"
2021년08월_계_40~49세,"325,856","111,426","41,920","69,506","12,995","13,444","57,703","27,790","14,892","8,279","26,905","6,035","6,869","5,554","2,993","14,222","9,237","7,512"
2021년08월_계_50~59세,"338,059","103,088","43,183","59,905","17,900","16,611","47,557","28,474","19,252","7,119","26,204","8,868","10,356","8,242","5,057","15,683","13,066","10,582"
2021년08월_계_60~69세,"295,834","68,506","33,412","35,094","19,304","17,808","34,276","23,451","20,780","4,823","22,415","10,314","13,552","10,485","6,465","15,423","15,533","12,699"
2021년08월_계_70~79세,"171,587","30,458","15,649","14,809","11,386","11,291","18,263","13,988","12,894","2,098","13,309","6,805","9,322","7,999","4,464","10,085","10,321","8,904"
2021년08월_계_80~89세,"102,674","15,655","8,296","7,359","7,203","6,450","10,041","8,394","8,247","1,134","8,184","4,308","6,463","5,366","3,358","6,496","6,736","4,639"
2021년08월_계_90~99세,"14,953","2,274","1,220","1,054","1,104",942,"1,379","1,279","1,202",192,"1,179",573,"1,012",876,468,915,893,665
2021년08월_계_100세 이상,513,85,46,39,41,41,55,38,45,3,50,10,36,24,9,25,31,20
2021년08월_남_총인구수,"1,082,664","335,811","129,501","206,310","51,672","50,108","167,478","92,005","57,567","21,544","88,687","25,632","31,913","25,203","15,475","49,537","38,840","31,192"
