,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년11월_계_총인구수,"22,350","14,273","3,377","2,035","1,347","1,318"
2020년11월_계_연령구간인구수,"22,350","14,273","3,377","2,035","1,347","1,318"
2020년11월_계_0~9세,"1,719","1,454",112,70,43,40
2020년11월_계_10~19세,"2,078","1,657",183,88,66,84
2020년11월_계_20~29세,"3,167","1,861",438,444,307,117
2020년11월_계_30~39세,"2,566","1,995",246,134,101,90
2020년11월_계_40~49세,"2,570","1,887",303,159,81,140
2020년11월_계_50~59세,"3,557","2,043",670,350,210,284
2020년11월_계_60~69세,"3,357","1,796",675,353,264,269
2020년11월_계_70~79세,"2,033",952,462,273,159,187
2020년11월_계_80~89세,"1,138",553,248,140,103,94
2020년11월_계_90~99세,151,64,37,24,13,13
2020년11월_계_100세 이상,14,11,3,0,0,0
2020년11월_남_총인구수,"11,867","7,337","1,849","1,169",800,712
2020년11월_남_연령구간인구수,"11,867","7,337","1,849","1,169",800,712
2020년11월_남_0~9세,871,728,60,36,21,26
2020년11월_남_10~19세,"1,051",821,99,43,40,48
2020년11월_남_20~29세,"2,130","1,128",332,341,256,73
2020년11월_남_30~39세,"1,428","1,072",148,94,65,49
2020년11월_남_40~49세,"1,400",999,180,90,47,84
2020년11월_남_50~59세,"1,889","1,049",378,185,119,158
2020년11월_남_60~69세,"1,787",933,359,200,146,149
2020년11월_남_70~79세,879,401,201,120,66,91
2020년11월_남_80~89세,389,183,82,53,38,33
2020년11월_남_90~99세,37,18,9,7,2,1
2020년11월_남_100세 이상,6,5,1,0,0,0
2020년11월_여_총인구수,"10,483","6,936","1,528",866,547,606
2020년11월_여_연령구간인구수,"10,483","6,936","1,528",866,547,606
2020년11월_여_0~9세,848,726,52,34,22,14
2020년11월_여_10~19세,"1,027",836,84,45,26,36
2020년11월_여_20~29세,"1,037",733,106,103,51,44
2020년11월_여_30~39세,"1,138",923,98,40,36,41
2020년11월_여_40~49세,"1,170",888,123,69,34,56
2020년11월_여_50~59세,"1,668",994,292,165,91,126
2020년11월_여_60~69세,"1,570",863,316,153,118,120
2020년11월_여_70~79세,"1,154",551,261,153,93,96
2020년11월_여_80~89세,749,370,166,87,65,61
2020년11월_여_90~99세,114,46,28,17,11,12
2020년11월_여_100세 이상,8,6,2,0,0,0
