,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년04월_계_총인구수,"31,133","10,015","1,429","1,847","2,565","8,425","1,912","1,568","3,372"
2021년04월_계_연령구간인구수,"31,133","10,015","1,429","1,847","2,565","8,425","1,912","1,568","3,372"
2021년04월_계_0~9세,"1,383",586,35,44,65,477,40,31,105
2021년04월_계_10~19세,"1,982",891,41,52,74,746,31,46,101
2021년04월_계_20~29세,"2,451",938,87,110,198,754,121,66,177
2021년04월_계_30~39세,"2,192",796,63,104,166,724,111,67,161
2021년04월_계_40~49세,"3,746","1,507",92,152,239,"1,218",137,136,265
2021년04월_계_50~59세,"5,828","1,841",255,322,543,"1,596",388,283,600
2021년04월_계_60~69세,"6,412","1,697",371,455,618,"1,564",493,359,855
2021년04월_계_70~79세,"4,114","1,075",233,342,379,853,337,311,584
2021년04월_계_80~89세,"2,688",614,227,235,249,444,215,248,456
2021년04월_계_90~99세,329,68,23,30,34,49,39,21,65
2021년04월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년04월_남_총인구수,"15,978","5,052",710,929,"1,403","4,383","1,022",804,"1,675"
2021년04월_남_연령구간인구수,"15,978","5,052",710,929,"1,403","4,383","1,022",804,"1,675"
2021년04월_남_0~9세,715,313,17,18,29,248,23,16,51
2021년04월_남_10~19세,"1,055",483,23,31,38,389,18,18,55
2021년04월_남_20~29세,"1,432",551,48,64,117,431,71,47,103
2021년04월_남_30~39세,"1,199",406,36,61,105,396,69,43,83
2021년04월_남_40~49세,"2,102",785,52,99,160,658,92,88,168
2021년04월_남_50~59세,"3,301","1,015",143,177,322,889,240,169,346
2021년04월_남_60~69세,"3,367",833,208,239,348,817,279,189,454
2021년04월_남_70~79세,"1,837",450,97,155,182,387,159,147,260
2021년04월_남_80~89세,890,202,77,76,93,155,61,84,142
2021년04월_남_90~99세,77,14,8,8,9,13,10,3,12
2021년04월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년04월_여_총인구수,"15,155","4,963",719,918,"1,162","4,042",890,764,"1,697"
2021년04월_여_연령구간인구수,"15,155","4,963",719,918,"1,162","4,042",890,764,"1,697"
2021년04월_여_0~9세,668,273,18,26,36,229,17,15,54
2021년04월_여_10~19세,927,408,18,21,36,357,13,28,46
2021년04월_여_20~29세,"1,019",387,39,46,81,323,50,19,74
2021년04월_여_30~39세,993,390,27,43,61,328,42,24,78
2021년04월_여_40~49세,"1,644",722,40,53,79,560,45,48,97
2021년04월_여_50~59세,"2,527",826,112,145,221,707,148,114,254
2021년04월_여_60~69세,"3,045",864,163,216,270,747,214,170,401
2021년04월_여_70~79세,"2,277",625,136,187,197,466,178,164,324
2021년04월_여_80~89세,"1,798",412,150,159,156,289,154,164,314
2021년04월_여_90~99세,252,54,15,22,25,36,29,18,53
2021년04월_여_100세 이상,5,2,1,0,0,0,0,0,2
