카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년10월_계_총인구수,"210,246","4,890","2,030","3,007","8,722","3,014","2,334","3,983","13,090","3,730","3,729","2,308","3,269","1,947","2,755","23,516","7,147","15,572","5,284","9,631","18,054","3,676","9,441","14,640","37,759","6,718"
2020년10월_계_연령구간인구수,"210,246","4,890","2,030","3,007","8,722","3,014","2,334","3,983","13,090","3,730","3,729","2,308","3,269","1,947","2,755","23,516","7,147","15,572","5,284","9,631","18,054","3,676","9,441","14,640","37,759","6,718"
2020년10월_계_0~9세,"14,725",109,42,74,576,30,56,79,"1,996",317,114,53,86,68,106,"1,605",279,"1,268",250,373,"2,071",95,554,"1,048","2,872",604
2020년10월_계_10~19세,"18,967",219,63,115,408,116,97,139,948,274,177,82,166,78,159,"2,548",559,"2,013",478,706,"2,355",155,779,"1,738","3,908",687
2020년10월_계_20~29세,"24,350",381,120,196,"1,380",179,130,278,"1,553",504,265,148,193,100,282,"2,768",891,"1,896",586,"1,059","2,123",496,"1,133","1,914","5,010",765
2020년10월_계_30~39세,"23,444",316,96,156,"1,379",168,118,179,"2,984",452,184,120,169,112,233,"2,426",624,"1,679",440,854,"2,600",261,"1,017","1,487","4,551",839
2020년10월_계_40~49세,"31,009",488,165,252,"1,193",235,182,338,"2,018",508,338,192,268,150,340,"3,686",964,"2,887",730,"1,179","3,364",402,"1,427","2,546","5,992","1,165"
2020년10월_계_50~59세,"37,839","1,036",431,653,"1,461",596,412,821,"1,559",511,753,434,590,347,489,"4,390","1,305","2,721",982,"1,809","2,795",728,"1,752","2,847","7,197","1,220"
2020년10월_계_60~69세,"31,323","1,160",565,774,"1,277",776,625,"1,036","1,125",559,881,581,851,507,544,"3,326","1,252","1,688",878,"1,914","1,598",751,"1,519","1,657","4,713",766
2020년10월_계_70~79세,"17,449",678,334,493,599,505,403,646,534,345,562,388,522,342,351,"1,747",800,891,586,"1,101",734,482,876,905,"2,210",415
2020년10월_계_80~89세,"9,786",455,179,247,392,370,274,404,319,230,387,275,368,220,211,909,423,469,311,550,360,278,339,446,"1,149",221
2020년10월_계_90~99세,"1,282",45,34,46,50,36,34,59,53,27,66,33,50,22,36,105,47,56,39,80,54,27,43,51,155,34
2020년10월_계_100세 이상,72,3,1,1,7,3,3,4,1,3,2,2,6,1,4,6,3,4,4,6,0,1,2,1,2,2
