,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년01월_계_총인구수,"139,762","6,309","5,265","13,342","4,015","3,369","5,906","2,859","4,523","15,767","43,485","30,842","4,080"
2021년01월_계_연령구간인구수,"139,762","6,309","5,265","13,342","4,015","3,369","5,906","2,859","4,523","15,767","43,485","30,842","4,080"
2021년01월_계_0~9세,"11,846",238,249,831,139,102,188,86,192,929,"7,075","1,734",83
2021년01월_계_10~19세,"12,662",348,357,"1,137",271,199,298,144,338,"1,230","4,820","3,400",120
2021년01월_계_20~29세,"19,046",646,540,"1,612",434,377,627,296,502,"2,093","3,986","7,645",288
2021년01월_계_30~39세,"21,233",604,524,"1,603",376,295,640,242,459,"2,291","8,950","4,968",281
2021년01월_계_40~49세,"24,601",840,818,"2,054",556,499,789,410,613,"2,546","9,387","5,603",486
2021년01월_계_50~59세,"20,481","1,322",883,"2,312",739,644,"1,116",509,817,"2,797","4,538","3,893",911
2021년01월_계_60~69세,"16,031","1,304",849,"2,007",730,606,"1,094",556,804,"2,331","2,840","1,867","1,043"
2021년01월_계_70~79세,"9,360",646,664,"1,204",532,446,723,405,529,"1,019","1,375","1,214",603
2021년01월_계_80~89세,"3,794",298,318,498,200,166,344,175,221,431,447,476,220
2021년01월_계_90~99세,626,59,55,78,35,32,72,26,36,87,65,41,40
2021년01월_계_100세 이상,82,4,8,6,3,3,15,10,12,13,2,1,5
2021년01월_남_총인구수,"72,524","3,407","2,662","6,793","2,053","1,740","3,110","1,484","2,231","8,742","21,893","16,132","2,277"
2021년01월_남_연령구간인구수,"72,524","3,407","2,662","6,793","2,053","1,740","3,110","1,484","2,231","8,742","21,893","16,132","2,277"
2021년01월_남_0~9세,"6,111",124,147,412,64,62,87,58,93,473,"3,652",901,38
2021년01월_남_10~19세,"6,588",170,184,596,151,96,156,71,166,654,"2,478","1,810",56
2021년01월_남_20~29세,"9,683",380,296,863,245,214,343,167,271,"1,192","1,965","3,558",189
2021년01월_남_30~39세,"11,518",358,286,852,207,173,372,151,259,"1,386","4,343","2,951",180
2021년01월_남_40~49세,"13,427",502,443,"1,095",313,273,461,223,345,"1,497","4,969","2,987",319
2021년01월_남_50~59세,"11,281",763,470,"1,236",391,363,657,286,419,"1,581","2,345","2,233",537
2021년01월_남_60~69세,"8,010",683,411,"1,002",349,295,566,276,366,"1,267","1,286",953,556
2021년01월_남_70~79세,"4,351",303,292,535,246,206,332,169,229,518,678,529,314
2021년01월_남_80~89세,"1,375",108,116,184,74,54,114,68,67,150,162,197,81
2021년01월_남_90~99세,153,15,16,15,13,4,17,12,9,19,14,12,7
2021년01월_남_100세 이상,27,1,1,3,0,0,5,3,7,5,1,1,0
2021년01월_여_총인구수,"67,238","2,902","2,603","6,549","1,962","1,629","2,796","1,375","2,292","7,025","21,592","14,710","1,803"
2021년01월_여_연령구간인구수,"67,238","2,902","2,603","6,549","1,962","1,629","2,796","1,375","2,292","7,025","21,592","14,710","1,803"
2021년01월_여_0~9세,"5,735",114,102,419,75,40,101,28,99,456,"3,423",833,45
2021년01월_여_10~19세,"6,074",178,173,541,120,103,142,73,172,576,"2,342","1,590",64
2021년01월_여_20~29세,"9,363",266,244,749,189,163,284,129,231,901,"2,021","4,087",99
2021년01월_여_30~39세,"9,715",246,238,751,169,122,268,91,200,905,"4,607","2,017",101
2021년01월_여_40~49세,"11,174",338,375,959,243,226,328,187,268,"1,049","4,418","2,616",167
2021년01월_여_50~59세,"9,200",559,413,"1,076",348,281,459,223,398,"1,216","2,193","1,660",374
2021년01월_여_60~69세,"8,021",621,438,"1,005",381,311,528,280,438,"1,064","1,554",914,487
2021년01월_여_70~79세,"5,009",343,372,669,286,240,391,236,300,501,697,685,289
2021년01월_여_80~89세,"2,419",190,202,314,126,112,230,107,154,281,285,279,139
2021년01월_여_90~99세,473,44,39,63,22,28,55,14,27,68,51,29,33
2021년01월_여_100세 이상,55,3,7,3,3,3,10,7,5,8,1,0,5
