카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년02월_계_총인구수,"210,643","4,922","2,077","3,109","8,492","3,032","2,336","4,050","12,350","3,750","3,756","2,335","3,298","1,949","2,801","23,876","7,253","15,787","5,416","9,729","17,285","3,794","9,455","14,954","38,109","6,728"
2020년02월_계_연령구간인구수,"210,643","4,922","2,077","3,109","8,492","3,032","2,336","4,050","12,350","3,750","3,756","2,335","3,298","1,949","2,801","23,876","7,253","15,787","5,416","9,729","17,285","3,794","9,455","14,954","38,109","6,728"
2020년02월_계_0~9세,"15,194",111,46,81,572,31,62,86,"1,876",327,109,57,80,59,118,"1,759",305,"1,357",272,412,"2,052",97,557,"1,126","3,018",624
2020년02월_계_10~19세,"19,466",244,70,124,384,119,101,158,866,268,179,81,177,75,169,"2,615",582,"2,086",512,732,"2,288",181,791,"1,882","4,081",701
2020년02월_계_20~29세,"24,405",374,139,218,"1,326",195,134,287,"1,438",514,286,166,211,108,276,"2,835",888,"1,891",601,"1,072","1,981",510,"1,159","1,946","5,073",777
2020년02월_계_30~39세,"23,995",330,118,177,"1,375",180,122,189,"2,803",468,183,130,183,116,232,"2,574",637,"1,745",475,856,"2,522",306,"1,072","1,569","4,764",869
2020년02월_계_40~49세,"31,614",522,166,284,"1,152",245,186,370,"1,909",513,368,218,282,156,359,"3,790","1,010","2,998",792,"1,242","3,222",420,"1,443","2,675","6,133","1,159"
2020년02월_계_50~59세,"37,969","1,058",447,672,"1,459",609,431,836,"1,501",521,771,456,622,357,497,"4,440","1,374","2,696",981,"1,853","2,666",768,"1,750","2,835","7,151","1,218"
2020년02월_계_60~69세,"29,826","1,099",559,754,"1,181",747,591,"1,014","1,069",542,839,541,814,494,535,"3,144","1,204","1,600",853,"1,858","1,489",718,"1,432","1,569","4,461",719
2020년02월_계_70~79세,"17,432",697,323,513,605,514,412,646,528,344,576,398,523,343,371,"1,750",797,898,592,"1,088",689,484,885,867,"2,180",409
2020년02월_계_80~89세,"9,488",441,180,237,386,353,261,406,320,226,384,258,355,222,195,863,404,461,300,537,328,283,330,433,"1,100",225
2020년02월_계_90~99세,"1,187",43,28,48,45,36,32,54,39,24,59,28,45,18,47,101,49,52,33,75,48,26,34,51,147,25
2020년02월_계_100세 이상,67,3,1,1,7,3,4,4,1,3,2,2,6,1,2,5,3,3,5,4,0,1,2,1,1,2
