카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년05월_계_총인구수,"100,602","6,361","1,643","2,195","1,659","1,138","3,606","2,673","3,962","5,192","2,451","1,774","2,321","5,359","14,736","7,013","16,783","15,161","6,575"
2020년05월_계_연령구간인구수,"100,602","6,361","1,643","2,195","1,659","1,138","3,606","2,673","3,962","5,192","2,451","1,774","2,321","5,359","14,736","7,013","16,783","15,161","6,575"
2020년05월_계_0~9세,"6,378",154,44,49,61,30,124,75,131,142,53,54,79,196,"1,142",529,"1,743","1,505",267
2020년05월_계_10~19세,"8,486",343,113,125,99,69,190,111,225,270,93,60,123,357,"1,530",636,"2,001","1,732",409
2020년05월_계_20~29세,"9,618",456,178,129,139,68,230,150,272,389,113,104,169,481,"1,703",777,"1,982","1,735",543
2020년05월_계_30~39세,"9,719",374,86,131,132,64,231,154,225,305,112,87,165,417,"1,619",768,"2,414","1,855",580
2020년05월_계_40~49세,"14,166",649,174,262,220,115,367,228,377,495,206,147,259,713,"2,377","1,139","2,997","2,651",790
2020년05월_계_50~59세,"17,338","1,166",274,415,329,226,628,416,703,"1,002",368,276,470,978,"2,525","1,172","2,617","2,468","1,305"
2020년05월_계_60~69세,"16,565","1,464",376,483,360,247,797,583,868,"1,122",539,411,508,"1,028","2,019",954,"1,701","1,733","1,372"
2020년05월_계_70~79세,"11,138","1,046",247,351,180,180,575,521,664,833,529,368,362,721,"1,211",657,872,967,854
2020년05월_계_80~89세,"6,249",601,127,211,124,121,416,380,441,528,373,227,160,409,542,344,407,441,397
2020년05월_계_90~99세,886,105,24,39,14,17,47,54,52,98,63,40,21,57,59,33,45,63,55
2020년05월_계_100세 이상,59,3,0,0,1,1,1,1,4,8,2,0,5,2,9,4,4,11,3
2020년05월_남_총인구수,"50,917","3,239",864,"1,156",884,607,"1,861","1,323","1,993","2,620","1,198",914,"1,155","2,799","7,429","3,519","8,413","7,520","3,423"
2020년05월_남_연령구간인구수,"50,917","3,239",864,"1,156",884,607,"1,861","1,323","1,993","2,620","1,198",914,"1,155","2,799","7,429","3,519","8,413","7,520","3,423"
2020년05월_남_0~9세,"3,215",76,19,17,33,13,60,44,69,80,39,30,45,100,589,254,871,749,127
2020년05월_남_10~19세,"4,403",180,62,62,53,42,103,68,116,133,43,35,67,187,767,328,"1,030",917,210
2020년05월_남_20~29세,"5,605",291,132,76,88,40,139,87,155,228,71,63,94,299,988,436,"1,127",953,338
2020년05월_남_30~39세,"5,243",230,45,83,73,43,143,90,136,174,64,50,91,253,869,418,"1,206",926,349
2020년05월_남_40~49세,"7,762",379,109,169,142,77,215,133,230,281,125,108,157,429,"1,219",595,"1,553","1,337",504
2020년05월_남_50~59세,"9,227",640,153,260,187,140,355,236,375,564,202,147,264,536,"1,275",621,"1,312","1,262",698
2020년05월_남_60~69세,"8,090",730,197,236,181,124,406,291,442,580,266,219,230,494,966,449,807,816,656
2020년05월_남_70~79세,"4,963",480,107,167,83,84,286,236,303,372,233,172,151,349,536,275,364,398,367
2020년05월_남_80~89세,"2,205",205,36,77,41,41,148,126,156,184,134,82,51,142,202,136,134,147,163
2020년05월_남_90~99세,192,26,4,9,3,3,6,12,11,23,20,8,5,10,16,6,8,11,11
2020년05월_남_100세 이상,12,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,4,0
2020년05월_여_총인구수,"49,685","3,122",779,"1,039",775,531,"1,745","1,350","1,969","2,572","1,253",860,"1,166","2,560","7,307","3,494","8,370","7,641","3,152"
2020년05월_여_연령구간인구수,"49,685","3,122",779,"1,039",775,531,"1,745","1,350","1,969","2,572","1,253",860,"1,166","2,560","7,307","3,494","8,370","7,641","3,152"
2020년05월_여_0~9세,"3,163",78,25,32,28,17,64,31,62,62,14,24,34,96,553,275,872,756,140
2020년05월_여_10~19세,"4,083",163,51,63,46,27,87,43,109,137,50,25,56,170,763,308,971,815,199
2020년05월_여_20~29세,"4,013",165,46,53,51,28,91,63,117,161,42,41,75,182,715,341,855,782,205
2020년05월_여_30~39세,"4,476",144,41,48,59,21,88,64,89,131,48,37,74,164,750,350,"1,208",929,231
2020년05월_여_40~49세,"6,404",270,65,93,78,38,152,95,147,214,81,39,102,284,"1,158",544,"1,444","1,314",286
2020년05월_여_50~59세,"8,111",526,121,155,142,86,273,180,328,438,166,129,206,442,"1,250",551,"1,305","1,206",607
2020년05월_여_60~69세,"8,475",734,179,247,179,123,391,292,426,542,273,192,278,534,"1,053",505,894,917,716
2020년05월_여_70~79세,"6,175",566,140,184,97,96,289,285,361,461,296,196,211,372,675,382,508,569,487
2020년05월_여_80~89세,"4,044",396,91,134,83,80,268,254,285,344,239,145,109,267,340,208,273,294,234
2020년05월_여_90~99세,694,79,20,30,11,14,41,42,41,75,43,32,16,47,43,27,37,52,44
2020년05월_여_100세 이상,47,1,0,0,1,1,1,1,4,7,1,0,5,2,7,3,3,7,3
