카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년07월_계_총인구수,"418,294","20,698","23,900","32,425","30,990","27,005","8,892","33,780","15,750","22,279","19,004","20,832","17,005","19,724","19,019","23,501","43,557","22,164","17,769"
2021년07월_계_연령구간인구수,"418,294","20,698","23,900","32,425","30,990","27,005","8,892","33,780","15,750","22,279","19,004","20,832","17,005","19,724","19,019","23,501","43,557","22,164","17,769"
2021년07월_계_0~9세,"32,536","1,419","2,072","1,748","2,916","2,021",414,"3,224","1,746","1,933","1,620","1,437","1,110","1,119","1,231","1,611","3,636","1,393","1,886"
2021년07월_계_10~19세,"44,898","1,930","2,194","2,828","4,153","3,351","1,373","3,739","2,810","2,972","2,173","2,737","1,331","1,617","1,789","2,625","4,356","1,584","1,336"
2021년07월_계_20~29세,"53,490","2,804","3,214","5,440","3,525","3,439","1,145","4,207","1,325","2,475","2,203","2,641","2,425","2,720","2,350","3,087","5,244","3,343","1,903"
2021년07월_계_30~39세,"61,001","3,504","4,564","5,549","3,495","3,546",672,"5,523","1,416","2,520","2,501","2,354","2,901","3,043","2,527","3,449","6,463","4,383","2,591"
2021년07월_계_40~49세,"76,130","3,769","4,436","5,068","6,229","5,215","1,595","6,980","3,627","4,528","3,533","3,852","2,766","2,998","2,925","4,294","7,594","3,679","3,042"
2021년07월_계_50~59세,"62,960","2,992","3,175","4,925","4,824","4,553","1,714","4,457","2,151","3,571","2,883","3,471","2,428","3,073","3,136","3,603","6,227","3,345","2,432"
2021년07월_계_60~69세,"48,264","2,375","2,408","3,748","3,106","2,836",961,"3,245","1,361","2,275","2,326","2,301","2,147","2,890","2,893","2,434","5,759","2,676","2,523"
2021년07월_계_70~79세,"27,121","1,316","1,346","2,169","1,850","1,354",725,"1,736",923,"1,364","1,238","1,317","1,317","1,628","1,500","1,604","3,014","1,285","1,435"
2021년07월_계_80~89세,"10,024",499,415,811,751,570,257,562,339,524,436,611,503,537,566,701,"1,028",386,528
2021년07월_계_90~99세,"1,758",89,69,131,125,114,30,99,44,106,88,104,72,94,98,90,230,86,89
2021년07월_계_100세 이상,112,1,7,8,16,6,6,8,8,11,3,7,5,5,4,3,6,4,4
2021년07월_남_총인구수,"200,107","9,965","11,362","15,664","15,093","12,959","4,235","16,426","7,520","10,602","8,942","9,637","7,963","9,274","9,209","10,746","20,815","11,060","8,635"
2021년07월_남_연령구간인구수,"200,107","9,965","11,362","15,664","15,093","12,959","4,235","16,426","7,520","10,602","8,942","9,637","7,963","9,274","9,209","10,746","20,815","11,060","8,635"
2021년07월_남_0~9세,"16,747",743,995,913,"1,563","1,047",222,"1,626",932,"1,007",835,735,548,571,648,797,"1,862",755,948
2021년07월_남_10~19세,"22,881",999,"1,152","1,614","2,145","1,722",710,"1,893","1,379","1,518","1,120","1,273",710,809,912,"1,210","2,237",797,681
2021년07월_남_20~29세,"25,727","1,340","1,449","2,500","1,722","1,650",572,"1,929",649,"1,237","1,075","1,237","1,147","1,375","1,227","1,363","2,588","1,672",995
2021년07월_남_30~39세,"28,047","1,634","2,053","2,613","1,480","1,612",292,"2,569",538,"1,119","1,088","1,020","1,339","1,396","1,204","1,541","3,077","2,273","1,199"
2021년07월_남_40~49세,"35,718","1,808","2,124","2,378","2,891","2,380",675,"3,471","1,634","2,020","1,593","1,700","1,274","1,407","1,338","1,911","3,708","1,861","1,545"
2021년07월_남_50~59세,"31,076","1,445","1,597","2,415","2,522","2,327",846,"2,360","1,177","1,812","1,361","1,738","1,118","1,390","1,465","1,741","2,972","1,656","1,134"
2021년07월_남_60~69세,"22,302","1,127","1,119","1,783","1,458","1,343",466,"1,507",633,"1,043","1,062","1,062",959,"1,284","1,373","1,112","2,525","1,264","1,182"
2021년07월_남_70~79세,"12,669",626,632,"1,049",894,617,304,805,411,600,588,583,612,766,746,725,"1,397",607,707
2021년07월_남_80~89세,"4,432",213,216,361,372,227,135,240,156,216,192,256,226,251,267,327,394,161,222
2021년07월_남_90~99세,478,30,22,34,43,31,12,25,7,29,27,33,26,24,29,18,54,13,21
2021년07월_남_100세 이상,30,0,3,4,3,3,1,1,4,1,1,0,4,1,0,1,1,1,1
2021년07월_여_총인구수,"218,187","10,733","12,538","16,761","15,897","14,046","4,657","17,354","8,230","11,677","10,062","11,195","9,042","10,450","9,810","12,755","22,742","11,104","9,134"
2021년07월_여_연령구간인구수,"218,187","10,733","12,538","16,761","15,897","14,046","4,657","17,354","8,230","11,677","10,062","11,195","9,042","10,450","9,810","12,755","22,742","11,104","9,134"
2021년07월_여_0~9세,"15,789",676,"1,077",835,"1,353",974,192,"1,598",814,926,785,702,562,548,583,814,"1,774",638,938
2021년07월_여_10~19세,"22,017",931,"1,042","1,214","2,008","1,629",663,"1,846","1,431","1,454","1,053","1,464",621,808,877,"1,415","2,119",787,655
2021년07월_여_20~29세,"27,763","1,464","1,765","2,940","1,803","1,789",573,"2,278",676,"1,238","1,128","1,404","1,278","1,345","1,123","1,724","2,656","1,671",908
2021년07월_여_30~39세,"32,954","1,870","2,511","2,936","2,015","1,934",380,"2,954",878,"1,401","1,413","1,334","1,562","1,647","1,323","1,908","3,386","2,110","1,392"
2021년07월_여_40~49세,"40,412","1,961","2,312","2,690","3,338","2,835",920,"3,509","1,993","2,508","1,940","2,152","1,492","1,591","1,587","2,383","3,886","1,818","1,497"
2021년07월_여_50~59세,"31,884","1,547","1,578","2,510","2,302","2,226",868,"2,097",974,"1,759","1,522","1,733","1,310","1,683","1,671","1,862","3,255","1,689","1,298"
2021년07월_여_60~69세,"25,962","1,248","1,289","1,965","1,648","1,493",495,"1,738",728,"1,232","1,264","1,239","1,188","1,606","1,520","1,322","3,234","1,412","1,341"
2021년07월_여_70~79세,"14,452",690,714,"1,120",956,737,421,931,512,764,650,734,705,862,754,879,"1,617",678,728
2021년07월_여_80~89세,"5,592",286,199,450,379,343,122,322,183,308,244,355,277,286,299,374,634,225,306
2021년07월_여_90~99세,"1,280",59,47,97,82,83,18,74,37,77,61,71,46,70,69,72,176,73,68
2021년07월_여_100세 이상,82,1,4,4,13,3,5,7,4,10,2,7,1,4,4,2,5,3,3
