카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년02월_계_총인구수,"704,172","63,908","93,599","101,077","13,666","24,773","53,514","30,162","19,918","9,083","4,246","50,709","34,562","19,357","4,647","75,173","34,142","71,636"
2020년02월_계_연령구간인구수,"704,172","63,908","93,599","101,077","13,666","24,773","53,514","30,162","19,918","9,083","4,246","50,709","34,562","19,357","4,647","75,173","34,142","71,636"
2020년02월_계_0~9세,"67,250","4,610","9,033","9,123","1,505","1,179","4,414","1,926","1,333",374,194,"5,716","3,245",825,172,"10,315","4,642","8,644"
2020년02월_계_10~19세,"77,663","7,678","11,547","11,492","1,222","2,075","6,856","2,774","2,045",611,265,"6,783","5,050","1,321",209,"7,638","3,559","6,538"
2020년02월_계_20~29세,"82,923","7,920","10,490","11,807","1,454","3,424","6,391","4,200","2,460",831,435,"5,349","4,022","2,628",515,"8,546","3,637","8,814"
2020년02월_계_30~39세,"91,475","6,393","11,019","12,687","2,121","2,464","5,695","3,512","1,953",757,420,"6,586","3,915","2,214",503,"13,321","5,888","12,027"
2020년02월_계_40~49세,"129,657","11,739","17,737","19,427","2,321","3,555","10,602","4,468","3,394","1,102",544,"10,939","7,326","2,413",538,"14,164","6,678","12,710"
2020년02월_계_50~59세,"114,373","11,202","15,209","16,571","2,159","5,343","9,093","5,908","3,585","1,871",801,"7,098","5,338","4,093",962,"9,846","4,767","10,527"
2020년02월_계_60~69세,"77,585","7,385","10,187","10,722","1,714","3,725","5,421","4,242","2,633","1,845",849,"4,286","3,046","3,281","1,019","6,621","3,044","7,565"
2020년02월_계_70~79세,"43,225","4,825","5,743","6,496",773,"1,949","3,436","2,137","1,702","1,087",480,"2,777","1,749","1,614",482,"3,284","1,335","3,356"
2020년02월_계_80~89세,"17,375","1,856","2,337","2,407",344,923,"1,403",892,696,479,218,"1,010",763,841,217,"1,250",503,"1,236"
2020년02월_계_90~99세,"2,437",270,281,313,52,122,196,97,97,117,38,157,104,113,21,177,73,209
2020년02월_계_100세 이상,209,30,16,32,1,14,7,6,20,9,2,8,4,14,9,11,16,10
2020년02월_남_총인구수,"350,840","31,509","47,317","50,684","6,979","12,897","26,799","15,029","9,965","4,778","2,216","24,742","17,041","9,831","2,619","36,854","16,647","34,933"
