,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년08월_계_총인구수,"31,571","9,331",503,"4,052","8,375","5,095","2,682","1,533"
2020년08월_계_연령구간인구수,"31,571","9,331",503,"4,052","8,375","5,095","2,682","1,533"
2020년08월_계_0~9세,"2,529",805,16,364,639,413,246,46
2020년08월_계_10~19세,"2,299",816,25,267,631,331,144,85
2020년08월_계_20~29세,"4,060","1,174",38,537,"1,072",578,532,129
2020년08월_계_30~39세,"3,881","1,203",28,576,922,664,403,85
2020년08월_계_40~49세,"4,000","1,327",62,413,"1,136",639,264,159
2020년08월_계_50~59세,"5,313","1,506",116,613,"1,498",902,349,329
2020년08월_계_60~69세,"5,035","1,334",108,699,"1,309",839,375,371
2020년08월_계_70~79세,"2,723",727,76,322,717,434,238,209
2020년08월_계_80~89세,"1,472",373,31,224,382,249,115,98
2020년08월_계_90~99세,245,59,3,37,65,44,16,21
2020년08월_계_100세 이상,14,7,0,0,4,2,0,1
2020년08월_남_총인구수,"17,026","4,898",271,"2,185","4,516","2,748","1,567",841
2020년08월_남_연령구간인구수,"17,026","4,898",271,"2,185","4,516","2,748","1,567",841
2020년08월_남_0~9세,"1,298",414,7,187,316,214,134,26
2020년08월_남_10~19세,"1,188",436,14,128,332,158,75,45
2020년08월_남_20~29세,"2,689",713,24,363,711,372,413,93
2020년08월_남_30~39세,"2,219",654,20,339,508,392,246,60
2020년08월_남_40~49세,"2,227",715,36,231,639,361,155,90
2020년08월_남_50~59세,"2,821",788,64,327,806,462,199,175
2020년08월_남_60~69세,"2,707",685,55,377,721,478,186,205
2020년08월_남_70~79세,"1,298",353,39,150,325,214,113,104
2020년08월_남_80~89세,507,125,11,71,137,86,42,35
2020년08월_남_90~99세,67,13,1,12,19,10,4,8
2020년08월_남_100세 이상,5,2,0,0,2,1,0,0
2020년08월_여_총인구수,"14,545","4,433",232,"1,867","3,859","2,347","1,115",692
2020년08월_여_연령구간인구수,"14,545","4,433",232,"1,867","3,859","2,347","1,115",692
2020년08월_여_0~9세,"1,231",391,9,177,323,199,112,20
2020년08월_여_10~19세,"1,111",380,11,139,299,173,69,40
2020년08월_여_20~29세,"1,371",461,14,174,361,206,119,36
2020년08월_여_30~39세,"1,662",549,8,237,414,272,157,25
2020년08월_여_40~49세,"1,773",612,26,182,497,278,109,69
2020년08월_여_50~59세,"2,492",718,52,286,692,440,150,154
2020년08월_여_60~69세,"2,328",649,53,322,588,361,189,166
2020년08월_여_70~79세,"1,425",374,37,172,392,220,125,105
2020년08월_여_80~89세,965,248,20,153,245,163,73,63
2020년08월_여_90~99세,178,46,2,25,46,34,12,13
2020년08월_여_100세 이상,9,5,0,0,2,1,0,1
