카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년02월_계_총인구수,"104,319","7,418","3,293","2,972","5,564","4,239","4,685","4,675","5,222","2,944","3,219","4,628","8,267","5,417","7,997","19,359","14,420"
2021년02월_계_연령구간인구수,"104,319","7,418","3,293","2,972","5,564","4,239","4,685","4,675","5,222","2,944","3,219","4,628","8,267","5,417","7,997","19,359","14,420"
2021년02월_계_0~9세,"5,681",271,100,70,166,149,188,115,159,70,75,184,440,343,317,"1,367","1,667"
2021년02월_계_10~19세,"8,100",391,123,128,280,191,362,221,286,161,89,322,688,580,543,"2,038","1,697"
2021년02월_계_20~29세,"11,091",475,220,191,324,338,464,288,369,190,165,566,930,706,862,"3,176","1,827"
2021년02월_계_30~39세,"9,406",484,186,184,301,316,352,262,341,147,175,377,834,529,689,"2,278","1,951"
2021년02월_계_40~49세,"13,261",771,280,232,494,475,584,439,526,256,307,570,"1,159",786,"1,004","3,003","2,375"
2021년02월_계_50~59세,"18,320","1,312",610,480,"1,028",966,959,798,914,516,610,819,"1,403",874,"1,548","3,253","2,230"
2021년02월_계_60~69세,"18,678","1,769",753,659,"1,395",994,873,"1,134","1,156",679,871,799,"1,438",868,"1,503","2,363","1,424"
2021년02월_계_70~79세,"11,514","1,129",551,537,880,510,509,742,813,482,547,605,860,451,963,"1,205",730
2021년02월_계_80~89세,"7,156",715,410,423,600,254,337,573,566,394,324,327,451,244,507,592,439
2021년02월_계_90~99세,"1,049",94,54,65,91,45,57,99,86,45,51,56,56,33,60,80,77
2021년02월_계_100세 이상,63,7,6,3,5,1,0,4,6,4,5,3,8,3,1,4,3
2021년02월_남_총인구수,"52,177","3,745","1,678","1,539","2,840","2,226","2,420","2,421","2,717","1,475","1,443","2,305","4,047","2,716","4,026","9,463","7,116"
2021년02월_남_연령구간인구수,"52,177","3,745","1,678","1,539","2,840","2,226","2,420","2,421","2,717","1,475","1,443","2,305","4,047","2,716","4,026","9,463","7,116"
2021년02월_남_0~9세,"2,945",154,45,35,87,92,89,64,83,38,37,98,234,178,161,716,834
2021년02월_남_10~19세,"4,194",200,79,62,150,110,180,125,143,77,47,175,336,288,282,"1,048",892
2021년02월_남_20~29세,"6,120",298,127,129,182,196,277,178,229,100,100,301,493,359,504,"1,653",994
2021년02월_남_30~39세,"5,056",291,109,109,165,181,194,149,211,94,87,217,472,285,400,"1,165",927
2021년02월_남_40~49세,"6,997",446,174,142,296,254,330,277,332,152,133,309,607,406,551,"1,450","1,138"
2021년02월_남_50~59세,"9,423",645,347,276,596,515,517,429,516,286,261,413,701,449,792,"1,560","1,120"
2021년02월_남_60~69세,"9,344",905,394,358,705,518,459,604,597,352,404,391,662,448,729,"1,098",720
2021년02월_남_70~79세,"5,294",517,254,260,434,242,250,354,394,214,240,264,369,224,412,536,330
2021년02월_남_80~89세,"2,516",263,128,156,200,104,112,211,186,152,117,121,158,74,178,217,139
2021년02월_남_90~99세,274,22,21,12,23,14,12,30,26,9,17,16,14,3,17,17,21
2021년02월_남_100세 이상,14,4,0,0,2,0,0,0,0,1,0,0,1,2,0,3,1
2021년02월_여_총인구수,"52,142","3,673","1,615","1,433","2,724","2,013","2,265","2,254","2,505","1,469","1,776","2,323","4,220","2,701","3,971","9,896","7,304"
2021년02월_여_연령구간인구수,"52,142","3,673","1,615","1,433","2,724","2,013","2,265","2,254","2,505","1,469","1,776","2,323","4,220","2,701","3,971","9,896","7,304"
2021년02월_여_0~9세,"2,736",117,55,35,79,57,99,51,76,32,38,86,206,165,156,651,833
2021년02월_여_10~19세,"3,906",191,44,66,130,81,182,96,143,84,42,147,352,292,261,990,805
2021년02월_여_20~29세,"4,971",177,93,62,142,142,187,110,140,90,65,265,437,347,358,"1,523",833
2021년02월_여_30~39세,"4,350",193,77,75,136,135,158,113,130,53,88,160,362,244,289,"1,113","1,024"
2021년02월_여_40~49세,"6,264",325,106,90,198,221,254,162,194,104,174,261,552,380,453,"1,553","1,237"
2021년02월_여_50~59세,"8,897",667,263,204,432,451,442,369,398,230,349,406,702,425,756,"1,693","1,110"
2021년02월_여_60~69세,"9,334",864,359,301,690,476,414,530,559,327,467,408,776,420,774,"1,265",704
2021년02월_여_70~79세,"6,220",612,297,277,446,268,259,388,419,268,307,341,491,227,551,669,400
2021년02월_여_80~89세,"4,640",452,282,267,400,150,225,362,380,242,207,206,293,170,329,375,300
2021년02월_여_90~99세,775,72,33,53,68,31,45,69,60,36,34,40,42,30,43,63,56
2021년02월_여_100세 이상,49,3,6,3,3,1,0,4,6,3,5,3,7,1,1,1,2
