,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년04월_계_총인구수,"109,763","5,727","4,342","2,933","2,111","2,847","1,834","1,870","2,127","2,638","3,533","2,823","1,715","2,371","1,272","2,160","17,788","3,065","20,550","3,505","10,452","6,024","4,252","3,824"
2020년04월_계_연령구간인구수,"109,763","5,727","4,342","2,933","2,111","2,847","1,834","1,870","2,127","2,638","3,533","2,823","1,715","2,371","1,272","2,160","17,788","3,065","20,550","3,505","10,452","6,024","4,252","3,824"
2020년04월_계_0~9세,"6,737",277,196,67,62,68,51,62,41,83,95,56,47,103,35,64,"1,548",165,"1,698",179,"1,024",473,199,144
2020년04월_계_10~19세,"9,981",413,292,162,78,111,86,112,89,122,155,76,67,152,51,98,"2,096",311,"2,763",284,"1,329",536,351,247
2020년04월_계_20~29세,"10,768",414,407,222,131,173,113,149,125,177,264,144,99,155,85,124,"2,249",357,"2,440",364,"1,183",597,437,359
2020년04월_계_30~39세,"9,248",425,320,146,116,212,92,96,109,155,159,169,111,117,55,103,"2,030",240,"1,976",274,"1,126",641,310,266
2020년04월_계_40~49세,"15,267",675,480,265,189,266,162,182,192,242,381,239,150,259,100,217,"3,256",483,"3,425",404,"1,748",956,539,457
2020년04월_계_50~59세,"18,797",963,878,579,389,465,293,382,354,465,619,465,301,394,255,377,"2,936",551,"3,343",578,"1,729",972,824,685
2020년04월_계_60~69세,"16,357",984,732,546,389,597,371,338,405,507,689,644,330,434,277,436,"1,845",396,"2,432",603,"1,161",867,723,651
2020년04월_계_70~79세,"13,266",914,584,510,414,537,373,307,418,491,616,578,323,432,249,422,"1,186",340,"1,583",513,751,660,500,565
2020년04월_계_80~89세,"8,101",583,392,379,304,368,248,206,347,350,492,392,244,293,140,284,542,200,758,236,354,272,327,390
2020년04월_계_90~99세,"1,136",71,56,57,39,45,43,35,46,43,61,56,42,30,25,34,83,19,116,55,40,46,39,55
2020년04월_계_100세 이상,105,8,5,0,0,5,2,1,1,3,2,4,1,2,0,1,17,3,16,15,7,4,3,5
2020년04월_남_총인구수,"54,410","2,800","2,190","1,453","1,067","1,433",907,938,"1,059","1,307","1,744","1,398",858,"1,205",639,"1,076","8,977","1,520","9,923","1,685","5,165","3,034","2,071","1,961"
2020년04월_남_연령구간인구수,"54,410","2,800","2,190","1,453","1,067","1,433",907,938,"1,059","1,307","1,744","1,398",858,"1,205",639,"1,076","8,977","1,520","9,923","1,685","5,165","3,034","2,071","1,961"
2020년04월_남_0~9세,"3,462",138,99,35,35,36,29,32,24,46,53,27,23,51,17,30,795,74,850,86,552,249,103,78
2020년04월_남_10~19세,"5,314",250,158,84,45,52,46,62,51,57,76,45,38,89,29,44,"1,098",167,"1,412",151,754,283,184,139
2020년04월_남_20~29세,"5,911",225,233,140,83,119,70,87,80,104,150,82,55,96,48,68,"1,230",185,"1,253",207,633,319,247,197
2020년04월_남_30~39세,"4,898",239,163,78,69,135,57,59,66,90,98,107,70,73,36,63,"1,070",118,972,141,542,335,165,152
2020년04월_남_40~49세,"8,057",388,261,160,123,182,105,108,129,146,237,153,97,154,65,136,"1,667",259,"1,593",221,819,518,272,264
2020년04월_남_50~59세,"10,062",518,484,335,228,265,170,211,214,275,349,266,168,242,140,225,"1,526",297,"1,692",275,857,498,443,384
2020년04월_남_60~69세,"8,093",467,385,294,191,306,185,178,208,265,331,310,172,219,160,230,899,207,"1,163",279,547,414,344,339
2020년04월_남_70~79세,"5,705",376,265,206,188,220,168,135,171,203,260,270,138,174,96,179,506,145,709,211,327,303,203,252
2020년04월_남_80~89세,"2,634",176,132,112,96,108,71,59,106,109,163,128,85,102,44,92,164,63,251,98,124,106,101,144
2020년04월_남_90~99세,254,23,10,9,9,8,6,7,10,12,26,10,12,5,4,9,16,4,23,14,9,7,9,12
2020년04월_남_100세 이상,20,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,2,0,0
2020년04월_여_총인구수,"55,353","2,927","2,152","1,480","1,044","1,414",927,932,"1,068","1,331","1,789","1,425",857,"1,166",633,"1,084","8,811","1,545","10,627","1,820","5,287","2,990","2,181","1,863"
2020년04월_여_연령구간인구수,"55,353","2,927","2,152","1,480","1,044","1,414",927,932,"1,068","1,331","1,789","1,425",857,"1,166",633,"1,084","8,811","1,545","10,627","1,820","5,287","2,990","2,181","1,863"
2020년04월_여_0~9세,"3,275",139,97,32,27,32,22,30,17,37,42,29,24,52,18,34,753,91,848,93,472,224,96,66
2020년04월_여_10~19세,"4,667",163,134,78,33,59,40,50,38,65,79,31,29,63,22,54,998,144,"1,351",133,575,253,167,108
2020년04월_여_20~29세,"4,857",189,174,82,48,54,43,62,45,73,114,62,44,59,37,56,"1,019",172,"1,187",157,550,278,190,162
2020년04월_여_30~39세,"4,350",186,157,68,47,77,35,37,43,65,61,62,41,44,19,40,960,122,"1,004",133,584,306,145,114
2020년04월_여_40~49세,"7,210",287,219,105,66,84,57,74,63,96,144,86,53,105,35,81,"1,589",224,"1,832",183,929,438,267,193
2020년04월_여_50~59세,"8,735",445,394,244,161,200,123,171,140,190,270,199,133,152,115,152,"1,410",254,"1,651",303,872,474,381,301
2020년04월_여_60~69세,"8,264",517,347,252,198,291,186,160,197,242,358,334,158,215,117,206,946,189,"1,269",324,614,453,379,312
2020년04월_여_70~79세,"7,561",538,319,304,226,317,205,172,247,288,356,308,185,258,153,243,680,195,874,302,424,357,297,313
2020년04월_여_80~89세,"5,467",407,260,267,208,260,177,147,241,241,329,264,159,191,96,192,378,137,507,138,230,166,226,246
2020년04월_여_90~99세,882,48,46,48,30,37,37,28,36,31,35,46,30,25,21,25,67,15,93,41,31,39,30,43
