카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년09월_계_총인구수,"166,714","8,851","30,292","5,340","9,705","2,398","3,621","3,534","5,021","5,067","15,449","11,720","24,754","23,024","17,938"
2021년09월_계_연령구간인구수,"166,714","8,851","30,292","5,340","9,705","2,398","3,621","3,534","5,021","5,067","15,449","11,720","24,754","23,024","17,938"
2021년09월_계_0~9세,"14,771",300,"3,767",152,380,59,103,89,153,166,"1,339","1,053","2,421","2,908","1,881"
2021년09월_계_10~19세,"15,778",557,"2,709",273,477,82,177,186,297,303,"1,817",987,"2,575","2,652","2,686"
2021년09월_계_20~29세,"15,772",646,"2,227",376,903,130,283,210,339,377,"1,366",979,"3,423","2,387","2,126"
2021년09월_계_30~39세,"21,892",657,"5,152",278,"1,077",128,206,225,258,296,"1,489","1,829","4,388","3,637","2,272"
2021년09월_계_40~49세,"26,915","1,088","5,531",517,"1,325",185,306,345,492,558,"2,570","2,024","4,373","4,081","3,520"
2021년09월_계_50~59세,"26,358","1,513","4,560",909,"1,968",342,591,640,929,830,"2,503","1,875","3,552","3,291","2,855"
2021년09월_계_60~69세,"22,445","1,832","3,460","1,264","1,843",630,862,852,"1,105","1,109","2,170","1,494","2,243","2,196","1,385"
2021년09월_계_70~79세,"13,317","1,297","1,715",854,"1,005",492,605,569,785,811,"1,308",849,"1,157","1,146",724
2021년09월_계_80~89세,"8,229",825,"1,026",618,630,302,419,351,573,549,772,550,548,639,427
2021년09월_계_90~99세,"1,186",129,143,94,91,45,68,67,86,67,112,77,72,75,60
2021년09월_계_100세 이상,51,7,2,5,6,3,1,0,4,1,3,3,2,12,2
2021년09월_남_총인구수,"88,678","4,670","16,778","2,735","5,737","1,202","1,858","1,819","2,536","2,539","7,881","6,715","13,220","11,735","9,253"
2021년09월_남_연령구간인구수,"88,678","4,670","16,778","2,735","5,737","1,202","1,858","1,819","2,536","2,539","7,881","6,715","13,220","11,735","9,253"
2021년09월_남_0~9세,"7,502",167,"1,929",83,193,37,42,41,67,74,682,516,"1,214","1,504",953
2021년09월_남_10~19세,"8,305",314,"1,428",139,258,44,89,101,161,166,930,518,"1,346","1,393","1,418"
2021년09월_남_20~29세,"9,224",381,"1,314",213,627,81,168,134,188,231,778,626,"1,981","1,282","1,220"
2021년09월_남_30~39세,"12,543",409,"2,899",156,741,78,125,129,151,169,771,"1,197","2,598","1,913","1,207"
2021년09월_남_40~49세,"15,131",664,"3,349",300,913,117,175,208,291,319,"1,361","1,281","2,342","2,093","1,718"
2021년09월_남_50~59세,"14,883",872,"2,754",528,"1,246",179,325,351,512,454,"1,389","1,151","1,863","1,732","1,527"
2021년09월_남_60~69세,"11,576",901,"1,872",644,"1,039",308,456,431,561,562,"1,086",814,"1,144","1,062",696
2021년09월_남_70~79세,"6,278",613,839,412,475,235,303,293,383,361,587,386,512,529,350
2021년09월_남_80~89세,"2,933",311,356,235,224,111,162,118,195,182,272,207,201,217,142
2021년09월_남_90~99세,295,38,38,24,19,11,13,13,27,20,24,19,19,9,21
2021년09월_남_100세 이상,8,0,0,1,2,1,0,0,0,1,1,0,0,1,1
2021년09월_여_총인구수,"78,036","4,181","13,514","2,605","3,968","1,196","1,763","1,715","2,485","2,528","7,568","5,005","11,534","11,289","8,685"
2021년09월_여_연령구간인구수,"78,036","4,181","13,514","2,605","3,968","1,196","1,763","1,715","2,485","2,528","7,568","5,005","11,534","11,289","8,685"
2021년09월_여_0~9세,"7,269",133,"1,838",69,187,22,61,48,86,92,657,537,"1,207","1,404",928
2021년09월_여_10~19세,"7,473",243,"1,281",134,219,38,88,85,136,137,887,469,"1,229","1,259","1,268"
2021년09월_여_20~29세,"6,548",265,913,163,276,49,115,76,151,146,588,353,"1,442","1,105",906
2021년09월_여_30~39세,"9,349",248,"2,253",122,336,50,81,96,107,127,718,632,"1,790","1,724","1,065"
2021년09월_여_40~49세,"11,784",424,"2,182",217,412,68,131,137,201,239,"1,209",743,"2,031","1,988","1,802"
2021년09월_여_50~59세,"11,475",641,"1,806",381,722,163,266,289,417,376,"1,114",724,"1,689","1,559","1,328"
2021년09월_여_60~69세,"10,869",931,"1,588",620,804,322,406,421,544,547,"1,084",680,"1,099","1,134",689
2021년09월_여_70~79세,"7,039",684,876,442,530,257,302,276,402,450,721,463,645,617,374
2021년09월_여_80~89세,"5,296",514,670,383,406,191,257,233,378,367,500,343,347,422,285
2021년09월_여_90~99세,891,91,105,70,72,34,55,54,59,47,88,58,53,66,39
2021년09월_여_100세 이상,43,7,2,4,4,2,1,0,4,0,2,3,2,11,1
