,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년07월_계_총인구수,"210,228","4,915","2,049","3,049","8,640","3,029","2,344","4,000","12,795","3,752","3,731","2,307","3,285","1,958","2,752","23,554","7,203","15,655","5,275","9,693","17,670","3,680","9,444","14,786","37,913","6,749"
2020년07월_계_연령구간인구수,"210,228","4,915","2,049","3,049","8,640","3,029","2,344","4,000","12,795","3,752","3,731","2,307","3,285","1,958","2,752","23,554","7,203","15,655","5,275","9,693","17,670","3,680","9,444","14,786","37,913","6,749"
2020년07월_계_0~9세,"14,949",113,43,78,562,31,58,81,"1,965",320,110,55,83,64,108,"1,668",299,"1,295",251,384,"2,073",97,570,"1,078","2,931",632
2020년07월_계_10~19세,"19,142",230,64,120,407,114,99,148,926,277,179,80,179,80,157,"2,559",571,"2,039",483,727,"2,325",152,781,"1,794","3,965",686
2020년07월_계_20~29세,"24,288",389,124,202,"1,361",188,134,268,"1,505",504,258,150,192,103,292,"2,775",891,"1,915",583,"1,056","2,004",505,"1,130","1,928","5,059",772
2020년07월_계_30~39세,"23,639",317,106,163,"1,376",173,124,187,"2,908",460,186,128,173,114,227,"2,462",634,"1,684",450,864,"2,552",271,"1,062","1,533","4,627",858
2020년07월_계_40~49세,"31,194",497,164,272,"1,176",240,188,346,"1,969",516,351,205,275,151,344,"3,717",981,"2,925",743,"1,210","3,311",400,"1,407","2,605","6,043","1,158"
2020년07월_계_50~59세,"37,899","1,051",435,655,"1,476",608,422,825,"1,517",514,758,438,599,352,488,"4,395","1,322","2,724",975,"1,820","2,753",742,"1,766","2,835","7,206","1,223"
2020년07월_계_60~69세,"30,652","1,124",566,759,"1,232",762,602,"1,030","1,119",549,869,564,840,508,543,"3,235","1,237","1,652",860,"1,900","1,528",724,"1,474","1,624","4,591",760
2020년07월_계_70~79세,"17,499",691,334,512,605,503,415,649,521,356,571,392,524,345,354,"1,751",798,893,588,"1,110",719,484,875,891,"2,213",405
2020년07월_계_80~89세,"9,673",455,180,240,395,369,265,411,316,227,387,262,365,219,196,885,424,466,302,537,358,278,339,447,"1,130",220
2020년07월_계_90~99세,"1,222",45,32,47,43,38,33,51,47,26,60,31,49,21,40,102,43,58,36,79,47,26,38,50,147,33
2020년07월_계_100세 이상,71,3,1,1,7,3,4,4,2,3,2,2,6,1,3,5,3,4,4,6,0,1,2,1,1,2
2020년07월_남_총인구수,"106,297","2,506","1,045","1,543","4,847","1,555","1,184","2,063","6,593","1,999","1,883","1,185","1,671",997,"1,358","11,802","3,625","7,669","2,638","4,852","8,794","1,976","4,873","7,302","18,811","3,526"
