,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년08월_계_총인구수,"242,555","8,045","3,100","1,586","7,191","2,872","11,961","1,093","8,137","3,521","1,073","3,130","1,392","6,048","9,203","26,984","7,342","26,158","20,757","34,727","34,509","23,726"
2021년08월_계_연령구간인구수,"242,555","8,045","3,100","1,586","7,191","2,872","11,961","1,093","8,137","3,521","1,073","3,130","1,392","6,048","9,203","26,984","7,342","26,158","20,757","34,727","34,509","23,726"
2021년08월_계_0~9세,"24,960",550,79,27,374,58,"1,342",33,456,170,28,69,50,368,498,"4,274",588,"2,327","1,565","3,229","5,473","3,402"
2021년08월_계_10~19세,"27,870",627,116,60,576,148,"1,146",50,642,264,26,108,73,640,908,"3,529",662,"3,014","2,210","4,190","5,117","3,764"
2021년08월_계_20~29세,"23,369",668,218,78,540,203,902,59,744,272,45,194,70,632,945,"2,286",823,"2,806","2,750","3,975","2,962","2,197"
2021년08월_계_30~39세,"34,093",825,208,85,572,138,"1,658",75,822,290,60,169,94,610,837,"5,509","1,049","3,440","3,237","4,682","6,248","3,485"
2021년08월_계_40~49세,"47,341","1,236",342,152,973,298,"2,201",107,"1,348",429,107,374,179,"1,160","1,580","6,189","1,340","4,934","4,375","6,819","7,691","5,507"
2021년08월_계_50~59세,"39,525","1,615",598,323,"1,279",540,"1,895",224,"1,683",645,202,560,260,"1,207","1,881","3,021","1,359","4,869","3,993","5,974","4,223","3,174"
2021년08월_계_60~69세,"28,260","1,497",748,400,"1,432",730,"1,575",299,"1,424",725,265,742,317,881,"1,683","1,565","1,081","3,463","1,949","4,102","1,903","1,479"
2021년08월_계_70~79세,"11,164",629,499,282,837,453,811,163,617,423,205,531,203,367,621,421,319,925,483,"1,254",639,482
2021년08월_계_80~89세,"5,131",339,255,158,506,258,376,70,341,256,113,334,126,167,224,165,108,328,166,431,209,201
2021년08월_계_90~99세,813,58,36,21,97,44,53,13,59,46,22,45,20,15,25,25,13,50,27,70,42,32
2021년08월_계_100세 이상,29,1,1,0,5,2,2,0,1,1,0,4,0,1,1,0,0,2,2,1,2,3
2021년08월_남_총인구수,"127,156","4,119","1,609",800,"3,557","1,495","6,208",557,"4,504","1,821",545,"1,597",688,"3,366","4,970","14,450","3,962","13,597","11,804","17,875","17,531","12,101"
2021년08월_남_연령구간인구수,"127,156","4,119","1,609",800,"3,557","1,495","6,208",557,"4,504","1,821",545,"1,597",688,"3,366","4,970","14,450","3,962","13,597","11,804","17,875","17,531","12,101"
2021년08월_남_0~9세,"12,931",281,46,13,197,33,677,17,255,90,17,39,27,199,280,"2,212",303,"1,191",822,"1,689","2,759","1,784"
2021년08월_남_10~19세,"14,547",328,64,33,281,83,606,30,345,145,14,65,32,337,493,"1,826",353,"1,617","1,158","2,154","2,632","1,951"
2021년08월_남_20~29세,"13,243",392,121,48,305,134,512,33,444,134,24,116,42,377,543,"1,288",504,"1,542","1,645","2,236","1,573","1,230"
2021년08월_남_30~39세,"17,839",418,134,49,299,84,819,49,475,169,33,100,50,368,462,"2,902",588,"1,794","2,030","2,419","3,011","1,586"
2021년08월_남_40~49세,"25,696",651,210,92,535,178,"1,240",61,811,255,70,240,101,696,897,"3,477",768,"2,625","2,584","3,512","3,970","2,723"
2021년08월_남_50~59세,"21,351",855,324,187,652,292,"1,032",118,979,353,123,313,150,707,"1,033","1,701",718,"2,476","2,270","3,073","2,251","1,744"
2021년08월_남_60~69세,"14,482",782,374,214,744,385,805,156,767,361,137,376,163,471,872,797,541,"1,784",993,"2,038",947,775
2021년08월_남_70~79세,"5,338",302,237,114,381,214,400,72,308,218,92,240,81,165,309,205,157,459,250,598,302,234
2021년08월_남_80~89세,"1,593",101,92,47,154,84,104,17,108,92,34,100,40,44,75,38,29,105,47,138,79,65
2021년08월_남_90~99세,128,8,6,3,8,8,13,4,12,4,1,7,2,2,5,4,1,4,5,17,6,8
2021년08월_남_100세 이상,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021년08월_여_총인구수,"115,399","3,926","1,491",786,"3,634","1,377","5,753",536,"3,633","1,700",528,"1,533",704,"2,682","4,233","12,534","3,380","12,561","8,953","16,852","16,978","11,625"
2021년08월_여_연령구간인구수,"115,399","3,926","1,491",786,"3,634","1,377","5,753",536,"3,633","1,700",528,"1,533",704,"2,682","4,233","12,534","3,380","12,561","8,953","16,852","16,978","11,625"
2021년08월_여_0~9세,"12,029",269,33,14,177,25,665,16,201,80,11,30,23,169,218,"2,062",285,"1,136",743,"1,540","2,714","1,618"
2021년08월_여_10~19세,"13,323",299,52,27,295,65,540,20,297,119,12,43,41,303,415,"1,703",309,"1,397","1,052","2,036","2,485","1,813"
2021년08월_여_20~29세,"10,126",276,97,30,235,69,390,26,300,138,21,78,28,255,402,998,319,"1,264","1,105","1,739","1,389",967
2021년08월_여_30~39세,"16,254",407,74,36,273,54,839,26,347,121,27,69,44,242,375,"2,607",461,"1,646","1,207","2,263","3,237","1,899"
2021년08월_여_40~49세,"21,645",585,132,60,438,120,961,46,537,174,37,134,78,464,683,"2,712",572,"2,309","1,791","3,307","3,721","2,784"
2021년08월_여_50~59세,"18,174",760,274,136,627,248,863,106,704,292,79,247,110,500,848,"1,320",641,"2,393","1,723","2,901","1,972","1,430"
2021년08월_여_60~69세,"13,778",715,374,186,688,345,770,143,657,364,128,366,154,410,811,768,540,"1,679",956,"2,064",956,704
2021년08월_여_70~79세,"5,826",327,262,168,456,239,411,91,309,205,113,291,122,202,312,216,162,466,233,656,337,248
2021년08월_여_80~89세,"3,538",238,163,111,352,174,272,53,233,164,79,234,86,123,149,127,79,223,119,293,130,136
2021년08월_여_90~99세,685,50,30,18,89,36,40,9,47,42,21,38,18,13,20,21,12,46,22,53,36,24
