카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년01월_계_총인구수,"344,932","8,055","11,561","9,010","13,940","6,743","13,627","12,789","7,723","14,510","15,241","4,268","27,105","10,440","16,279","18,876","15,668","44,337","10,469","69,391","14,900"
2020년01월_계_연령구간인구수,"344,932","8,055","11,561","9,010","13,940","6,743","13,627","12,789","7,723","14,510","15,241","4,268","27,105","10,440","16,279","18,876","15,668","44,337","10,469","69,391","14,900"
2020년01월_계_0~9세,"26,874",303,"1,180",745,506,247,939,"1,025",183,590,851,204,"2,832",438,935,"1,015",852,"4,180",598,"8,536",715
2020년01월_계_10~19세,"27,642",496,879,599,787,445,965,"1,082",400,960,"1,096",284,"2,769",636,"1,013","1,444","1,014","3,803",640,"7,175","1,155"
2020년01월_계_20~29세,"42,156",898,"1,111","1,017","1,962",838,"1,567","1,683","1,338","1,850","1,929",630,"2,997","1,400","2,215","2,498","1,967","5,426","1,360","7,983","1,487"
2020년01월_계_30~39세,"45,582",727,"1,646","1,311","1,625",597,"1,670","1,697","1,074","1,497","1,792",472,"3,721","1,050","2,035","1,928","1,761","6,150","1,220","12,304","1,305"
2020년01월_계_40~49세,"52,269","1,055","1,986","1,252","1,907",906,"2,041","1,997","1,035","1,861","2,212",536,"4,706","1,316","2,087","2,435","2,052","6,977","1,353","12,478","2,077"
2020년01월_계_50~59세,"57,842","1,467","1,669","1,449","2,764","1,271","2,231","2,240","1,362","2,703","2,624",763,"4,297","2,153","3,125","3,703","2,954","7,224","2,071","9,024","2,748"
2020년01월_계_60~69세,"49,307","1,436","1,533","1,377","2,411","1,245","2,055","1,599","1,252","2,576","2,529",684,"3,356","1,901","2,652","3,131","2,668","5,911","1,738","6,697","2,556"
2020년01월_계_70~79세,"29,481","1,112","1,051",836,"1,415",816,"1,449",965,725,"1,708","1,480",466,"1,668","1,073","1,545","1,819","1,679","3,114","1,044","3,673","1,843"
2020년01월_계_80~89세,"12,236",502,447,375,491,347,641,440,317,680,634,212,671,428,597,807,638,"1,367",391,"1,344",907
2020년01월_계_90~99세,"1,424",53,49,46,62,28,62,52,34,76,85,17,84,40,73,90,81,179,48,166,99
2020년01월_계_100세 이상,119,6,10,3,10,3,7,9,3,9,9,0,4,5,2,6,2,6,6,11,8
2020년01월_남_총인구수,"170,284","4,002","5,525","4,427","7,080","3,228","6,596","6,359","3,885","7,194","7,370","2,275","13,346","5,186","8,163","9,134","7,924","21,709","5,326","34,233","7,322"
2020년01월_남_연령구간인구수,"170,284","4,002","5,525","4,427","7,080","3,228","6,596","6,359","3,885","7,194","7,370","2,275","13,346","5,186","8,163","9,134","7,924","21,709","5,326","34,233","7,322"
2020년01월_남_0~9세,"13,781",160,587,390,256,120,488,537,97,330,422,100,"1,426",214,491,501,459,"2,166",303,"4,355",379
2020년01월_남_10~19세,"14,484",276,475,319,426,248,534,624,226,517,553,159,"1,408",319,533,757,545,"1,984",346,"3,620",615
2020년01월_남_20~29세,"22,684",503,604,499,"1,050",475,872,926,641,"1,005","1,030",405,"1,653",768,"1,228","1,375","1,065","2,890",757,"4,101",837
2020년01월_남_30~39세,"23,848",417,811,712,902,318,876,847,627,847,953,285,"1,812",606,"1,109","1,028",993,"3,129",683,"6,218",675
2020년01월_남_40~49세,"26,990",589,"1,033",640,"1,077",463,"1,030",980,578,981,"1,132",302,"2,391",714,"1,108","1,203","1,125","3,550",739,"6,316","1,039"
2020년01월_남_50~59세,"27,995",740,775,705,"1,410",573,"1,043","1,104",701,"1,312","1,246",395,"2,061","1,034","1,505","1,710","1,491","3,470","1,016","4,350","1,354"
2020년01월_남_60~69세,"22,971",655,667,651,"1,134",556,910,771,554,"1,161","1,136",344,"1,591",908,"1,287","1,445","1,270","2,768",828,"3,109","1,226"
2020년01월_남_70~79세,"12,836",469,403,358,623,351,588,385,329,766,647,201,754,461,677,795,738,"1,327",465,"1,649",850
2020년01월_남_80~89세,"4,346",183,157,146,179,118,235,165,123,255,227,81,231,155,210,295,218,395,176,466,331
2020년01월_남_90~99세,319,10,10,7,19,4,18,16,8,18,22,3,19,6,15,24,19,29,11,47,14
2020년01월_남_100세 이상,30,0,3,0,4,2,2,4,1,2,2,0,0,1,0,1,1,1,2,2,2
2020년01월_여_총인구수,"174,648","4,053","6,036","4,583","6,860","3,515","7,031","6,430","3,838","7,316","7,871","1,993","13,759","5,254","8,116","9,742","7,744","22,628","5,143","35,158","7,578"
2020년01월_여_연령구간인구수,"174,648","4,053","6,036","4,583","6,860","3,515","7,031","6,430","3,838","7,316","7,871","1,993","13,759","5,254","8,116","9,742","7,744","22,628","5,143","35,158","7,578"
2020년01월_여_0~9세,"13,093",143,593,355,250,127,451,488,86,260,429,104,"1,406",224,444,514,393,"2,014",295,"4,181",336
2020년01월_여_10~19세,"13,158",220,404,280,361,197,431,458,174,443,543,125,"1,361",317,480,687,469,"1,819",294,"3,555",540
2020년01월_여_20~29세,"19,472",395,507,518,912,363,695,757,697,845,899,225,"1,344",632,987,"1,123",902,"2,536",603,"3,882",650
2020년01월_여_30~39세,"21,734",310,835,599,723,279,794,850,447,650,839,187,"1,909",444,926,900,768,"3,021",537,"6,086",630
2020년01월_여_40~49세,"25,279",466,953,612,830,443,"1,011","1,017",457,880,"1,080",234,"2,315",602,979,"1,232",927,"3,427",614,"6,162","1,038"
2020년01월_여_50~59세,"29,847",727,894,744,"1,354",698,"1,188","1,136",661,"1,391","1,378",368,"2,236","1,119","1,620","1,993","1,463","3,754","1,055","4,674","1,394"
2020년01월_여_60~69세,"26,336",781,866,726,"1,277",689,"1,145",828,698,"1,415","1,393",340,"1,765",993,"1,365","1,686","1,398","3,143",910,"3,588","1,330"
2020년01월_여_70~79세,"16,645",643,648,478,792,465,861,580,396,942,833,265,914,612,868,"1,024",941,"1,787",579,"2,024",993
2020년01월_여_80~89세,"7,890",319,290,229,312,229,406,275,194,425,407,131,440,273,387,512,420,972,215,878,576
2020년01월_여_90~99세,"1,105",43,39,39,43,24,44,36,26,58,63,14,65,34,58,66,62,150,37,119,85
2020년01월_여_100세 이상,89,6,7,3,6,1,5,5,2,7,7,0,4,4,2,5,1,5,4,9,6
