,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년05월_계_총인구수,"48,313","13,983","2,784","6,619",700,"2,738","2,517","1,724","6,448","7,494","1,282","2,024"
2021년05월_계_연령구간인구수,"48,313","13,983","2,784","6,619",700,"2,738","2,517","1,724","6,448","7,494","1,282","2,024"
2021년05월_계_0~9세,"2,816","1,068",56,752,6,102,54,49,294,366,22,47
2021년05월_계_10~19세,"3,650","1,606",219,466,23,116,89,59,393,555,42,82
2021년05월_계_20~29세,"4,377","1,576",167,716,45,201,178,102,654,608,35,95
2021년05월_계_30~39세,"4,166","1,357",151,"1,063",26,165,127,57,563,538,37,82
2021년05월_계_40~49세,"6,102","2,286",218,965,60,275,153,138,814,929,107,157
2021년05월_계_50~59세,"8,494","2,413",457,"1,031",142,490,409,264,"1,264","1,376",299,349
2021년05월_계_60~69세,"8,540","1,803",554,823,154,598,585,399,"1,268","1,589",320,447
2021년05월_계_70~79세,"5,573","1,080",506,459,125,369,438,329,699,988,225,355
2021년05월_계_80~89세,"3,906",675,389,299,103,356,399,282,432,458,172,341
2021년05월_계_90~99세,672,116,65,42,15,65,85,45,64,86,21,68
2021년05월_계_100세 이상,17,3,2,3,1,1,0,0,3,1,2,1
2021년05월_남_총인구수,"24,252","7,082","1,335","3,506",363,"1,369","1,207",834,"3,303","3,674",628,951
2021년05월_남_연령구간인구수,"24,252","7,082","1,335","3,506",363,"1,369","1,207",834,"3,303","3,674",628,951
2021년05월_남_0~9세,"1,455",563,32,379,4,59,29,23,146,188,11,21
2021년05월_남_10~19세,"1,962",844,155,249,11,59,42,34,213,292,23,40
2021년05월_남_20~29세,"2,618",914,100,440,27,110,118,64,404,360,23,58
2021년05월_남_30~39세,"2,280",717,82,574,18,100,80,33,319,280,23,54
2021년05월_남_40~49세,"3,344","1,145",129,550,42,170,92,76,470,512,55,103
2021년05월_남_50~59세,"4,640","1,278",256,595,92,282,232,158,681,703,162,201
2021년05월_남_60~69세,"4,213",910,247,413,85,307,289,201,634,740,169,218
2021년05월_남_70~79세,"2,427",463,200,217,48,155,189,142,316,441,102,154
2021년05월_남_80~89세,"1,199",232,119,86,34,115,123,94,109,143,50,94
2021년05월_남_90~99세,112,16,15,3,1,12,13,9,11,15,9,8
2021년05월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1,0
2021년05월_여_총인구수,"24,061","6,901","1,449","3,113",337,"1,369","1,310",890,"3,145","3,820",654,"1,073"
2021년05월_여_연령구간인구수,"24,061","6,901","1,449","3,113",337,"1,369","1,310",890,"3,145","3,820",654,"1,073"
2021년05월_여_0~9세,"1,361",505,24,373,2,43,25,26,148,178,11,26
2021년05월_여_10~19세,"1,688",762,64,217,12,57,47,25,180,263,19,42
2021년05월_여_20~29세,"1,759",662,67,276,18,91,60,38,250,248,12,37
2021년05월_여_30~39세,"1,886",640,69,489,8,65,47,24,244,258,14,28
2021년05월_여_40~49세,"2,758","1,141",89,415,18,105,61,62,344,417,52,54
2021년05월_여_50~59세,"3,854","1,135",201,436,50,208,177,106,583,673,137,148
2021년05월_여_60~69세,"4,327",893,307,410,69,291,296,198,634,849,151,229
2021년05월_여_70~79세,"3,146",617,306,242,77,214,249,187,383,547,123,201
2021년05월_여_80~89세,"2,707",443,270,213,69,241,276,188,323,315,122,247
2021년05월_여_90~99세,560,100,50,39,14,53,72,36,53,71,12,60
2021년05월_여_100세 이상,15,3,2,3,0,1,0,0,3,1,1,1
