카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년07월_계_총인구수,"52,051","13,539","1,956","1,633","1,831","1,573","1,479","1,481","4,342","3,937","2,563","1,826","1,796","1,809","4,602","3,862",802,"2,181",839
2020년07월_계_연령구간인구수,"52,051","13,539","1,956","1,633","1,831","1,573","1,479","1,481","4,342","3,937","2,563","1,826","1,796","1,809","4,602","3,862",802,"2,181",839
2020년07월_계_0~9세,"1,991",853,27,41,40,28,35,34,128,151,93,50,47,38,237,97,22,55,15
2020년07월_계_10~19세,"2,359","1,029",64,42,54,33,55,42,159,145,56,47,59,57,274,137,13,68,25
2020년07월_계_20~29세,"3,211","1,155",85,70,93,66,59,65,232,268,125,81,107,106,359,197,25,92,26
2020년07월_계_30~39세,"3,349","1,222",96,77,74,57,78,80,245,287,130,98,97,84,347,212,27,93,45
2020년07월_계_40~49세,"4,749","1,757",150,103,152,108,79,97,349,360,188,133,129,125,500,282,46,141,50
2020년07월_계_50~59세,"8,893","2,294",319,266,346,299,278,254,695,709,428,322,310,320,769,647,151,355,131
2020년07월_계_60~69세,"11,548","2,514",520,414,469,404,418,406,"1,013",898,632,447,374,419,840,877,162,546,195
2020년07월_계_70~79세,"9,086","1,701",388,347,359,294,258,269,884,641,503,347,351,363,738,809,197,450,187
2020년07월_계_80~89세,"6,036",869,278,252,218,244,188,206,538,415,362,270,291,271,476,535,139,336,148
2020년07월_계_90~99세,785,134,27,21,25,40,28,26,93,60,43,29,30,24,61,67,20,41,16
2020년07월_계_100세 이상,44,11,2,0,1,0,3,2,6,3,3,2,1,2,1,2,0,4,1
2020년07월_남_총인구수,"25,455","6,661",961,810,887,755,749,747,"2,155","1,904","1,230",914,876,855,"2,185","1,907",384,"1,081",394
2020년07월_남_연령구간인구수,"25,455","6,661",961,810,887,755,749,747,"2,155","1,904","1,230",914,876,855,"2,185","1,907",384,"1,081",394
2020년07월_남_0~9세,"1,047",458,19,25,26,13,14,22,76,71,39,20,24,24,116,54,10,27,9
2020년07월_남_10~19세,"1,240",546,40,19,20,19,33,18,84,80,30,28,29,29,131,74,8,36,16
2020년07월_남_20~29세,"1,849",649,53,44,47,42,39,37,138,148,74,48,67,62,203,120,15,50,13
2020년07월_남_30~39세,"1,859",633,61,52,47,31,48,48,143,153,75,58,56,48,184,129,12,54,27
2020년07월_남_40~49세,"2,792",940,105,67,94,74,45,61,210,216,122,90,81,75,270,187,26,99,30
2020년07월_남_50~59세,"4,806","1,184",180,147,189,161,143,143,379,396,229,181,172,187,410,341,87,196,81
2020년07월_남_60~69세,"5,763","1,206",255,206,233,203,236,226,521,413,320,234,183,207,403,443,91,287,96
2020년07월_남_70~79세,"3,928",737,150,163,149,132,115,112,395,283,227,156,151,137,315,352,77,204,73
2020년07월_남_80~89세,"1,990",278,96,86,76,74,68,74,182,130,105,93,107,80,144,182,50,118,47
2020년07월_남_90~99세,173,28,2,1,5,6,7,5,26,14,9,6,6,6,9,24,8,9,2
2020년07월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년07월_여_총인구수,"26,596","6,878",995,823,944,818,730,734,"2,187","2,033","1,333",912,920,954,"2,417","1,955",418,"1,100",445
2020년07월_여_연령구간인구수,"26,596","6,878",995,823,944,818,730,734,"2,187","2,033","1,333",912,920,954,"2,417","1,955",418,"1,100",445
2020년07월_여_0~9세,944,395,8,16,14,15,21,12,52,80,54,30,23,14,121,43,12,28,6
2020년07월_여_10~19세,"1,119",483,24,23,34,14,22,24,75,65,26,19,30,28,143,63,5,32,9
2020년07월_여_20~29세,"1,362",506,32,26,46,24,20,28,94,120,51,33,40,44,156,77,10,42,13
2020년07월_여_30~39세,"1,490",589,35,25,27,26,30,32,102,134,55,40,41,36,163,83,15,39,18
2020년07월_여_40~49세,"1,957",817,45,36,58,34,34,36,139,144,66,43,48,50,230,95,20,42,20
2020년07월_여_50~59세,"4,087","1,110",139,119,157,138,135,111,316,313,199,141,138,133,359,306,64,159,50
2020년07월_여_60~69세,"5,785","1,308",265,208,236,201,182,180,492,485,312,213,191,212,437,434,71,259,99
2020년07월_여_70~79세,"5,158",964,238,184,210,162,143,157,489,358,276,191,200,226,423,457,120,246,114
2020년07월_여_80~89세,"4,046",591,182,166,142,170,120,132,356,285,257,177,184,191,332,353,89,218,101
2020년07월_여_90~99세,612,106,25,20,20,34,21,21,67,46,34,23,24,18,52,43,12,32,14
2020년07월_여_100세 이상,36,9,2,0,0,0,2,1,5,3,3,2,1,2,1,1,0,3,1
