,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년11월_계_총인구수,"1,184,683","274,107","23,326","42,467","28,976","35,731","41,532","19,973","19,397","28,218","18,576","15,911","364,164","10,087","23,653","18,737","40,415","38,024","24,253","45,514","46,259","24,733","48,595","27,336","16,558","182,390","5,878","10,321","19,967","22,511","25,736","10,685","20,081","16,921","39,759","10,531","364,022","17,666","14,815","36,048","21,496","38,809","34,867","26,235","32,562","31,190","27,920","53,065","29,349"
2021년11월_계_연령구간인구수,"1,184,683","274,107","23,326","42,467","28,976","35,731","41,532","19,973","19,397","28,218","18,576","15,911","364,164","10,087","23,653","18,737","40,415","38,024","24,253","45,514","46,259","24,733","48,595","27,336","16,558","182,390","5,878","10,321","19,967","22,511","25,736","10,685","20,081","16,921","39,759","10,531","364,022","17,666","14,815","36,048","21,496","38,809","34,867","26,235","32,562","31,190","27,920","53,065","29,349"
2021년11월_계_0~9세,"91,576","17,580","1,192","2,839","2,292","2,924","3,205",803,"1,049","1,354","1,297",625,"29,976",818,"1,063",847,"2,968","2,232","1,291","4,584","6,626","1,196","5,241","1,540","1,570","10,037",231,410,"1,670","1,382","1,826",381,792,"1,085","1,995",265,"33,983","1,063",830,"2,649","1,200","4,108","3,250","2,420","2,424","3,307","4,191","5,257","3,284"
2021년11월_계_10~19세,"115,660","27,923","1,809","4,044","3,356","3,688","6,621","1,163","1,669","2,633","1,961",979,"32,548",579,"1,572","1,414","3,425","3,042","1,940","4,965","4,754","1,636","5,339","2,131","1,751","13,731",310,447,"1,334","2,040","2,723",653,"1,296","1,710","2,784",434,"41,458","1,746","1,442","4,260","2,131","3,707","4,649","2,092","4,186","3,980","3,290","6,828","3,147"
2021년11월_계_20~29세,"184,806","43,656","3,337","10,204","3,952","4,974","6,170","2,605","2,887","4,197","2,757","2,573","52,991","1,493","3,547","2,632","6,077","5,863","3,805","6,076","4,884","5,035","6,378","5,202","1,999","30,387",855,"1,737","2,814","3,146","3,941","1,315","3,229","3,584","8,282","1,484","57,772","2,984","2,420","6,428","3,629","6,506","4,792","5,337","6,574","4,444","3,183","8,373","3,102"
2021년11월_계_30~39세,"177,353","33,031","2,924","5,679","3,319","4,906","4,289","2,369","2,576","3,231","1,941","1,797","56,492","1,614","3,580","2,442","5,728","5,388","3,181","6,444","8,550","4,553","7,609","5,266","2,137","27,018",949,"1,607","3,449","2,550","3,412","1,078","2,873","2,207","7,534","1,359","60,812","2,307","1,903","5,480","3,159","7,003","5,295","6,670","4,283","4,843","5,206","9,467","5,196"
2021년11월_계_40~49세,"199,400","44,261","3,542","6,191","5,148","6,126","8,419","2,830","2,982","4,227","2,736","2,060","60,460","1,462","3,629","2,967","5,906","5,907","3,520","8,094","8,691","3,558","8,861","4,802","3,063","27,516",824,"1,437","2,993","3,601","4,103","1,515","2,824","2,620","6,269","1,330","67,163","2,792","2,312","6,621","3,548","7,290","6,719","4,202","5,877","5,745","5,774","10,530","5,753"
2021년11월_계_50~59세,"197,347","49,264","4,377","6,671","5,305","6,068","7,562","3,865","3,605","5,371","3,745","2,695","61,523","1,796","4,177","3,306","7,482","6,746","4,701","7,590","6,110","4,130","7,855","4,685","2,945","31,126","1,047","1,847","3,200","3,992","4,988","1,965","3,605","2,680","5,826","1,976","55,434","3,264","2,713","5,725","3,757","4,881","5,787","3,227","5,440","5,153","3,696","7,516","4,275"
2021년11월_계_60~69세,"130,841","33,319","3,542","4,075","3,257","3,876","3,108","3,694","2,740","4,024","2,308","2,695","43,333","1,341","3,591","2,974","5,443","5,295","3,595","4,645","4,185","2,969","4,953","2,410","1,932","24,469",934,"1,656","2,567","3,264","2,827","2,045","3,071","1,826","4,273","2,006","29,720","2,184","1,926","2,999","2,480","3,294","2,670","1,355","2,434","2,456","1,737","3,330","2,855"
2021년11월_계_70~79세,"56,835","15,760","1,671","1,700","1,454","2,030","1,320","1,795","1,243","2,000","1,007","1,540","17,631",654,"1,644","1,458","2,186","2,413","1,432","1,987","1,626","1,099","1,567",789,776,"11,986",468,777,"1,357","1,706","1,186","1,154","1,613",774,"1,831","1,120","11,458",917,830,"1,204","1,027","1,341","1,043",575,801,806,548,"1,194","1,172"
