카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년09월_계_총인구수,"46,566","20,971","4,448","3,159","5,864","2,414","2,391","3,467","2,105","1,747"
2021년09월_계_연령구간인구수,"46,566","20,971","4,448","3,159","5,864","2,414","2,391","3,467","2,105","1,747"
2021년09월_계_0~9세,"2,125","1,450",124,71,241,38,31,70,64,36
2021년09월_계_10~19세,"3,527","1,978",194,583,391,71,67,107,64,72
2021년09월_계_20~29세,"3,681","2,260",354,131,349,133,96,184,106,68
2021년09월_계_30~39세,"3,291","1,987",234,118,397,102,95,161,126,71
2021년09월_계_40~49세,"4,961","2,941",397,179,600,166,153,250,148,127
2021년09월_계_50~59세,"8,554","3,684",852,535,"1,167",458,481,672,368,337
2021년09월_계_60~69세,"10,945","3,548","1,197",838,"1,508",760,788,"1,066",678,562
2021년09월_계_70~79세,"5,482","1,778",645,416,699,383,404,524,310,323
2021년09월_계_80~89세,"3,430","1,124",392,244,452,263,235,367,210,143
2021년09월_계_90~99세,542,211,57,42,54,37,40,66,28,7
2021년09월_계_100세 이상,28,10,2,2,6,3,1,0,3,1
2021년09월_남_총인구수,"23,895","10,567","2,332","1,619","3,048","1,252","1,215","1,815","1,125",922
2021년09월_남_연령구간인구수,"23,895","10,567","2,332","1,619","3,048","1,252","1,215","1,815","1,125",922
2021년09월_남_0~9세,"1,120",757,64,43,126,21,12,37,39,21
2021년09월_남_10~19세,"1,843","1,009",103,310,213,34,38,54,34,48
2021년09월_남_20~29세,"2,108","1,254",231,79,198,68,59,109,65,45
2021년09월_남_30~39세,"1,731","1,001",128,57,225,54,54,99,75,38
2021년09월_남_40~49세,"2,756","1,575",226,98,346,96,89,160,94,72
2021년09월_남_50~59세,"4,530","1,930",463,278,621,246,249,362,199,182
2021년09월_남_60~69세,"5,718","1,794",623,443,789,409,433,568,366,293
2021년09월_남_70~79세,"2,684",784,337,208,344,204,204,273,168,162
2021년09월_남_80~89세,"1,282",411,141,96,176,113,71,140,75,59
2021년09월_남_90~99세,119,51,16,7,10,5,6,13,9,2
2021년09월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년09월_여_총인구수,"22,671","10,404","2,116","1,540","2,816","1,162","1,176","1,652",980,825
2021년09월_여_연령구간인구수,"22,671","10,404","2,116","1,540","2,816","1,162","1,176","1,652",980,825
2021년09월_여_0~9세,"1,005",693,60,28,115,17,19,33,25,15
2021년09월_여_10~19세,"1,684",969,91,273,178,37,29,53,30,24
2021년09월_여_20~29세,"1,573","1,006",123,52,151,65,37,75,41,23
2021년09월_여_30~39세,"1,560",986,106,61,172,48,41,62,51,33
2021년09월_여_40~49세,"2,205","1,366",171,81,254,70,64,90,54,55
2021년09월_여_50~59세,"4,024","1,754",389,257,546,212,232,310,169,155
2021년09월_여_60~69세,"5,227","1,754",574,395,719,351,355,498,312,269
2021년09월_여_70~79세,"2,798",994,308,208,355,179,200,251,142,161
2021년09월_여_80~89세,"2,148",713,251,148,276,150,164,227,135,84
2021년09월_여_90~99세,423,160,41,35,44,32,34,53,19,5
2021년09월_여_100세 이상,24,9,2,2,6,1,1,0,2,1
