,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년04월_계_총인구수,"247,427","7,712","3,174","1,600","7,334","3,016","12,277","1,120","8,451","3,705","1,112","3,236","1,404","6,529","9,744","27,647","7,245","26,716","20,801","36,245","34,681","23,678"
2020년04월_계_연령구간인구수,"247,427","7,712","3,174","1,600","7,334","3,016","12,277","1,120","8,451","3,705","1,112","3,236","1,404","6,529","9,744","27,647","7,245","26,716","20,801","36,245","34,681","23,678"
2020년04월_계_0~9세,"28,122",539,85,32,420,69,"1,572",36,550,218,30,82,58,477,590,"4,759",619,"2,727","1,675","3,797","6,118","3,669"
2020년04월_계_10~19세,"28,038",630,138,63,604,159,"1,090",56,693,272,30,132,75,681,"1,025","3,317",634,"3,128","2,324","4,395","4,876","3,716"
2020년04월_계_20~29세,"24,833",686,258,91,589,238,973,80,835,320,65,238,76,701,"1,059","2,497",840,"2,976","2,855","4,179","3,070","2,207"
2020년04월_계_30~39세,"39,038",820,222,86,660,163,"1,981",77,978,355,67,195,103,771,"1,008","6,415","1,131","3,916","3,550","5,510","7,153","3,877"
2020년04월_계_40~49세,"47,480","1,228",381,165,"1,015",335,"2,160",116,"1,440",494,112,408,185,"1,264","1,724","5,800","1,323","4,975","4,482","7,115","7,361","5,397"
2020년04월_계_50~59세,"38,724","1,580",651,338,"1,310",618,"1,910",234,"1,718",679,212,626,249,"1,255","2,016","2,903","1,343","4,790","3,707","5,989","3,731","2,865"
2020년04월_계_60~69세,"24,937","1,243",693,385,"1,323",691,"1,392",284,"1,232",685,263,657,307,835,"1,504","1,354",950,"3,033","1,605","3,646","1,576","1,279"
2020년04월_계_70~79세,"10,537",605,471,271,813,450,799,160,611,405,200,522,216,354,580,393,288,827,423,"1,150",561,438
2020년04월_계_80~89세,"4,900",334,248,150,495,251,343,64,338,235,110,330,116,164,208,180,101,295,149,399,197,193
2020년04월_계_90~99세,777,44,26,19,97,41,53,13,54,41,23,45,18,20,27,29,16,47,30,62,37,35
2020년04월_계_100세 이상,41,3,1,0,8,1,4,0,2,1,0,1,1,7,3,0,0,2,1,3,1,2
2020년04월_남_총인구수,"129,950","3,916","1,643",807,"3,614","1,559","6,375",583,"4,643","1,924",560,"1,629",707,"3,622","5,275","14,879","3,937","13,924","11,897","18,681","17,641","12,134"
2020년04월_남_연령구간인구수,"129,950","3,916","1,643",807,"3,614","1,559","6,375",583,"4,643","1,924",560,"1,629",707,"3,622","5,275","14,879","3,937","13,924","11,897","18,681","17,641","12,134"
2020년04월_남_0~9세,"14,506",264,50,16,224,36,789,23,292,113,17,44,29,249,312,"2,465",330,"1,403",857,"1,980","3,088","1,925"
2020년04월_남_10~19세,"14,785",332,74,35,305,92,554,32,375,153,16,80,40,360,564,"1,710",351,"1,679","1,223","2,298","2,533","1,979"
2020년04월_남_20~29세,"13,871",393,151,54,318,154,543,46,491,164,35,127,42,415,591,"1,408",514,"1,614","1,720","2,278","1,586","1,227"
2020년04월_남_30~39세,"20,775",415,132,49,356,98,"1,007",50,567,201,39,109,59,481,576,"3,441",640,"2,088","2,273","2,901","3,503","1,790"
2020년04월_남_40~49세,"25,951",659,229,100,550,195,"1,238",67,854,309,71,266,115,763,985,"3,305",750,"2,618","2,671","3,668","3,835","2,703"
2020년04월_남_50~59세,"20,529",827,349,194,664,321,"1,033",126,984,359,120,342,130,710,"1,072","1,600",678,"2,387","2,067","3,038","1,974","1,554"
2020년04월_남_60~69세,"13,008",641,343,206,675,369,713,158,662,341,140,326,160,443,821,726,502,"1,640",829,"1,837",800,676
2020년04월_남_70~79세,"4,932",277,230,104,373,209,387,61,302,200,88,229,95,153,278,178,144,402,216,551,247,208
2020년04월_남_80~89세,"1,465",99,81,45,135,79,100,17,105,78,30,100,34,44,69,42,27,90,36,117,70,67
2020년04월_남_90~99세,123,8,3,4,12,6,11,3,11,6,4,6,3,4,6,4,1,3,5,13,5,5
2020년04월_남_100세 이상,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020년04월_여_총인구수,"117,477","3,796","1,531",793,"3,720","1,457","5,902",537,"3,808","1,781",552,"1,607",697,"2,907","4,469","12,768","3,308","12,792","8,904","17,564","17,040","11,544"
2020년04월_여_연령구간인구수,"117,477","3,796","1,531",793,"3,720","1,457","5,902",537,"3,808","1,781",552,"1,607",697,"2,907","4,469","12,768","3,308","12,792","8,904","17,564","17,040","11,544"
2020년04월_여_0~9세,"13,616",275,35,16,196,33,783,13,258,105,13,38,29,228,278,"2,294",289,"1,324",818,"1,817","3,030","1,744"
2020년04월_여_10~19세,"13,253",298,64,28,299,67,536,24,318,119,14,52,35,321,461,"1,607",283,"1,449","1,101","2,097","2,343","1,737"
2020년04월_여_20~29세,"10,962",293,107,37,271,84,430,34,344,156,30,111,34,286,468,"1,089",326,"1,362","1,135","1,901","1,484",980
2020년04월_여_30~39세,"18,263",405,90,37,304,65,974,27,411,154,28,86,44,290,432,"2,974",491,"1,828","1,277","2,609","3,650","2,087"
2020년04월_여_40~49세,"21,529",569,152,65,465,140,922,49,586,185,41,142,70,501,739,"2,495",573,"2,357","1,811","3,447","3,526","2,694"
2020년04월_여_50~59세,"18,195",753,302,144,646,297,877,108,734,320,92,284,119,545,944,"1,303",665,"2,403","1,640","2,951","1,757","1,311"
2020년04월_여_60~69세,"11,929",602,350,179,648,322,679,126,570,344,123,331,147,392,683,628,448,"1,393",776,"1,809",776,603
2020년04월_여_70~79세,"5,605",328,241,167,440,241,412,99,309,205,112,293,121,201,302,215,144,425,207,599,314,230
2020년04월_여_80~89세,"3,435",235,167,105,360,172,243,47,233,157,80,230,82,120,139,138,74,205,113,282,127,126
2020년04월_여_90~99세,654,36,23,15,85,35,42,10,43,35,19,39,15,16,21,25,15,44,25,49,32,30
2020년04월_여_100세 이상,36,2,0,0,6,1,4,0,2,1,0,1,1,7,2,0,0,2,1,3,1,2
