카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년04월_계_총인구수,"168,132","54,160","8,811","82,373","14,578","8,210"
2020년04월_계_연령구간인구수,"168,132","54,160","8,811","82,373","14,578","8,210"
2020년04월_계_0~9세,"19,064","3,530",429,"12,935","1,719",451
2020년04월_계_10~19세,"16,954","4,790",488,"10,309",930,437
2020년04월_계_20~29세,"16,121","6,365","1,019","6,646","1,304",787
2020년04월_계_30~39세,"24,839","5,913","1,082","14,537","2,552",755
2020년04월_계_40~49세,"30,894","8,752","1,006","18,017","2,078","1,041"
2020년04월_계_50~59세,"22,874","9,554","1,623","8,181","2,051","1,465"
2020년04월_계_60~69세,"19,965","7,899","1,605","6,689","2,062","1,710"
2020년04월_계_70~79세,"11,793","4,871",952,"3,636","1,269","1,065"
2020년04월_계_80~89세,"4,883","2,158",513,"1,248",523,441
2020년04월_계_90~99세,702,307,84,168,87,56
2020년04월_계_100세 이상,43,21,10,7,3,2
2020년04월_남_총인구수,"83,279","26,393","4,723","40,650","7,383","4,130"
2020년04월_남_연령구간인구수,"83,279","26,393","4,723","40,650","7,383","4,130"
2020년04월_남_0~9세,"9,688","1,819",224,"6,574",859,212
2020년04월_남_10~19세,"8,878","2,482",278,"5,374",500,244
2020년04월_남_20~29세,"8,578","3,412",614,"3,346",750,456
2020년04월_남_30~39세,"12,237","3,075",648,"6,809","1,320",385
2020년04월_남_40~49세,"15,970","4,350",592,"9,320","1,129",579
2020년04월_남_50~59세,"11,566","4,724",894,"4,165","1,058",725
2020년04월_남_60~69세,"9,264","3,702",838,"2,901",996,827
2020년04월_남_70~79세,"5,344","2,051",461,"1,713",586,533
2020년04월_남_80~89세,"1,626",727,152,423,170,154
2020년04월_남_90~99세,121,49,17,25,15,15
2020년04월_남_100세 이상,7,2,5,0,0,0
2020년04월_여_총인구수,"84,853","27,767","4,088","41,723","7,195","4,080"
2020년04월_여_연령구간인구수,"84,853","27,767","4,088","41,723","7,195","4,080"
2020년04월_여_0~9세,"9,376","1,711",205,"6,361",860,239
2020년04월_여_10~19세,"8,076","2,308",210,"4,935",430,193
2020년04월_여_20~29세,"7,543","2,953",405,"3,300",554,331
2020년04월_여_30~39세,"12,602","2,838",434,"7,728","1,232",370
2020년04월_여_40~49세,"14,924","4,402",414,"8,697",949,462
2020년04월_여_50~59세,"11,308","4,830",729,"4,016",993,740
2020년04월_여_60~69세,"10,701","4,197",767,"3,788","1,066",883
2020년04월_여_70~79세,"6,449","2,820",491,"1,923",683,532
2020년04월_여_80~89세,"3,257","1,431",361,825,353,287
2020년04월_여_90~99세,581,258,67,143,72,41
2020년04월_여_100세 이상,36,19,5,7,3,2
