카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년01월_계_총인구수,"477,326","22,804","15,199","17,573","16,486","16,242","12,536","27,462","19,347","12,300","23,975","21,733","25,146","11,167","15,038","21,807","41,444","15,778","50,728","3,827","17,152","36,448","12,994","20,140"
2021년01월_계_연령구간인구수,"477,326","22,804","15,199","17,573","16,486","16,242","12,536","27,462","19,347","12,300","23,975","21,733","25,146","11,167","15,038","21,807","41,444","15,778","50,728","3,827","17,152","36,448","12,994","20,140"
2021년01월_계_0~9세,"37,774","2,161",711,857,"1,105",988,638,"1,691","1,208",858,"1,924","1,143","1,459",388,767,"1,832","5,396","1,308","6,300",101,"1,601","3,193",961,"1,184"
2021년01월_계_10~19세,"49,470","3,024","1,023","1,417","1,466","1,237",646,"2,447","1,299","1,130","2,665","1,691","2,049",575,"1,323","2,739","4,706","1,624","6,178",166,"3,407","4,359","1,346","2,953"
2021년01월_계_20~29세,"73,979","2,861","2,453","2,501","2,067","2,169","2,504","5,412","4,532","1,673","3,156","4,234","5,649","2,790","1,892","2,813","5,016","2,767","6,844",301,"1,698","5,540","2,390","2,717"
2021년01월_계_30~39세,"65,733","2,675","1,595","1,815","1,758","2,006","2,130","4,618","3,579","1,506","2,757","3,454","4,219","1,836","1,537","2,670","6,666","2,045","8,193",271,"1,418","5,341","1,963","1,681"
2021년01월_계_40~49세,"78,243","4,339","1,831","2,423","2,321","2,285","1,736","4,514","2,840","1,892","4,056","3,139","3,797","1,540","1,964","3,460","7,745","2,373","9,507",414,"3,991","6,435","2,181","3,460"
2021년01월_계_50~59세,"77,563","3,525","2,666","3,029","3,143","2,954","1,813","4,405","2,554","1,973","3,923","3,433","4,100","1,925","2,863","3,992","5,696","2,821","7,465",715,"2,448","6,312","2,230","3,578"
2021년01월_계_60~69세,"55,276","2,458","2,692","3,045","2,694","2,580","1,671","2,655","1,960","1,811","3,117","2,950","2,498","1,289","2,538","2,870","3,887","1,585","3,682",761,"1,338","3,461","1,232","2,502"
2021년01월_계_70~79세,"26,157","1,223","1,541","1,673","1,285","1,394",939,"1,105",954,992,"1,655","1,167",899,565,"1,301",927,"1,572",801,"1,706",608,818,"1,184",461,"1,387"
2021년01월_계_80~89세,"11,342",467,608,715,562,545,403,541,361,402,631,450,431,224,716,436,637,397,736,393,365,544,191,587
2021년01월_계_90~99세,"1,696",68,73,94,83,78,51,71,55,59,85,64,44,33,135,67,117,55,107,92,65,75,39,86
2021년01월_계_100세 이상,93,3,6,4,2,6,5,3,5,4,6,8,1,2,2,1,6,2,10,5,3,4,0,5
