카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년01월_계_총인구수,"2,119,837","658,488","257,683","400,805","104,442","99,964","316,740","175,543","116,587","42,809","166,189","51,262","65,202","51,742","30,840","99,850","78,129","62,050"
2021년01월_계_연령구간인구수,"2,119,837","658,488","257,683","400,805","104,442","99,964","316,740","175,543","116,587","42,809","166,189","51,262","65,202","51,742","30,840","99,850","78,129","62,050"
2021년01월_계_0~9세,"171,364","61,720","20,228","41,492","5,724","6,065","32,721","15,336","7,211","3,878","15,408","2,528","2,909","2,286","1,259","7,646","3,599","3,074"
2021년01월_계_10~19세,"202,234","68,276","26,197","42,079","8,154","8,259","34,533","17,204","9,766","6,278","15,670","4,269","4,659","3,464","2,018","9,539","5,756","4,389"
2021년01월_계_20~29세,"242,407","96,358","35,285","61,073","11,199","9,484","36,609","19,245","11,348","4,902","16,035","4,002","5,367","3,857","2,617","9,625","6,787","4,972"
2021년01월_계_30~39세,"267,444","105,033","33,025","72,008","9,446","9,359","48,290","22,036","10,744","4,626","22,713","3,696","4,363","3,434","2,087","10,435","6,114","5,068"
2021년01월_계_40~49세,"327,795","111,889","42,756","69,133","13,313","13,897","56,660","27,794","15,333","8,333","26,712","6,200","7,166","5,802","3,100","14,439","9,518","7,639"
2021년01월_계_50~59세,"339,367","102,956","43,670","59,286","18,337","17,075","46,333","28,381","19,619","6,919","25,951","9,027","10,774","8,461","5,257","15,862","13,582","10,833"
2021년01월_계_60~69세,"281,740","64,432","31,588","32,844","18,553","17,240","32,251","22,183","20,127","4,525","21,168","9,890","13,136","10,267","6,199","14,848","14,850","12,071"
2021년01월_계_70~79세,"171,750","30,244","15,588","14,656","11,494","11,284","18,121","13,928","13,070","2,052","13,304","6,848","9,437","8,029","4,521","10,093","10,455","8,870"
