카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년01월_계_총인구수,"138,610","6,830","7,102","4,479","50,866","30,322","2,453","32,858","3,700"
2021년01월_계_연령구간인구수,"138,610","6,830","7,102","4,479","50,866","30,322","2,453","32,858","3,700"
2021년01월_계_0~9세,"20,089",185,495,85,"9,738","5,116",52,"4,311",107
2021년01월_계_10~19세,"11,869",294,460,135,"4,195","4,204",70,"2,369",142
2021년01월_계_20~29세,"12,317",651,828,349,"4,295","2,454",198,"3,244",298
2021년01월_계_30~39세,"27,338",596,868,351,"13,165","4,962",198,"6,872",326
2021년01월_계_40~49세,"23,930",716,890,377,"8,885","6,679",206,"5,748",429
2021년01월_계_50~59세,"16,967","1,273","1,096",930,"4,793","3,324",479,"4,307",765
2021년01월_계_60~69세,"15,982","1,652","1,350","1,301","3,854","2,417",627,"3,862",919
2021년01월_계_70~79세,"6,907","1,009",715,615,"1,373",840,408,"1,491",456
2021년01월_계_80~89세,"2,705",391,338,266,481,281,176,559,213
2021년01월_계_90~99세,459,60,56,55,78,44,36,90,40
2021년01월_계_100세 이상,47,3,6,15,9,1,3,5,5
2021년01월_남_총인구수,"71,620","3,768","3,971","2,382","25,504","15,110","1,308","17,645","1,932"
2021년01월_남_연령구간인구수,"71,620","3,768","3,971","2,382","25,504","15,110","1,308","17,645","1,932"
2021년01월_남_0~9세,"10,323",90,269,45,"4,916","2,658",22,"2,268",55
2021년01월_남_10~19세,"6,050",167,247,70,"2,052","2,149",45,"1,250",70
2021년01월_남_20~29세,"6,646",391,541,224,"2,112","1,264",117,"1,818",179
2021년01월_남_30~39세,"13,923",341,505,206,"6,514","2,228",119,"3,810",200
2021년01월_남_40~49세,"13,369",437,541,238,"4,903","3,426",137,"3,427",260
2021년01월_남_50~59세,"8,701",745,635,495,"2,262","1,685",261,"2,225",393
2021년01월_남_60~69세,"8,121",918,733,707,"1,859","1,169",331,"1,937",467
2021년01월_남_70~79세,"3,474",520,368,292,709,420,210,721,234
2021년01월_남_80~89세,919,150,122,88,163,99,58,172,67
2021년01월_남_90~99세,81,8,8,12,11,11,8,16,7
2021년01월_남_100세 이상,13,1,2,5,3,1,0,1,0
2021년01월_여_총인구수,"66,990","3,062","3,131","2,097","25,362","15,212","1,145","15,213","1,768"
2021년01월_여_연령구간인구수,"66,990","3,062","3,131","2,097","25,362","15,212","1,145","15,213","1,768"
2021년01월_여_0~9세,"9,766",95,226,40,"4,822","2,458",30,"2,043",52
2021년01월_여_10~19세,"5,819",127,213,65,"2,143","2,055",25,"1,119",72
2021년01월_여_20~29세,"5,671",260,287,125,"2,183","1,190",81,"1,426",119
2021년01월_여_30~39세,"13,415",255,363,145,"6,651","2,734",79,"3,062",126
2021년01월_여_40~49세,"10,561",279,349,139,"3,982","3,253",69,"2,321",169
2021년01월_여_50~59세,"8,266",528,461,435,"2,531","1,639",218,"2,082",372
2021년01월_여_60~69세,"7,861",734,617,594,"1,995","1,248",296,"1,925",452
2021년01월_여_70~79세,"3,433",489,347,323,664,420,198,770,222
2021년01월_여_80~89세,"1,786",241,216,178,318,182,118,387,146
2021년01월_여_90~99세,378,52,48,43,67,33,28,74,33
2021년01월_여_100세 이상,34,2,4,10,6,0,3,4,5
