,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년02월_계_총인구수,"1,186,273","272,823","23,519","43,000","29,701","29,990","42,578","20,304","19,692","28,699","19,057","16,283","368,157","10,388","23,671","19,293","40,986","38,092","24,811","45,743","46,528","24,957","49,406","27,472","16,810","177,307","5,949","10,598","11,617","23,271","26,669","11,263","20,445","17,154","39,436","10,905","367,986","18,167","15,107","36,263","22,045","39,036","35,736","26,573","32,998","31,495","28,259","52,996","29,311"
2021년02월_계_연령구간인구수,"1,186,273","272,823","23,519","43,000","29,701","29,990","42,578","20,304","19,692","28,699","19,057","16,283","368,157","10,388","23,671","19,293","40,986","38,092","24,811","45,743","46,528","24,957","49,406","27,472","16,810","177,307","5,949","10,598","11,617","23,271","26,669","11,263","20,445","17,154","39,436","10,905","367,986","18,167","15,107","36,263","22,045","39,036","35,736","26,573","32,998","31,495","28,259","52,996","29,311"
2021년02월_계_0~9세,"95,749","17,934","1,325","3,089","2,469","1,914","3,592",847,"1,125","1,468","1,396",709,"32,052",862,"1,137",940,"3,119","2,394","1,431","4,900","7,028","1,303","5,612","1,651","1,675","9,667",239,422,699,"1,481","1,969",400,890,"1,154","2,145",268,"36,096","1,124",894,"2,850","1,355","4,380","3,554","2,547","2,593","3,467","4,324","5,564","3,444"
2021년02월_계_10~19세,"117,740","28,366","1,840","4,103","3,517","3,149","6,903","1,207","1,747","2,797","2,055","1,048","33,260",615,"1,587","1,529","3,540","3,178","2,047","4,957","4,600","1,718","5,441","2,242","1,806","13,959",309,473,817,"2,169","2,976",709,"1,392","1,795","2,848",471,"42,155","1,880","1,510","4,392","2,238","3,609","4,828","2,174","4,355","4,074","3,248","6,803","3,044"
2021년02월_계_20~29세,"186,260","43,782","3,405","10,064","4,112","4,350","6,245","2,691","3,019","4,325","2,946","2,625","54,212","1,475","3,595","2,723","6,341","5,813","3,907","6,183","5,046","5,092","6,699","5,305","2,033","29,399",890,"1,829","1,645","3,191","4,103","1,344","3,273","3,636","7,989","1,499","58,867","3,096","2,481","6,464","3,793","6,493","4,891","5,568","6,575","4,517","3,368","8,416","3,205"
2021년02월_계_30~39세,"177,803","32,450","2,977","5,784","3,447","3,660","4,366","2,499","2,628","3,239","2,023","1,827","57,652","1,707","3,562","2,578","5,754","5,255","3,296","6,565","9,062","4,503","7,860","5,264","2,246","25,211",921,"1,654","1,671","2,608","3,426","1,193","2,897","2,189","7,344","1,308","62,490","2,387","1,955","5,507","3,226","7,412","5,424","6,754","4,418","4,934","5,647","9,468","5,358"
2021년02월_계_40~49세,"202,518","44,986","3,664","6,515","5,422","5,020","8,912","2,913","3,067","4,440","2,893","2,140","61,652","1,490","3,678","3,062","6,164","6,064","3,706","8,157","8,512","3,690","9,013","4,938","3,178","27,636",851,"1,440","1,753","3,868","4,489","1,624","2,987","2,734","6,400","1,490","68,244","2,943","2,407","6,790","3,726","7,288","7,090","4,220","6,089","5,829","5,553","10,680","5,629"
2021년02월_계_50~59세,"196,855","49,183","4,376","6,778","5,280","5,435","7,543","3,970","3,683","5,478","3,838","2,802","62,085","1,856","4,283","3,438","7,547","6,777","4,837","7,669","6,034","4,190","7,940","4,623","2,891","30,670","1,085","1,938","1,955","4,154","5,113","2,111","3,656","2,702","5,832","2,124","54,917","3,304","2,775","5,642","3,776","4,778","5,772","3,168","5,389","5,188","3,697","7,251","4,177"
2021년02월_계_60~69세,"122,853","31,294","3,373","3,856","3,084","3,452","2,856","3,543","2,574","3,823","2,098","2,635","40,818","1,344","3,413","2,851","5,169","5,082","3,380","4,292","3,882","2,828","4,583","2,166","1,828","22,939",911,"1,616","1,640","3,221","2,680","2,072","2,970","1,740","4,084","2,005","27,802","2,121","1,816","2,781","2,381","3,113","2,493","1,232","2,235","2,250","1,584","3,071","2,725"
2021년02월_계_70~79세,"56,741","15,809","1,663","1,743","1,493","1,990","1,345","1,789","1,210","1,990","1,021","1,565","17,509",686,"1,618","1,489","2,176","2,429","1,449","1,945","1,577","1,097","1,504",772,767,"11,983",493,825,995,"1,790","1,217","1,212","1,644",789,"1,859","1,159","11,440",915,844,"1,177",993,"1,307","1,048",578,811,839,544,"1,201","1,183"
2021년02월_계_80~89세,"25,385","7,646",772,914,743,881,707,707,536,967,657,762,"7,637",289,683,578,990,959,655,927,697,467,635,423,334,"5,013",218,338,380,683,600,518,645,359,797,475,"5,089",331,352,577,478,552,551,285,449,334,256,452,472
2021년02월_계_90~99세,"4,038","1,282",116,143,125,134,107,118,96,166,127,150,"1,183",52,103,92,169,129,96,147,84,66,112,82,51,729,23,57,48,93,90,68,82,55,121,92,844,62,66,79,76,101,78,44,83,61,35,89,70
2021년02월_계_100세 이상,331,91,8,11,9,5,2,20,7,6,3,20,97,12,12,13,17,12,7,1,6,3,7,6,1,101,9,6,14,13,6,12,9,1,17,14,42,4,7,4,3,3,7,3,1,2,3,1,4
2021년02월_남_총인구수,"597,254","137,348","11,869","22,683","14,645","14,720","21,289","10,370","9,763","14,440","9,188","8,381","185,850","5,182","12,209","9,720","20,791","19,356","12,508","22,622","23,151","12,731","24,269","14,786","8,525","89,461","3,146","5,641","5,986","11,286","13,131","5,737","10,190","8,604","19,928","5,812","184,595","9,143","7,500","18,733","10,807","19,775","17,598","14,078","16,840","15,871","14,126","25,951","14,173"
2021년02월_남_연령구간인구수,"597,254","137,348","11,869","22,683","14,645","14,720","21,289","10,370","9,763","14,440","9,188","8,381","185,850","5,182","12,209","9,720","20,791","19,356","12,508","22,622","23,151","12,731","24,269","14,786","8,525","89,461","3,146","5,641","5,986","11,286","13,131","5,737","10,190","8,604","19,928","5,812","184,595","9,143","7,500","18,733","10,807","19,775","17,598","14,078","16,840","15,871","14,126","25,951","14,173"
2021년02월_남_0~9세,"49,401","9,244",677,"1,579","1,264",967,"1,897",443,570,765,713,369,"16,511",444,585,441,"1,626","1,191",710,"2,498","3,675",682,"2,926",864,869,"4,931",121,217,384,729,"1,019",212,468,566,"1,079",136,"18,715",565,481,"1,477",722,"2,259","1,830","1,307","1,307","1,813","2,261","2,930","1,763"
2021년02월_남_10~19세,"60,900","14,789",958,"2,154","1,889","1,620","3,562",621,948,"1,464","1,025",548,"17,290",325,831,805,"1,858","1,675","1,053","2,625","2,295",915,"2,836","1,140",932,"7,163",164,242,409,"1,053","1,508",376,726,988,"1,445",252,"21,658",971,799,"2,255","1,137","1,884","2,507","1,125","2,295","2,070","1,675","3,388","1,552"
2021년02월_남_20~29세,"98,121","23,952","1,865","6,167","2,195","2,243","3,237","1,390","1,523","2,289","1,526","1,517","28,342",745,"1,913","1,447","3,438","3,079","2,062","3,197","2,504","2,559","3,481","2,836","1,081","15,242",486,999,854,"1,618","2,128",741,"1,739","1,996","3,944",737,"30,585","1,712","1,237","3,576","2,016","3,355","2,496","3,158","3,549","2,452","1,653","3,822","1,559"
2021년02월_남_30~39세,"92,406","16,956","1,589","3,071","1,677","1,898","2,119","1,409","1,374","1,772",978,"1,069","30,086",910,"2,049","1,432","3,006","2,891","1,765","3,239","4,437","2,430","3,752","3,034","1,141","13,695",499,937,952,"1,341","1,692",665,"1,638","1,143","4,053",775,"31,669","1,266","1,055","3,032","1,678","3,731","2,636","3,784","2,300","2,398","2,727","4,489","2,573"
2021년02월_남_40~49세,"102,133","22,262","1,889","3,253","2,588","2,451","4,169","1,596","1,546","2,248","1,331","1,191","31,924",788,"1,972","1,601","3,158","3,210","1,923","4,064","4,516","1,915","4,364","2,778","1,635","14,343",494,830,969,"1,914","2,139",899,"1,572","1,304","3,330",892,"33,604","1,411","1,190","3,393","1,735","3,829","3,373","2,155","2,883","2,849","2,812","5,165","2,809"
2021년02월_남_50~59세,"98,229","24,627","2,219","3,397","2,616","2,692","3,948","2,013","1,794","2,732","1,771","1,445","30,564",891,"2,164","1,688","3,690","3,383","2,394","3,717","2,891","2,109","3,730","2,464","1,443","15,552",604,"1,039","1,007","2,022","2,494","1,125","1,792","1,310","2,932","1,227","27,486","1,649","1,317","2,865","1,805","2,433","2,836","1,595","2,772","2,598","1,856","3,801","1,959"
2021년02월_남_60~69세,"60,757","15,427","1,658","1,945","1,478","1,623","1,520","1,744","1,250","1,896","1,093","1,220","20,185",647,"1,635","1,384","2,617","2,475","1,676","2,097","1,885","1,441","2,236","1,167",925,"11,193",457,839,772,"1,540","1,375",992,"1,349",834,"2,000","1,035","13,952","1,013",914,"1,411","1,124","1,499","1,274",623,"1,222","1,211",802,"1,610","1,249"
2021년02월_남_70~79세,"25,360","6,989",733,751,651,858,564,831,535,895,459,712,"8,012",311,752,682,"1,023","1,093",691,832,708,506,706,340,368,"5,312",229,386,450,786,552,528,679,325,844,533,"5,047",438,379,534,423,581,415,218,342,361,251,567,538
2021년02월_남_80~89세,"8,932","2,758",253,318,259,335,252,294,195,328,250,274,"2,649",108,271,216,346,329,211,315,218,158,216,145,116,"1,823",78,128,172,257,200,182,209,127,277,193,"1,702",106,116,178,150,182,209,102,157,108,81,157,156
2021년02월_남_90~99세,928,322,26,44,25,32,21,23,26,51,40,34,258,10,33,23,25,26,21,38,18,14,19,16,15,180,9,21,10,24,22,15,16,11,22,30,168,11,11,12,16,21,19,10,13,11,8,22,14
2021년02월_남_100세 이상,87,22,2,4,3,1,0,6,2,0,2,2,29,3,4,1,4,4,2,0,4,2,3,2,0,27,5,3,7,2,2,2,2,0,2,2,9,1,1,0,1,1,3,1,0,0,0,0,1
2021년02월_여_총인구수,"589,019","135,475","11,650","20,317","15,056","15,270","21,289","9,934","9,929","14,259","9,869","7,902","182,307","5,206","11,462","9,573","20,195","18,736","12,303","23,121","23,377","12,226","25,137","12,686","8,285","87,846","2,803","4,957","5,631","11,985","13,538","5,526","10,255","8,550","19,508","5,093","183,391","9,024","7,607","17,530","11,238","19,261","18,138","12,495","16,158","15,624","14,133","27,045","15,138"
2021년02월_여_연령구간인구수,"589,019","135,475","11,650","20,317","15,056","15,270","21,289","9,934","9,929","14,259","9,869","7,902","182,307","5,206","11,462","9,573","20,195","18,736","12,303","23,121","23,377","12,226","25,137","12,686","8,285","87,846","2,803","4,957","5,631","11,985","13,538","5,526","10,255","8,550","19,508","5,093","183,391","9,024","7,607","17,530","11,238","19,261","18,138","12,495","16,158","15,624","14,133","27,045","15,138"
2021년02월_여_0~9세,"46,348","8,690",648,"1,510","1,205",947,"1,695",404,555,703,683,340,"15,541",418,552,499,"1,493","1,203",721,"2,402","3,353",621,"2,686",787,806,"4,736",118,205,315,752,950,188,422,588,"1,066",132,"17,381",559,413,"1,373",633,"2,121","1,724","1,240","1,286","1,654","2,063","2,634","1,681"
2021년02월_여_10~19세,"56,840","13,577",882,"1,949","1,628","1,529","3,341",586,799,"1,333","1,030",500,"15,970",290,756,724,"1,682","1,503",994,"2,332","2,305",803,"2,605","1,102",874,"6,796",145,231,408,"1,116","1,468",333,666,807,"1,403",219,"20,497",909,711,"2,137","1,101","1,725","2,321","1,049","2,060","2,004","1,573","3,415","1,492"
2021년02월_여_20~29세,"88,139","19,830","1,540","3,897","1,917","2,107","3,008","1,301","1,496","2,036","1,420","1,108","25,870",730,"1,682","1,276","2,903","2,734","1,845","2,986","2,542","2,533","3,218","2,469",952,"14,157",404,830,791,"1,573","1,975",603,"1,534","1,640","4,045",762,"28,282","1,384","1,244","2,888","1,777","3,138","2,395","2,410","3,026","2,065","1,715","4,594","1,646"
2021년02월_여_30~39세,"85,397","15,494","1,388","2,713","1,770","1,762","2,247","1,090","1,254","1,467","1,045",758,"27,566",797,"1,513","1,146","2,748","2,364","1,531","3,326","4,625","2,073","4,108","2,230","1,105","11,516",422,717,719,"1,267","1,734",528,"1,259","1,046","3,291",533,"30,821","1,121",900,"2,475","1,548","3,681","2,788","2,970","2,118","2,536","2,920","4,979","2,785"
2021년02월_여_40~49세,"100,385","22,724","1,775","3,262","2,834","2,569","4,743","1,317","1,521","2,192","1,562",949,"29,728",702,"1,706","1,461","3,006","2,854","1,783","4,093","3,996","1,775","4,649","2,160","1,543","13,293",357,610,784,"1,954","2,350",725,"1,415","1,430","3,070",598,"34,640","1,532","1,217","3,397","1,991","3,459","3,717","2,065","3,206","2,980","2,741","5,515","2,820"
2021년02월_여_50~59세,"98,626","24,556","2,157","3,381","2,664","2,743","3,595","1,957","1,889","2,746","2,067","1,357","31,521",965,"2,119","1,750","3,857","3,394","2,443","3,952","3,143","2,081","4,210","2,159","1,448","15,118",481,899,948,"2,132","2,619",986,"1,864","1,392","2,900",897,"27,431","1,655","1,458","2,777","1,971","2,345","2,936","1,573","2,617","2,590","1,841","3,450","2,218"
2021년02월_여_60~69세,"62,096","15,867","1,715","1,911","1,606","1,829","1,336","1,799","1,324","1,927","1,005","1,415","20,633",697,"1,778","1,467","2,552","2,607","1,704","2,195","1,997","1,387","2,347",999,903,"11,746",454,777,868,"1,681","1,305","1,080","1,621",906,"2,084",970,"13,850","1,108",902,"1,370","1,257","1,614","1,219",609,"1,013","1,039",782,"1,461","1,476"
2021년02월_여_70~79세,"31,381","8,820",930,992,842,"1,132",781,958,675,"1,095",562,853,"9,497",375,866,807,"1,153","1,336",758,"1,113",869,591,798,432,399,"6,671",264,439,545,"1,004",665,684,965,464,"1,015",626,"6,393",477,465,643,570,726,633,360,469,478,293,634,645
2021년02월_여_80~89세,"16,453","4,888",519,596,484,546,455,413,341,639,407,488,"4,988",181,412,362,644,630,444,612,479,309,419,278,218,"3,190",140,210,208,426,400,336,436,232,520,282,"3,387",225,236,399,328,370,342,183,292,226,175,295,316
2021년02월_여_90~99세,"3,110",960,90,99,100,102,86,95,70,115,87,116,925,42,70,69,144,103,75,109,66,52,93,66,36,549,14,36,38,69,68,53,66,44,99,62,676,51,55,67,60,80,59,34,70,50,27,67,56
2021년02월_여_100세 이상,244,69,6,7,6,4,2,14,5,6,1,18,68,9,8,12,13,8,5,1,2,1,4,4,1,74,4,3,7,11,4,10,7,1,15,12,33,3,6,4,2,2,4,2,1,2,3,1,3
