,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년08월_계_총인구수,"71,258","5,836","1,114","3,193",821,"2,476","3,042","2,395","2,744","1,935","3,576","2,588","5,878","7,098","9,100","3,149","16,313"
2020년08월_계_연령구간인구수,"71,258","5,836","1,114","3,193",821,"2,476","3,042","2,395","2,744","1,935","3,576","2,588","5,878","7,098","9,100","3,149","16,313"
2020년08월_계_0~9세,"4,084",220,42,101,18,59,87,41,53,84,88,72,376,426,671,123,"1,623"
2020년08월_계_10~19세,"5,690",342,61,156,37,299,129,168,109,73,128,88,419,586,880,144,"2,071"
2020년08월_계_20~29세,"6,105",404,70,155,25,141,193,311,144,99,217,112,531,612,852,215,"2,024"
2020년08월_계_30~39세,"5,825",375,48,154,49,104,158,103,117,96,215,134,611,651,830,241,"1,939"
2020년08월_계_40~49세,"8,813",602,106,262,80,176,256,188,232,172,304,189,711,890,"1,340",327,"2,978"
2020년08월_계_50~59세,"12,057","1,058",227,549,171,348,484,375,491,363,616,502,996,"1,152","1,582",548,"2,595"
2020년08월_계_60~69세,"13,160","1,238",259,708,193,558,699,535,603,483,751,634,"1,130","1,379","1,516",673,"1,801"
2020년08월_계_70~79세,"9,314","1,013",172,595,153,388,555,365,544,328,728,470,726,935,918,537,887
2020년08월_계_80~89세,"5,362",498,112,434,79,344,405,270,391,210,465,318,339,414,450,300,333
2020년08월_계_90~99세,793,75,17,76,15,58,74,38,56,27,57,63,36,45,56,39,61
2020년08월_계_100세 이상,55,11,0,3,1,1,2,1,4,0,7,6,3,8,5,2,1
2020년08월_남_총인구수,"34,890","2,817",561,"1,554",420,"1,294","1,510","1,140","1,365",988,"1,695","1,192","2,871","3,435","4,520","1,565","7,963"
2020년08월_남_연령구간인구수,"34,890","2,817",561,"1,554",420,"1,294","1,510","1,140","1,365",988,"1,695","1,192","2,871","3,435","4,520","1,565","7,963"
2020년08월_남_0~9세,"2,129",102,20,49,9,30,44,26,31,46,42,37,212,223,359,55,844
2020년08월_남_10~19세,"3,069",182,32,93,24,199,70,77,60,39,71,45,229,305,508,86,"1,049"
2020년08월_남_20~29세,"3,433",249,43,97,11,78,118,132,93,56,119,68,310,359,527,121,"1,052"
2020년08월_남_30~39세,"3,093",212,26,86,21,62,90,57,74,54,129,76,324,357,417,136,972
2020년08월_남_40~49세,"4,727",331,62,147,45,109,165,113,145,113,196,122,384,467,705,205,"1,418"
2020년08월_남_50~59세,"6,217",552,131,286,96,204,275,210,290,185,348,243,475,571,757,311,"1,283"
2020년08월_남_60~69세,"6,337",574,131,379,119,287,345,280,312,276,364,310,494,609,682,322,853
2020년08월_남_70~79세,"4,024",430,76,259,67,191,252,147,237,139,291,196,313,406,395,241,384
2020년08월_남_80~89세,"1,691",167,38,138,27,122,139,91,111,75,121,80,122,128,155,85,92
2020년08월_남_90~99세,155,14,2,20,1,12,12,7,10,5,10,13,8,8,14,3,16
2020년08월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년08월_여_총인구수,"36,368","3,019",553,"1,639",401,"1,182","1,532","1,255","1,379",947,"1,881","1,396","3,007","3,663","4,580","1,584","8,350"
2020년08월_여_연령구간인구수,"36,368","3,019",553,"1,639",401,"1,182","1,532","1,255","1,379",947,"1,881","1,396","3,007","3,663","4,580","1,584","8,350"
2020년08월_여_0~9세,"1,955",118,22,52,9,29,43,15,22,38,46,35,164,203,312,68,779
2020년08월_여_10~19세,"2,621",160,29,63,13,100,59,91,49,34,57,43,190,281,372,58,"1,022"
2020년08월_여_20~29세,"2,672",155,27,58,14,63,75,179,51,43,98,44,221,253,325,94,972
2020년08월_여_30~39세,"2,732",163,22,68,28,42,68,46,43,42,86,58,287,294,413,105,967
2020년08월_여_40~49세,"4,086",271,44,115,35,67,91,75,87,59,108,67,327,423,635,122,"1,560"
2020년08월_여_50~59세,"5,840",506,96,263,75,144,209,165,201,178,268,259,521,581,825,237,"1,312"
2020년08월_여_60~69세,"6,823",664,128,329,74,271,354,255,291,207,387,324,636,770,834,351,948
2020년08월_여_70~79세,"5,290",583,96,336,86,197,303,218,307,189,437,274,413,529,523,296,503
2020년08월_여_80~89세,"3,671",331,74,296,52,222,266,179,280,135,344,238,217,286,295,215,241
2020년08월_여_90~99세,638,61,15,56,14,46,62,31,46,22,47,50,28,37,42,36,45
2020년08월_여_100세 이상,40,7,0,3,1,1,2,1,2,0,3,4,3,6,4,2,1
