,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년04월_계_총인구수,"1,537,780","281,492","351,421","213,037","90,233","43,251","81,713","65,887","68,688","46,232","38,762","41,758","37,036","45,093","24,627","22,375","31,506","26,959","27,710"
2020년04월_계_연령구간인구수,"1,537,780","281,492","351,421","213,037","90,233","43,251","81,713","65,887","68,688","46,232","38,762","41,758","37,036","45,093","24,627","22,375","31,506","26,959","27,710"
2020년04월_계_0~9세,"108,087","22,050","28,816","13,857","6,789","2,757","5,914","4,010","3,897","2,233","1,729","1,986","1,811","3,374","1,852","1,793","2,551","1,290","1,378"
2020년04월_계_10~19세,"140,644","27,561","36,391","19,714","8,955","3,924","7,610","5,254","5,326","3,514","2,965","2,993","2,642","3,922","1,825","2,129","2,302","1,702","1,915"
2020년04월_계_20~29세,"178,850","36,936","45,180","25,086","9,297","3,671","8,845","7,404","6,520","3,909","3,304","3,394","2,869","6,002","3,811","3,071","4,148","3,013","2,390"
2020년04월_계_30~39세,"168,852","34,648","45,408","22,006","9,437","4,044","9,239","6,105","6,221","3,590","2,900","3,293","3,274","4,791","2,836","2,583","3,887","2,225","2,365"
2020년04월_계_40~49세,"226,430","42,657","57,475","32,668","14,745","6,570","12,545","9,109","8,381","5,173","4,777","5,443","5,021","5,838","2,777","2,620","3,963","3,124","3,544"
2020년04월_계_50~59세,"268,793","46,990","60,140","36,746","15,617","7,537","15,139","11,568","12,949","8,866","7,471","8,186","7,160","7,388","3,993","3,641","5,374","4,952","5,076"
2020년04월_계_60~69세,"229,900","36,408","43,027","32,315","13,249","7,528","12,014","10,752","13,170","9,683","7,755","8,485","7,209","6,421","3,558","3,206","4,862","4,991","5,267"
2020년04월_계_70~79세,"135,561","21,127","21,552","19,393","7,993","4,867","6,711","7,195","7,321","5,628","4,899","5,032","4,531","4,823","2,466","2,064","2,738","3,546","3,675"
2020년04월_계_80~89세,"69,127","11,173","11,588","9,569","3,635","2,041","3,078","3,892","4,269","3,107","2,578","2,557","2,129","2,144","1,296","1,106","1,432","1,763","1,770"
2020년04월_계_90~99세,"10,721","1,831","1,740","1,581",487,251,584,549,594,499,335,349,344,345,198,147,235,337,315
2020년04월_계_100세 이상,815,111,104,102,29,61,34,49,40,30,49,40,46,45,15,15,14,16,15
2020년04월_남_총인구수,"773,468","138,867","174,467","105,639","45,698","21,856","40,393","33,402","35,194","23,669","20,002","21,394","19,232","23,476","13,318","11,801","17,027","13,926","14,107"
2020년04월_남_연령구간인구수,"773,468","138,867","174,467","105,639","45,698","21,856","40,393","33,402","35,194","23,669","20,002","21,394","19,232","23,476","13,318","11,801","17,027","13,926","14,107"
2020년04월_남_0~9세,"55,320","11,311","14,703","7,143","3,495","1,418","2,993","2,042","1,960","1,168",918,997,933,"1,726",921,893,"1,323",664,712
2020년04월_남_10~19세,"73,290","14,351","18,915","10,353","4,681","2,051","3,943","2,765","2,733","1,830","1,589","1,580","1,364","2,026",932,"1,081","1,190",912,994
2020년04월_남_20~29세,"100,309","19,666","24,016","13,709","5,441","2,081","4,980","4,191","3,868","2,207","1,885","1,955","1,633","3,921","2,646","2,040","2,740","1,911","1,419"
2020년04월_남_30~39세,"88,312","17,546","23,002","11,501","4,961","2,116","4,903","3,272","3,394","1,917","1,598","1,793","1,851","2,623","1,639","1,428","2,228","1,266","1,274"
2020년04월_남_40~49세,"116,680","21,172","28,399","16,689","7,702","3,495","6,241","5,059","4,489","2,861","2,652","2,999","2,914","3,145","1,517","1,422","2,207","1,760","1,957"
2020년04월_남_50~59세,"137,776","23,500","30,226","18,367","8,038","4,009","7,442","6,128","6,784","4,687","4,085","4,361","3,891","3,929","2,173","1,930","2,847","2,653","2,726"
2020년04월_남_60~69세,"114,230","17,611","21,314","15,471","6,387","3,698","5,819","5,371","6,854","5,031","4,021","4,386","3,777","3,100","1,883","1,694","2,628","2,560","2,625"
2020년04월_남_70~79세,"60,601","9,218","9,464","8,671","3,586","2,171","2,910","3,153","3,453","2,720","2,232","2,326","2,042","2,150","1,086",899,"1,298","1,539","1,683"
2020년04월_남_80~89세,"24,252","4,020","4,008","3,386","1,296",739,"1,024","1,302","1,483","1,118",915,904,729,772,462,368,494,580,652
2020년04월_남_90~99세,"2,444",424,398,323,102,52,124,107,168,119,93,82,79,72,52,40,67,78,64
2020년04월_남_100세 이상,254,48,22,26,9,26,14,12,8,11,14,11,19,12,7,6,5,3,1
2020년04월_여_총인구수,"764,312","142,625","176,954","107,398","44,535","21,395","41,320","32,485","33,494","22,563","18,760","20,364","17,804","21,617","11,309","10,574","14,479","13,033","13,603"
2020년04월_여_연령구간인구수,"764,312","142,625","176,954","107,398","44,535","21,395","41,320","32,485","33,494","22,563","18,760","20,364","17,804","21,617","11,309","10,574","14,479","13,033","13,603"
2020년04월_여_0~9세,"52,767","10,739","14,113","6,714","3,294","1,339","2,921","1,968","1,937","1,065",811,989,878,"1,648",931,900,"1,228",626,666
2020년04월_여_10~19세,"67,354","13,210","17,476","9,361","4,274","1,873","3,667","2,489","2,593","1,684","1,376","1,413","1,278","1,896",893,"1,048","1,112",790,921
