카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년07월_계_총인구수,"252,438","5,394","24,395","9,330","21,994","4,238","6,238","4,704","3,251","3,183","21,721","6,163","5,662","5,161","6,372","13,703","4,603","14,646","5,793","23,857","28,323","22,285","9,692","1,730"
2021년07월_계_연령구간인구수,"252,438","5,394","24,395","9,330","21,994","4,238","6,238","4,704","3,251","3,183","21,721","6,163","5,662","5,161","6,372","13,703","4,603","14,646","5,793","23,857","28,323","22,285","9,692","1,730"
2021년07월_계_0~9세,"15,740",137,"1,081",320,"1,353",212,261,93,49,59,"2,341",178,268,198,165,405,90,"1,101",357,"2,851","2,382","1,160",632,47
2021년07월_계_10~19세,"20,400",229,"1,975",493,"1,203",183,321,199,81,129,"2,394",312,306,311,311,787,184,"1,619",331,"2,625","3,551","2,200",573,83
2021년07월_계_20~29세,"26,093",334,"2,221",702,"2,164",438,579,271,137,166,"2,253",470,512,519,588,"1,933",349,"1,853",452,"2,604","3,688","2,896",791,173
2021년07월_계_30~39세,"24,890",322,"1,697",646,"2,632",448,488,244,125,152,"2,907",347,568,470,529,"1,221",266,"1,412",495,"3,368","3,138","2,214","1,088",113
2021년07월_계_40~49세,"36,169",594,"3,224",997,"3,023",362,701,398,195,278,"3,769",689,685,630,722,"1,749",478,"2,480",738,"4,350","5,048","3,530","1,331",198
2021년07월_계_50~59세,"46,535",977,"4,919","1,647","4,355",652,"1,292",860,562,553,"3,646","1,229","1,037",839,"1,127","2,308",805,"2,795","1,000","4,028","5,411","4,433","1,737",323
2021년07월_계_60~69세,"42,648","1,251","4,486","2,086","3,957",845,"1,371","1,151","1,011",769,"2,524","1,374","1,124","1,069","1,444","2,693","1,060","1,863","1,141","2,494","3,198","3,524","1,814",399
2021년07월_계_70~79세,"24,760",947,"2,925","1,464","2,014",600,736,828,656,652,"1,176",909,718,751,972,"1,829",794,960,782,968,"1,210","1,570","1,049",250
2021년07월_계_80~89세,"13,335",516,"1,671",868,"1,115",426,404,583,384,381,629,569,397,344,450,688,511,499,430,489,603,668,584,126
2021년07월_계_90~99세,"1,800",82,188,103,171,68,83,75,51,42,80,84,46,30,62,87,58,63,65,76,94,85,90,17
2021년07월_계_100세 이상,68,5,8,4,7,4,2,2,0,2,2,2,1,0,2,3,8,1,2,4,0,5,3,1
2021년07월_남_총인구수,"126,344","2,705","12,081","4,726","11,610","2,219","3,328","2,362","1,614","1,590","10,716","3,118","2,952","2,557","3,085","6,800","2,282","7,344","2,860","11,769","13,875","11,127","4,771",853
2021년07월_남_연령구간인구수,"126,344","2,705","12,081","4,726","11,610","2,219","3,328","2,362","1,614","1,590","10,716","3,118","2,952","2,557","3,085","6,800","2,282","7,344","2,860","11,769","13,875","11,127","4,771",853
2021년07월_남_0~9세,"8,024",72,561,169,687,117,134,50,28,25,"1,235",80,133,97,79,224,47,563,179,"1,434","1,192",580,317,21
