카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년10월_계_총인구수,"45,938","20,216","3,235","4,222","2,226","1,889","2,319","3,143",976,"2,751","1,828","3,133"
2021년10월_계_연령구간인구수,"45,938","20,216","3,235","4,222","2,226","1,889","2,319","3,143",976,"2,751","1,828","3,133"
2021년10월_계_0~9세,"2,141","1,456",77,153,42,49,59,91,29,70,34,81
2021년10월_계_10~19세,"3,209","1,948",150,298,101,86,101,168,48,101,80,128
2021년10월_계_20~29세,"3,892","2,362",221,258,129,104,101,281,39,138,92,167
2021년10월_계_30~39세,"2,985","1,836",157,236,89,73,88,148,29,110,63,156
2021년10월_계_40~49세,"5,001","2,906",273,392,200,144,166,256,66,186,162,250
2021년10월_계_50~59세,"8,082","3,442",619,754,424,332,368,612,193,457,334,547
2021년10월_계_60~69세,"9,703","3,188",856,"1,030",551,482,622,728,246,762,424,814
2021년10월_계_70~79세,"6,392","1,938",491,655,401,317,465,503,170,511,359,582
2021년10월_계_80~89세,"3,978","1,022",342,400,250,265,293,326,138,353,231,358
2021년10월_계_90~99세,541,115,47,45,36,36,54,30,17,62,49,50
2021년10월_계_100세 이상,14,3,2,1,3,1,2,0,1,1,0,0
2021년10월_남_총인구수,"22,879","9,982","1,640","2,125","1,108",940,"1,135","1,600",483,"1,381",908,"1,577"
2021년10월_남_연령구간인구수,"22,879","9,982","1,640","2,125","1,108",940,"1,135","1,600",483,"1,381",908,"1,577"
2021년10월_남_0~9세,"1,088",730,42,84,21,25,25,39,17,40,23,42
2021년10월_남_10~19세,"1,671","1,012",71,160,53,46,60,97,27,43,39,63
2021년10월_남_20~29세,"2,200","1,279",123,146,73,65,61,182,22,93,54,102
2021년10월_남_30~39세,"1,574",925,93,128,52,43,48,82,17,61,41,84
2021년10월_남_40~49세,"2,701","1,471",152,220,118,90,100,150,35,121,97,147
2021년10월_남_50~59세,"4,311","1,768",344,416,232,183,211,335,113,247,173,289
2021년10월_남_60~69세,"5,010","1,596",455,532,273,250,322,381,136,395,240,430
2021년10월_남_70~79세,"2,825",830,241,287,189,138,204,217,67,232,148,272
2021년10월_남_80~89세,"1,383",353,110,143,88,90,95,110,45,136,81,132
2021년10월_남_90~99세,114,18,9,9,8,10,8,7,4,13,12,16
2021년10월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0
2021년10월_여_총인구수,"23,059","10,234","1,595","2,097","1,118",949,"1,184","1,543",493,"1,370",920,"1,556"
2021년10월_여_연령구간인구수,"23,059","10,234","1,595","2,097","1,118",949,"1,184","1,543",493,"1,370",920,"1,556"
2021년10월_여_0~9세,"1,053",726,35,69,21,24,34,52,12,30,11,39
2021년10월_여_10~19세,"1,538",936,79,138,48,40,41,71,21,58,41,65
2021년10월_여_20~29세,"1,692","1,083",98,112,56,39,40,99,17,45,38,65
2021년10월_여_30~39세,"1,411",911,64,108,37,30,40,66,12,49,22,72
2021년10월_여_40~49세,"2,300","1,435",121,172,82,54,66,106,31,65,65,103
2021년10월_여_50~59세,"3,771","1,674",275,338,192,149,157,277,80,210,161,258
2021년10월_여_60~69세,"4,693","1,592",401,498,278,232,300,347,110,367,184,384
2021년10월_여_70~79세,"3,567","1,108",250,368,212,179,261,286,103,279,211,310
2021년10월_여_80~89세,"2,595",669,232,257,162,175,198,216,93,217,150,226
2021년10월_여_90~99세,427,97,38,36,28,26,46,23,13,49,37,34
2021년10월_여_100세 이상,12,3,2,1,2,1,1,0,1,1,0,0
