카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년06월_계_총인구수,"16,411","7,140","2,121","1,712","1,755","1,685","1,998"
2021년06월_계_연령구간인구수,"16,411","7,140","2,121","1,712","1,755","1,685","1,998"
2021년06월_계_0~9세,709,431,72,51,38,58,59
2021년06월_계_10~19세,913,539,75,50,78,100,71
2021년06월_계_20~29세,"1,115",631,100,78,107,93,106
2021년06월_계_30~39세,999,599,113,57,74,72,84
2021년06월_계_40~49세,"1,626",895,173,125,122,155,156
2021년06월_계_50~59세,"2,867","1,214",358,280,337,306,372
2021년06월_계_60~69세,"3,571","1,322",517,440,405,389,498
2021년06월_계_70~79세,"2,594",882,403,360,297,274,378
2021년06월_계_80~89세,"1,741",524,272,238,263,203,241
2021년06월_계_90~99세,260,102,37,30,33,30,28
2021년06월_계_100세 이상,16,1,1,3,1,5,5
2021년06월_남_총인구수,"8,179","3,539","1,031",876,874,849,"1,010"
2021년06월_남_연령구간인구수,"8,179","3,539","1,031",876,874,849,"1,010"
2021년06월_남_0~9세,374,237,34,28,17,34,24
2021년06월_남_10~19세,469,267,45,24,42,49,42
2021년06월_남_20~29세,655,368,58,46,63,57,63
2021년06월_남_30~39세,548,317,62,36,45,39,49
2021년06월_남_40~49세,960,501,115,86,67,95,96
2021년06월_남_50~59세,"1,600",640,197,178,195,177,213
2021년06월_남_60~69세,"1,805",652,257,214,211,200,271
2021년06월_남_70~79세,"1,137",375,168,179,133,119,163
2021년06월_남_80~89세,569,163,86,78,91,69,82
2021년06월_남_90~99세,60,19,8,7,10,10,6
2021년06월_남_100세 이상,2,0,1,0,0,0,1
2021년06월_여_총인구수,"8,232","3,601","1,090",836,881,836,988
2021년06월_여_연령구간인구수,"8,232","3,601","1,090",836,881,836,988
2021년06월_여_0~9세,335,194,38,23,21,24,35
2021년06월_여_10~19세,444,272,30,26,36,51,29
2021년06월_여_20~29세,460,263,42,32,44,36,43
2021년06월_여_30~39세,451,282,51,21,29,33,35
2021년06월_여_40~49세,666,394,58,39,55,60,60
2021년06월_여_50~59세,"1,267",574,161,102,142,129,159
2021년06월_여_60~69세,"1,766",670,260,226,194,189,227
2021년06월_여_70~79세,"1,457",507,235,181,164,155,215
2021년06월_여_80~89세,"1,172",361,186,160,172,134,159
2021년06월_여_90~99세,200,83,29,23,23,20,22
2021년06월_여_100세 이상,14,1,0,3,1,5,4
