,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년07월_계_총인구수,"843,399","185,256","2,307","5,090","3,980","6,934","4,116","5,837","7,030","9,151","11,072","30,033","13,633","53,098","32,975","198,543","10,269","3,419","8,017","14,637","15,055","14,983","27,151","31,609","13,913","13,845","45,645","265,720","23,221","10,909","17,995","17,540","51,721","16,298","51,481","9,846","24,731","28,430","13,548","193,880","19,808","68,973","4,695","12,452","8,842","11,737","48,707","18,666"
2020년07월_계_연령구간인구수,"843,399","185,256","2,307","5,090","3,980","6,934","4,116","5,837","7,030","9,151","11,072","30,033","13,633","53,098","32,975","198,543","10,269","3,419","8,017","14,637","15,055","14,983","27,151","31,609","13,913","13,845","45,645","265,720","23,221","10,909","17,995","17,540","51,721","16,298","51,481","9,846","24,731","28,430","13,548","193,880","19,808","68,973","4,695","12,452","8,842","11,737","48,707","18,666"
2020년07월_계_0~9세,"75,672","15,765",47,114,102,449,113,229,235,453,713,"2,609","1,591","5,475","3,635","14,690",666,98,338,"1,446",726,744,"2,493","2,740",603,734,"4,102","24,538","2,364",705,"2,299",986,"6,183",664,"4,376",534,"1,839","2,102","2,486","20,679","1,605","10,219",102,552,369,727,"4,511","2,594"
2020년07월_계_10~19세,"86,726","19,486",71,225,131,430,203,440,416,710,962,"3,753","1,947","6,436","3,762","21,010",684,133,571,"1,424","1,034","1,057","4,135","4,306","1,017","1,134","5,515","26,818","2,233","1,069","1,279","1,565","6,645","1,149","6,565",603,"2,418","2,395",897,"19,412","1,931","7,342",190,768,584,902,"5,371","2,324"
2020년07월_계_20~29세,"119,621","23,890",179,356,333,772,322,834,974,"1,106","1,397","3,926","1,600","7,428","4,663","28,743","1,170",204,959,"1,780","3,422","2,329","3,706","4,666","2,062","1,796","6,649","41,155","3,042","1,438","2,052","2,641","7,449","3,377","7,581","2,012","4,308","5,255","2,000","25,833","2,382","8,696",373,"2,041","1,135","1,769","7,508","1,929"
2020년07월_계_30~39세,"119,386","22,113",140,281,244,718,261,588,727,894,"1,254","3,306","1,639","7,445","4,616","23,691","1,118",232,805,"2,021","2,031","1,658","3,300","3,618","1,411","1,340","6,157","41,387","3,844","1,169","3,593","1,974","8,679","1,869","6,286","1,632","4,050","4,691","3,600","32,195","2,217","15,694",302,"1,514",894,"1,257","7,116","3,201"
2020년07월_계_40~49세,"136,944","29,783",189,430,381,821,423,776,885,"1,277","1,636","5,381","2,566","9,425","5,593","31,670","1,317",359,"1,077","2,111","1,942","1,935","5,308","5,859","1,856","1,750","8,156","43,496","4,043","1,571","2,529","2,583","10,092","2,111","8,894","1,378","4,027","4,457","1,811","31,995","3,167","12,228",434,"1,614","1,178","1,769","8,073","3,532"
2020년07월_계_50~59세,"137,753","32,238",472,972,895,"1,353",793,"1,008","1,215","1,681","1,932","5,071","2,137","8,897","5,812","34,900","2,225",634,"1,608","2,453","2,246","2,828","4,489","5,626","2,630","2,865","7,296","43,040","3,265","2,096","2,725","3,646","7,232","3,040","9,563","1,594","4,112","4,474","1,293","27,575","3,554","7,113",939,"2,101","1,606","1,996","7,968","2,298"
2020년07월_계_60~69세,"93,792","22,730",583,"1,239",918,"1,245",851,935,"1,280","1,521","1,689","3,343","1,175","4,936","3,015","24,569","1,707",761,"1,392","1,970","1,980","2,488","2,173","2,635","2,309","2,328","4,826","26,699","2,335","1,521","1,926","2,440","3,371","2,363","5,318","1,239","2,443","2,953",790,"19,794","2,521","4,431","1,075","1,912","1,590","1,694","5,031","1,540"
2020년07월_계_70~79세,"46,942","12,155",352,823,573,638,609,644,811,987,"1,017","1,833",652,"1,987","1,229","12,448",818,554,801,914,"1,185","1,295",988,"1,345","1,364","1,214","1,970","12,023","1,324",815,965,"1,093","1,373","1,226","1,928",591,"1,019","1,305",384,"10,316","1,467","2,044",714,"1,226",978,"1,083","2,025",779
2020년07월_계_80~89세,"23,107","6,089",232,538,351,442,464,342,412,445,419,706,285,905,548,"5,956",495,387,404,446,438,569,490,720,583,589,835,"5,743",663,470,554,528,612,439,845,238,444,688,262,"5,319",828,"1,051",490,658,449,484,959,400
2020년07월_계_90~99세,"3,265",951,40,104,51,60,74,37,68,73,52,101,39,157,95,816,66,54,53,66,47,74,66,92,72,93,133,783,102,49,69,79,82,58,120,25,68,108,23,715,126,150,67,61,54,53,137,67
2020년07월_계_100세 이상,191,56,2,8,1,6,3,4,7,4,1,4,2,7,7,50,3,3,9,6,4,6,3,2,6,2,6,38,6,6,4,5,3,2,5,0,3,2,2,47,10,5,9,5,5,3,8,2
2020년07월_남_총인구수,"424,881","92,284","1,203","2,609","2,039","3,518","2,133","2,886","3,599","4,509","5,461","14,658","6,728","26,705","16,236","98,625","5,357","1,767","4,080","7,123","7,464","7,504","13,528","15,460","7,032","6,864","22,446","134,700","11,490","5,573","9,229","8,755","26,280","8,302","25,172","5,235","13,115","14,388","7,161","99,272","10,179","36,594","2,500","6,271","4,475","6,058","24,036","9,159"
2020년07월_남_연령구간인구수,"424,881","92,284","1,203","2,609","2,039","3,518","2,133","2,886","3,599","4,509","5,461","14,658","6,728","26,705","16,236","98,625","5,357","1,767","4,080","7,123","7,464","7,504","13,528","15,460","7,032","6,864","22,446","134,700","11,490","5,573","9,229","8,755","26,280","8,302","25,172","5,235","13,115","14,388","7,161","99,272","10,179","36,594","2,500","6,271","4,475","6,058","24,036","9,159"
2020년07월_남_0~9세,"38,562","8,011",25,56,55,222,56,126,135,244,354,"1,308",811,"2,824","1,795","7,458",326,47,151,727,366,378,"1,236","1,407",320,371,"2,129","12,500","1,195",338,"1,147",517,"3,138",340,"2,265",275,925,"1,086","1,274","10,593",828,"5,226",50,268,182,377,"2,326","1,336"
2020년07월_남_10~19세,"45,156","10,172",41,121,65,214,103,236,215,359,489,"1,932",996,"3,418","1,983","10,966",385,78,298,692,527,531,"2,143","2,281",546,605,"2,880","13,938","1,143",551,705,812,"3,499",601,"3,372",305,"1,232","1,238",480,"10,080","1,012","3,817",98,375,309,463,"2,825","1,181"
2020년07월_남_20~29세,"65,192","12,969",104,207,193,446,195,443,551,624,745,"2,055",864,"4,045","2,497","15,637",689,117,523,949,"1,780","1,301","2,009","2,510","1,164","1,010","3,585","22,252","1,480",782,"1,087","1,405","4,031","1,919","4,079","1,092","2,430","2,781","1,166","14,334","1,414","4,978",231,"1,099",652,"1,006","3,997",957
2020년07월_남_30~39세,"62,357","11,269",77,185,140,396,156,315,419,497,670,"1,648",788,"3,747","2,231","12,160",611,141,436,973,"1,127",915,"1,623","1,765",779,726,"3,064","21,747","1,875",626,"1,922","1,108","4,400","1,091","3,039",952,"2,349","2,501","1,884","17,181","1,166","8,563",201,860,524,731,"3,621","1,515"
2020년07월_남_40~49세,"69,281","14,795",119,262,230,437,265,406,494,656,855,"2,582","1,209","4,585","2,695","15,611",677,224,600,"1,061","1,010","1,042","2,491","2,690",985,905,"3,926","22,060","2,120",841,"1,360","1,294","5,011","1,089","4,144",769,"2,169","2,253","1,010","16,815","1,680","6,609",288,909,659,974,"3,877","1,819"
