,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년06월_계_총인구수,"212,784","16,443","3,428","1,578","4,159","4,246","3,515","4,636","6,511","15,481","4,866","3,394","26,215","7,831","10,377","12,976","4,821","10,132","16,592","17,982","28,590","9,011"
2021년06월_계_연령구간인구수,"212,784","16,443","3,428","1,578","4,159","4,246","3,515","4,636","6,511","15,481","4,866","3,394","26,215","7,831","10,377","12,976","4,821","10,132","16,592","17,982","28,590","9,011"
2021년06월_계_0~9세,"13,131",640,132,28,210,104,106,196,351,"1,359",147,90,"1,765",359,428,559,293,914,"1,385",927,"2,389",749
2021년06월_계_10~19세,"18,606",947,190,37,265,183,148,242,459,"1,545",292,161,"2,981",607,727,"1,133",397,"1,032","1,536","1,517","3,448",759
2021년06월_계_20~29세,"24,931","1,440",280,86,324,407,270,419,506,"1,724",563,335,"3,633",941,"1,250","1,650",556,"1,128","2,468","2,013","3,474","1,464"
2021년06월_계_30~39세,"21,368","1,192",201,84,330,284,213,405,554,"2,004",425,278,"2,626",774,885,"1,281",557,"1,314","2,097","1,591","3,220","1,053"
2021년06월_계_40~49세,"31,971","2,021",377,101,496,428,317,573,939,"2,647",634,398,"4,518","1,036","1,403","1,825",719,"1,648","2,695","2,505","5,177","1,514"
2021년06월_계_50~59세,"36,387","2,966",661,314,685,757,653,847,"1,096","2,507",754,594,"4,484","1,409","1,965","2,439",931,"1,679","2,535","3,112","4,607","1,392"
2021년06월_계_60~69세,"34,914","3,558",779,489,966,959,870,"1,051","1,386","1,999",989,697,"3,335","1,447","2,022","2,353",756,"1,433","2,197","3,032","3,467","1,129"
2021년06월_계_70~79세,"19,573","2,279",437,269,492,665,559,527,766,"1,079",660,567,"1,789",806,"1,122","1,120",365,613,"1,062","2,067","1,724",605
2021년06월_계_80~89세,"10,166","1,187",313,144,309,392,328,317,391,518,323,247,955,384,506,516,217,310,536,"1,057",929,287
2021년06월_계_90~99세,"1,679",206,54,26,79,65,50,58,60,94,76,26,124,66,66,98,30,59,79,154,150,59
2021년06월_계_100세 이상,58,7,4,0,3,2,1,1,3,5,3,1,5,2,3,2,0,2,2,7,5,0
2021년06월_남_총인구수,"105,550","8,044","1,743",844,"2,127","2,261","1,803","2,378","3,251","7,539","2,317","1,752","12,809","3,886","5,126","6,400","2,358","4,892","8,250","9,020","14,135","4,615"
2021년06월_남_연령구간인구수,"105,550","8,044","1,743",844,"2,127","2,261","1,803","2,378","3,251","7,539","2,317","1,752","12,809","3,886","5,126","6,400","2,358","4,892","8,250","9,020","14,135","4,615"
