,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년12월_계_총인구수,"404,343","14,733","14,380","16,582","17,170","17,940","7,546","48,192","31,174","19,016","23,335","30,289","20,666","16,747","9,003","14,014","17,434","22,460","12,911","21,452","15,523","13,776"
2020년12월_계_연령구간인구수,"404,343","14,733","14,380","16,582","17,170","17,940","7,546","48,192","31,174","19,016","23,335","30,289","20,666","16,747","9,003","14,014","17,434","22,460","12,911","21,452","15,523","13,776"
2020년12월_계_0~9세,"27,193","1,117","1,069","1,019",630,"1,329",288,"4,193","2,173","1,148","1,658","2,805","1,299",891,454,605,825,"2,053",587,"1,294","1,035",721
2020년12월_계_10~19세,"31,658",936,850,"1,329",949,"1,323",371,"4,856","3,473","1,777","1,577","2,339",911,"1,090",692,870,"1,150","1,796",958,"1,919","1,323","1,169"
2020년12월_계_20~29세,"57,331","1,942","2,108","2,136","3,942","2,668",853,"7,030","4,106","2,420","3,308","3,726","4,276","2,125","1,215","1,706","2,494","2,861","1,550","2,912","2,076","1,877"
2020년12월_계_30~39세,"55,697","2,229","2,396","2,171","1,783","2,836",856,"6,517","3,225","2,188","3,573","5,285","4,357","2,075","1,004","1,540","2,399","3,504","1,365","2,517","1,972","1,905"
2020년12월_계_40~49세,"63,407","2,177","2,065","2,517","2,093","2,582","1,006","8,419","5,492","2,969","3,589","4,831","3,136","2,346","1,375","1,907","2,620","3,888","1,949","3,357","2,291","2,798"
2020년12월_계_50~59세,"67,187","2,432","2,324","2,751","2,599","2,771","1,290","7,845","5,562","3,377","3,789","4,548","3,093","2,893","1,544","2,382","3,098","3,350","2,325","3,931","2,767","2,516"
2020년12월_계_60~69세,"55,629","2,059","1,893","2,402","2,560","2,347","1,419","5,342","4,070","2,720","3,134","3,897","2,191","2,829","1,412","2,560","2,635","2,822","2,233","3,126","2,370","1,608"
2020년12월_계_70~79세,"31,257","1,217","1,052","1,519","1,801","1,460",949,"2,701","2,134","1,600","1,833","1,959",947,"1,675",915,"1,677","1,461","1,442","1,300","1,660","1,147",808
2020년12월_계_80~89세,"12,826",542,511,639,684,518,433,"1,128",814,696,743,781,391,703,339,661,645,638,544,651,451,314
2020년12월_계_90~99세,"1,981",78,96,94,115,93,68,157,118,109,122,107,62,108,47,95,100,98,91,81,85,57
2020년12월_계_100세 이상,177,4,16,5,14,13,13,4,7,12,9,11,3,12,6,11,7,8,9,4,6,3
2020년12월_남_총인구수,"203,638","7,489","7,200","8,324","9,226","9,054","3,952","23,958","15,512","9,341","11,605","15,394","10,794","8,484","4,557","7,011","8,730","11,189","6,295","10,495","7,621","7,407"
2020년12월_남_연령구간인구수,"203,638","7,489","7,200","8,324","9,226","9,054","3,952","23,958","15,512","9,341","11,605","15,394","10,794","8,484","4,557","7,011","8,730","11,189","6,295","10,495","7,621","7,407"
2020년12월_남_0~9세,"13,912",574,554,517,325,705,143,"2,166","1,076",564,860,"1,393",689,440,243,309,411,"1,058",293,661,569,362
2020년12월_남_10~19세,"16,284",484,432,722,484,727,184,"2,498","1,838",897,761,"1,201",458,582,353,422,575,925,518,960,662,601
2020년12월_남_20~29세,"30,262","1,040","1,038","1,118","2,488","1,332",518,"3,586","2,191","1,322","1,680","1,933","2,111","1,169",663,930,"1,287","1,428",829,"1,547","1,064",988
2020년12월_남_30~39세,"29,925","1,222","1,299","1,167","1,040","1,539",503,"3,298","1,637","1,142","1,875","2,855","2,457","1,120",560,862,"1,356","1,839",734,"1,334",990,"1,096"
2020년12월_남_40~49세,"33,593","1,215","1,135","1,306","1,215","1,351",601,"4,288","2,695","1,479","1,929","2,630","1,787","1,289",732,"1,040","1,424","2,061","1,008","1,681","1,151","1,576"
2020년12월_남_50~59세,"33,718","1,236","1,157","1,396","1,347","1,400",706,"3,894","2,799","1,665","1,884","2,254","1,580","1,485",787,"1,226","1,534","1,663","1,097","1,856","1,291","1,461"
2020년12월_남_60~69세,"26,658",990,938,"1,146","1,209","1,106",679,"2,574","1,980","1,283","1,479","1,939","1,100","1,336",695,"1,176","1,258","1,285","1,036","1,464","1,150",835
2020년12월_남_70~79세,"14,151",525,458,710,813,688,426,"1,227",970,726,822,879,449,787,393,764,648,662,547,733,562,362
2020년12월_남_80~89세,"4,625",180,175,211,274,181,165,395,296,236,279,286,150,249,110,260,211,248,205,235,160,119
2020년12월_남_90~99세,463,23,11,31,28,21,24,31,26,22,35,20,11,25,19,19,24,17,25,24,21,6
2020년12월_남_100세 이상,47,0,3,0,3,4,3,1,4,5,1,4,2,2,2,3,2,3,3,0,1,1
2020년12월_여_총인구수,"200,705","7,244","7,180","8,258","7,944","8,886","3,594","24,234","15,662","9,675","11,730","14,895","9,872","8,263","4,446","7,003","8,704","11,271","6,616","10,957","7,902","6,369"
2020년12월_여_연령구간인구수,"200,705","7,244","7,180","8,258","7,944","8,886","3,594","24,234","15,662","9,675","11,730","14,895","9,872","8,263","4,446","7,003","8,704","11,271","6,616","10,957","7,902","6,369"
2020년12월_여_0~9세,"13,281",543,515,502,305,624,145,"2,027","1,097",584,798,"1,412",610,451,211,296,414,995,294,633,466,359
2020년12월_여_10~19세,"15,374",452,418,607,465,596,187,"2,358","1,635",880,816,"1,138",453,508,339,448,575,871,440,959,661,568
2020년12월_여_20~29세,"27,069",902,"1,070","1,018","1,454","1,336",335,"3,444","1,915","1,098","1,628","1,793","2,165",956,552,776,"1,207","1,433",721,"1,365","1,012",889
2020년12월_여_30~39세,"25,772","1,007","1,097","1,004",743,"1,297",353,"3,219","1,588","1,046","1,698","2,430","1,900",955,444,678,"1,043","1,665",631,"1,183",982,809
2020년12월_여_40~49세,"29,814",962,930,"1,211",878,"1,231",405,"4,131","2,797","1,490","1,660","2,201","1,349","1,057",643,867,"1,196","1,827",941,"1,676","1,140","1,222"
2020년12월_여_50~59세,"33,469","1,196","1,167","1,355","1,252","1,371",584,"3,951","2,763","1,712","1,905","2,294","1,513","1,408",757,"1,156","1,564","1,687","1,228","2,075","1,476","1,055"
