카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년10월_계_총인구수,"386,246","32,045","11,359","44,275","28,551","24,608","28,657","31,592","22,884","27,798","24,503","14,184","14,494","38,210","23,234","19,852"
2021년10월_계_연령구간인구수,"386,246","32,045","11,359","44,275","28,551","24,608","28,657","31,592","22,884","27,798","24,503","14,184","14,494","38,210","23,234","19,852"
2021년10월_계_0~9세,"23,226","1,856",266,"2,620","2,490","1,112","1,536","2,250",757,"1,838","2,035",695,991,"2,070","1,419","1,291"
2021년10월_계_10~19세,"27,055","1,929",452,"3,129","1,954","1,589","1,841","2,149",878,"1,728","1,603",715,971,"4,054","2,388","1,675"
2021년10월_계_20~29세,"65,208","5,552","2,262","9,634","4,271","4,128","4,555","4,915","5,227","3,656","3,224","2,513","2,129","6,309","3,345","3,488"
2021년10월_계_30~39세,"61,008","5,509","1,905","6,018","4,834","4,058","4,674","4,315","4,638","4,459","3,965","2,429","2,606","5,274","3,068","3,256"
2021년10월_계_40~49세,"57,327","4,252","1,322","6,392","4,541","3,500","4,258","4,735","2,941","4,097","3,783","1,989","2,237","6,371","3,807","3,102"
2021년10월_계_50~59세,"57,961","4,683","1,737","6,324","4,198","3,873","4,423","5,177","2,977","4,363","3,554","2,024","2,206","5,960","3,733","2,729"
2021년10월_계_60~69세,"50,439","4,351","1,807","5,465","3,368","3,321","3,986","4,150","3,047","4,088","3,461","2,060","1,847","4,312","2,990","2,186"
2021년10월_계_70~79세,"29,617","2,496","1,042","3,079","1,875","2,064","2,300","2,513","1,775","2,488","2,091","1,220","1,017","2,536","1,670","1,451"
2021년10월_계_80~89세,"12,492","1,243",480,"1,378",867,861,955,"1,199",564,944,699,463,418,"1,124",702,595
2021년10월_계_90~99세,"1,777",167,75,210,140,95,124,180,76,131,83,69,68,178,103,78
2021년10월_계_100세 이상,136,7,11,26,13,7,5,9,4,6,5,7,4,22,9,1
2021년10월_남_총인구수,"186,863","16,125","5,854","21,450","13,756","11,736","13,913","15,381","10,897","13,348","11,896","6,778","6,977","18,154","11,142","9,456"
2021년10월_남_연령구간인구수,"186,863","16,125","5,854","21,450","13,756","11,736","13,913","15,381","10,897","13,348","11,896","6,778","6,977","18,154","11,142","9,456"
2021년10월_남_0~9세,"11,895",954,142,"1,329","1,286",557,804,"1,144",400,929,"1,019",375,516,"1,052",735,653
2021년10월_남_10~19세,"13,878","1,007",225,"1,595",995,823,982,"1,110",471,975,868,377,482,"1,978","1,127",863
2021년10월_남_20~29세,"31,477","2,936","1,164","4,891","2,022","1,900","2,197","2,564","2,252","1,735","1,532","1,144","1,016","2,958","1,603","1,563"
2021년10월_남_30~39세,"30,837","3,039","1,106","3,014","2,322","2,090","2,390","2,120","2,442","2,191","1,884","1,243","1,306","2,604","1,521","1,565"
2021년10월_남_40~49세,"28,793","2,256",749,"3,132","2,313","1,739","2,179","2,440","1,490","2,005","1,953","1,035","1,127","3,038","1,795","1,542"
2021년10월_남_50~59세,"27,927","2,289",889,"2,977","2,001","1,841","2,115","2,469","1,405","2,102","1,680",926,"1,040","2,987","1,882","1,324"
2021년10월_남_60~69세,"23,320","2,017",885,"2,541","1,577","1,513","1,855","1,945","1,342","1,847","1,633",930,852,"1,957","1,411","1,015"
2021년10월_남_70~79세,"13,158","1,100",459,"1,374",844,904,995,"1,091",809,"1,124",981,534,459,"1,085",754,645
2021년10월_남_80~89세,"5,079",477,213,536,356,348,356,451,270,407,321,196,163,432,288,265
2021년10월_남_90~99세,464,47,18,56,37,19,38,45,15,32,22,18,15,57,24,21
2021년10월_남_100세 이상,35,3,4,5,3,2,2,2,1,1,3,0,1,6,2,0
2021년10월_여_총인구수,"199,383","15,920","5,505","22,825","14,795","12,872","14,744","16,211","11,987","14,450","12,607","7,406","7,517","20,056","12,092","10,396"
2021년10월_여_연령구간인구수,"199,383","15,920","5,505","22,825","14,795","12,872","14,744","16,211","11,987","14,450","12,607","7,406","7,517","20,056","12,092","10,396"
2021년10월_여_0~9세,"11,331",902,124,"1,291","1,204",555,732,"1,106",357,909,"1,016",320,475,"1,018",684,638
2021년10월_여_10~19세,"13,177",922,227,"1,534",959,766,859,"1,039",407,753,735,338,489,"2,076","1,261",812
2021년10월_여_20~29세,"33,731","2,616","1,098","4,743","2,249","2,228","2,358","2,351","2,975","1,921","1,692","1,369","1,113","3,351","1,742","1,925"
2021년10월_여_30~39세,"30,171","2,470",799,"3,004","2,512","1,968","2,284","2,195","2,196","2,268","2,081","1,186","1,300","2,670","1,547","1,691"
2021년10월_여_40~49세,"28,534","1,996",573,"3,260","2,228","1,761","2,079","2,295","1,451","2,092","1,830",954,"1,110","3,333","2,012","1,560"
2021년10월_여_50~59세,"30,034","2,394",848,"3,347","2,197","2,032","2,308","2,708","1,572","2,261","1,874","1,098","1,166","2,973","1,851","1,405"
2021년10월_여_60~69세,"27,119","2,334",922,"2,924","1,791","1,808","2,131","2,205","1,705","2,241","1,828","1,130",995,"2,355","1,579","1,171"
2021년10월_여_70~79세,"16,459","1,396",583,"1,705","1,031","1,160","1,305","1,422",966,"1,364","1,110",686,558,"1,451",916,806
2021년10월_여_80~89세,"7,413",766,267,842,511,513,599,748,294,537,378,267,255,692,414,330
2021년10월_여_90~99세,"1,313",120,57,154,103,76,86,135,61,99,61,51,53,121,79,57
2021년10월_여_100세 이상,101,4,7,21,10,5,3,7,3,5,2,7,3,16,7,1
