,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년07월_계_총인구수,"64,600","18,744","19,717","2,418","6,219","2,909","3,511","5,465","1,967","2,736",914
2020년07월_계_연령구간인구수,"64,600","18,744","19,717","2,418","6,219","2,909","3,511","5,465","1,967","2,736",914
2020년07월_계_0~9세,"4,312","1,353","2,038",63,306,67,71,310,23,67,14
2020년07월_계_10~19세,"5,991","2,005","2,644",118,303,94,134,468,71,126,28
2020년07월_계_20~29세,"5,556","2,058","1,600",163,474,183,246,444,118,218,52
2020년07월_계_30~39세,"5,898","1,948","2,173",154,553,148,154,446,94,178,50
2020년07월_계_40~49세,"9,508","2,921","3,869",220,601,287,309,821,162,255,63
2020년07월_계_50~59세,"11,376","3,391","3,134",421,"1,080",569,616,"1,051",366,563,185
2020년07월_계_60~69세,"10,718","2,655","2,394",547,"1,252",708,801,912,497,689,263
2020년07월_계_70~79세,"6,706","1,454","1,227",414,905,487,686,638,378,364,153
2020년07월_계_80~89세,"3,990",837,546,285,655,326,432,332,238,247,92
2020년07월_계_90~99세,534,117,88,33,88,40,62,43,20,29,14
2020년07월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년07월_남_총인구수,"32,748","9,444","9,988","1,199","3,208","1,473","1,742","2,814","1,018","1,393",469
2020년07월_남_연령구간인구수,"32,748","9,444","9,988","1,199","3,208","1,473","1,742","2,814","1,018","1,393",469
2020년07월_남_0~9세,"2,160",697,"1,001",29,148,32,40,162,9,32,10
2020년07월_남_10~19세,"3,197","1,098","1,394",65,168,53,69,220,40,73,17
2020년07월_남_20~29세,"3,219","1,198",881,92,293,111,145,256,77,136,30
2020년07월_남_30~39세,"3,003",981,"1,010",84,323,91,90,237,57,98,32
2020년07월_남_40~49세,"5,169","1,498","2,000",129,386,190,197,464,110,152,43
2020년07월_남_50~59세,"6,242","1,783","1,712",229,628,328,361,599,219,286,97
2020년07월_남_60~69세,"5,537","1,313","1,221",297,666,367,404,489,260,378,142
2020년07월_남_70~79세,"2,904",597,583,181,375,196,287,283,161,171,70
2020년07월_남_80~89세,"1,202",249,163,88,197,96,136,100,82,64,27
2020년07월_남_90~99세,112,30,22,5,22,9,13,4,3,3,1
2020년07월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년07월_여_총인구수,"31,852","9,300","9,729","1,219","3,011","1,436","1,769","2,651",949,"1,343",445
2020년07월_여_연령구간인구수,"31,852","9,300","9,729","1,219","3,011","1,436","1,769","2,651",949,"1,343",445
2020년07월_여_0~9세,"2,152",656,"1,037",34,158,35,31,148,14,35,4
2020년07월_여_10~19세,"2,794",907,"1,250",53,135,41,65,248,31,53,11
2020년07월_여_20~29세,"2,337",860,719,71,181,72,101,188,41,82,22
2020년07월_여_30~39세,"2,895",967,"1,163",70,230,57,64,209,37,80,18
2020년07월_여_40~49세,"4,339","1,423","1,869",91,215,97,112,357,52,103,20
2020년07월_여_50~59세,"5,134","1,608","1,422",192,452,241,255,452,147,277,88
2020년07월_여_60~69세,"5,181","1,342","1,173",250,586,341,397,423,237,311,121
2020년07월_여_70~79세,"3,802",857,644,233,530,291,399,355,217,193,83
2020년07월_여_80~89세,"2,788",588,383,197,458,230,296,232,156,183,65
2020년07월_여_90~99세,422,87,66,28,66,31,49,39,17,26,13
2020년07월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
