카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년11월_계_총인구수,"40,556","2,865","2,684","6,264","10,555","4,526",974,921,"4,706","7,061"
2021년11월_계_연령구간인구수,"40,556","2,865","2,684","6,264","10,555","4,526",974,921,"4,706","7,061"
2021년11월_계_0~9세,"1,139",30,70,182,332,94,20,10,161,240
2021년11월_계_10~19세,"1,873",62,90,353,528,186,37,30,190,397
2021년11월_계_20~29세,"5,830",815,290,923,"1,524",550,94,54,845,735
2021년11월_계_30~39세,"4,471",592,234,641,"1,119",460,93,70,654,608
2021년11월_계_40~49세,"5,128",339,313,846,"1,372",548,99,94,633,884
2021년11월_계_50~59세,"6,766",366,477,"1,022","1,794",770,175,195,696,"1,271"
2021년11월_계_60~69세,"7,897",371,560,"1,180","2,034","1,014",244,270,779,"1,445"
2021년11월_계_70~79세,"4,969",188,428,752,"1,216",612,130,143,504,996
2021년11월_계_80~89세,"2,151",85,189,297,566,253,66,46,213,436
2021년11월_계_90~99세,321,17,33,66,68,36,13,8,31,49
2021년11월_계_100세 이상,11,0,0,2,2,3,3,1,0,0
2021년11월_남_총인구수,"19,777","1,376","1,363","2,934","5,110","2,140",497,532,"2,405","3,420"
2021년11월_남_연령구간인구수,"19,777","1,376","1,363","2,934","5,110","2,140",497,532,"2,405","3,420"
2021년11월_남_0~9세,596,15,33,96,166,53,12,7,87,127
2021년11월_남_10~19세,939,36,42,161,271,102,17,15,95,200
2021년11월_남_20~29세,"2,838",318,159,443,760,260,53,33,417,395
2021년11월_남_30~39세,"2,426",287,132,341,587,258,51,44,389,337
2021년11월_남_40~49세,"2,808",193,178,443,747,296,50,57,372,472
2021년11월_남_50~59세,"3,429",197,247,485,898,375,93,133,364,637
2021년11월_남_60~69세,"3,759",197,283,560,944,443,130,157,382,663
2021년11월_남_70~79세,"2,133",92,204,290,514,268,60,70,222,413
2021년11월_남_80~89세,769,39,77,103,204,80,25,12,67,162
2021년11월_남_90~99세,79,2,8,12,19,5,5,4,10,14
2021년11월_남_100세 이상,1,0,0,0,0,0,1,0,0,0
2021년11월_여_총인구수,"20,779","1,489","1,321","3,330","5,445","2,386",477,389,"2,301","3,641"
2021년11월_여_연령구간인구수,"20,779","1,489","1,321","3,330","5,445","2,386",477,389,"2,301","3,641"
2021년11월_여_0~9세,543,15,37,86,166,41,8,3,74,113
2021년11월_여_10~19세,934,26,48,192,257,84,20,15,95,197
2021년11월_여_20~29세,"2,992",497,131,480,764,290,41,21,428,340
2021년11월_여_30~39세,"2,045",305,102,300,532,202,42,26,265,271
2021년11월_여_40~49세,"2,320",146,135,403,625,252,49,37,261,412
2021년11월_여_50~59세,"3,337",169,230,537,896,395,82,62,332,634
2021년11월_여_60~69세,"4,138",174,277,620,"1,090",571,114,113,397,782
2021년11월_여_70~79세,"2,836",96,224,462,702,344,70,73,282,583
2021년11월_여_80~89세,"1,382",46,112,194,362,173,41,34,146,274
2021년11월_여_90~99세,242,15,25,54,49,31,8,4,21,35
2021년11월_여_100세 이상,10,0,0,2,2,3,2,1,0,0
