카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년04월_계_총인구수,"99,137","6,102","1,665","2,180","1,635","1,117","3,498","2,605","3,909","5,148","2,433","1,705","2,206","5,255","14,223","6,867","16,476","15,740","6,373"
2021년04월_계_연령구간인구수,"99,137","6,102","1,665","2,180","1,635","1,117","3,498","2,605","3,909","5,148","2,433","1,705","2,206","5,255","14,223","6,867","16,476","15,740","6,373"
2021년04월_계_0~9세,"5,922",132,36,42,59,29,111,57,121,136,42,48,71,188,"1,024",472,"1,590","1,534",230
2021년04월_계_10~19세,"8,148",297,104,114,101,62,173,104,208,250,90,58,106,323,"1,431",652,"1,925","1,779",371
2021년04월_계_20~29세,"9,330",387,195,141,127,63,219,141,262,362,109,85,162,464,"1,647",725,"1,997","1,752",492
2021년04월_계_30~39세,"9,161",337,82,122,118,61,208,138,201,285,98,72,133,382,"1,545",743,"2,176","1,920",540
2021년04월_계_40~49세,"13,703",562,163,249,211,99,328,198,374,468,189,134,268,674,"2,233","1,093","2,989","2,718",753
2021년04월_계_50~59세,"16,791","1,089",274,385,318,219,587,426,670,930,357,256,402,923,"2,391","1,150","2,579","2,592","1,243"
2021년04월_계_60~69세,"17,505","1,533",395,511,371,258,815,595,901,"1,210",580,434,519,"1,098","2,096","1,003","1,851","1,904","1,431"
2021년04월_계_70~79세,"11,229","1,040",262,355,188,183,584,514,675,847,512,353,364,711,"1,249",648,890,"1,010",844
2021년04월_계_80~89세,"6,347",609,130,221,123,126,418,372,432,546,379,223,165,427,540,347,426,458,405
2021년04월_계_90~99세,957,116,24,39,18,17,54,60,59,104,75,42,15,64,65,33,50,63,59
2021년04월_계_100세 이상,44,0,0,1,1,0,1,0,6,10,2,0,1,1,2,1,3,10,5
2021년04월_남_총인구수,"50,271","3,096",877,"1,152",876,602,"1,816","1,304","1,977","2,606","1,196",881,"1,090","2,771","7,186","3,433","8,273","7,829","3,306"
2021년04월_남_연령구간인구수,"50,271","3,096",877,"1,152",876,602,"1,816","1,304","1,977","2,606","1,196",881,"1,090","2,771","7,186","3,433","8,273","7,829","3,306"
2021년04월_남_0~9세,"2,983",73,15,15,29,13,54,36,66,78,30,23,40,95,527,233,796,758,102
2021년04월_남_10~19세,"4,239",147,54,60,55,35,96,63,111,120,45,37,59,173,728,329,997,936,194
2021년04월_남_20~29세,"5,484",260,144,82,83,40,133,84,159,217,66,58,89,298,962,398,"1,118",986,307
2021년04월_남_30~39세,"4,967",200,40,78,66,41,134,89,115,171,56,37,72,232,836,405,"1,095",969,331
2021년04월_남_40~49세,"7,501",330,100,164,132,66,202,118,229,270,120,100,163,412,"1,139",570,"1,552","1,358",476
2021년04월_남_50~59세,"8,974",601,156,230,189,141,329,249,366,514,195,146,224,515,"1,224",599,"1,296","1,330",670
2021년04월_남_60~69세,"8,582",768,212,253,186,134,419,294,461,623,291,233,232,539,998,475,879,892,693
2021년04월_남_70~79세,"5,061",474,114,176,92,84,295,237,302,395,224,157,157,341,554,276,389,437,357
2021년04월_남_80~89세,"2,264",215,37,86,40,45,147,119,158,195,149,81,51,151,202,141,140,146,161
2021년04월_남_90~99세,209,28,5,8,4,3,7,15,10,21,19,9,3,15,16,7,10,14,15
2021년04월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년04월_여_총인구수,"48,866","3,006",788,"1,028",759,515,"1,682","1,301","1,932","2,542","1,237",824,"1,116","2,484","7,037","3,434","8,203","7,911","3,067"
2021년04월_여_연령구간인구수,"48,866","3,006",788,"1,028",759,515,"1,682","1,301","1,932","2,542","1,237",824,"1,116","2,484","7,037","3,434","8,203","7,911","3,067"
2021년04월_여_0~9세,"2,939",59,21,27,30,16,57,21,55,58,12,25,31,93,497,239,794,776,128
2021년04월_여_10~19세,"3,909",150,50,54,46,27,77,41,97,130,45,21,47,150,703,323,928,843,177
2021년04월_여_20~29세,"3,846",127,51,59,44,23,86,57,103,145,43,27,73,166,685,327,879,766,185
2021년04월_여_30~39세,"4,194",137,42,44,52,20,74,49,86,114,42,35,61,150,709,338,"1,081",951,209
2021년04월_여_40~49세,"6,202",232,63,85,79,33,126,80,145,198,69,34,105,262,"1,094",523,"1,437","1,360",277
2021년04월_여_50~59세,"7,817",488,118,155,129,78,258,177,304,416,162,110,178,408,"1,167",551,"1,283","1,262",573
2021년04월_여_60~69세,"8,923",765,183,258,185,124,396,301,440,587,289,201,287,559,"1,098",528,972,"1,012",738
2021년04월_여_70~79세,"6,168",566,148,179,96,99,289,277,373,452,288,196,207,370,695,372,501,573,487
2021년04월_여_80~89세,"4,083",394,93,135,83,81,271,253,274,351,230,142,114,276,338,206,286,312,244
2021년04월_여_90~99세,748,88,19,31,14,14,47,45,49,83,56,33,12,49,49,26,40,49,44
2021년04월_여_100세 이상,37,0,0,1,1,0,1,0,6,8,1,0,1,1,2,1,2,7,5
