카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년02월_계_총인구수,"99,673","6,167","1,656","2,183","1,638","1,111","3,512","2,636","3,935","5,127","2,442","1,720","2,272","5,296","14,329","6,886","16,568","15,781","6,414"
2021년02월_계_연령구간인구수,"99,673","6,167","1,656","2,183","1,638","1,111","3,512","2,636","3,935","5,127","2,442","1,720","2,272","5,296","14,329","6,886","16,568","15,781","6,414"
2021년02월_계_0~9세,"5,996",133,38,42,54,28,111,64,121,139,44,49,73,187,"1,050",474,"1,613","1,550",226
2021년02월_계_10~19세,"8,215",302,105,116,103,62,186,102,212,248,86,58,113,322,"1,450",654,"1,931","1,785",380
2021년02월_계_20~29세,"9,408",398,188,137,126,62,218,146,266,370,107,87,161,474,"1,671",718,"2,022","1,747",510
2021년02월_계_30~39세,"9,232",342,79,121,123,64,206,136,203,277,97,80,145,388,"1,544",737,"2,201","1,945",544
2021년02월_계_40~49세,"13,883",582,166,257,214,96,337,207,384,467,193,135,268,690,"2,253","1,111","3,022","2,741",760
2021년02월_계_50~59세,"17,008","1,110",278,388,323,220,598,428,682,936,372,257,429,952,"2,422","1,160","2,584","2,612","1,257"
2021년02월_계_60~69세,"17,304","1,524",390,508,368,255,808,598,893,"1,188",569,430,523,"1,088","2,068",999,"1,822","1,868","1,405"
2021년02월_계_70~79세,"11,286","1,055",259,353,184,182,581,519,674,856,520,358,370,712,"1,250",651,902,998,862
2021년02월_계_80~89세,"6,317",605,128,220,126,124,413,378,432,531,378,225,168,416,545,345,420,458,405
2021년02월_계_90~99세,958,113,25,40,16,18,53,56,61,106,74,41,18,65,69,33,45,65,60
2021년02월_계_100세 이상,66,3,0,1,1,0,1,2,7,9,2,0,4,2,7,4,6,12,5
2021년02월_남_총인구수,"50,499","3,135",862,"1,159",881,594,"1,826","1,312","1,996","2,589","1,196",891,"1,124","2,790","7,226","3,425","8,326","7,834","3,333"
2021년02월_남_연령구간인구수,"50,499","3,135",862,"1,159",881,594,"1,826","1,312","1,996","2,589","1,196",891,"1,124","2,790","7,226","3,425","8,326","7,834","3,333"
2021년02월_남_0~9세,"3,018",72,15,15,25,13,51,39,66,82,33,25,41,93,538,237,802,768,103
2021년02월_남_10~19세,"4,267",152,54,57,55,35,105,63,112,117,44,36,63,173,739,324,"1,002",939,197
2021년02월_남_20~29세,"5,526",263,136,82,85,38,132,83,160,223,64,59,91,302,974,398,"1,146",968,322
2021년02월_남_30~39세,"5,014",207,40,78,68,42,131,86,118,165,57,43,78,238,832,399,"1,110",984,338
2021년02월_남_40~49세,"7,592",342,97,172,138,64,207,124,236,267,121,102,162,418,"1,159",573,"1,561","1,372",477
2021년02월_남_50~59세,"9,058",610,161,232,190,137,342,246,371,519,197,143,239,531,"1,223",602,"1,302","1,336",677
2021년02월_남_60~69세,"8,493",765,207,255,187,135,414,299,458,611,288,234,232,532,984,470,865,875,682
2021년02월_남_70~79세,"5,056",480,111,173,89,84,291,236,303,394,226,157,161,344,552,278,388,426,363
2021년02월_남_80~89세,"2,253",214,36,86,40,42,147,121,160,187,147,85,52,145,205,135,140,150,161
2021년02월_남_90~99세,209,28,5,9,4,4,6,15,11,22,18,7,5,14,19,8,9,12,13
2021년02월_남_100세 이상,13,2,0,0,0,0,0,0,1,2,1,0,0,0,1,1,1,4,0
2021년02월_여_총인구수,"49,174","3,032",794,"1,024",757,517,"1,686","1,324","1,939","2,538","1,246",829,"1,148","2,506","7,103","3,461","8,242","7,947","3,081"
2021년02월_여_연령구간인구수,"49,174","3,032",794,"1,024",757,517,"1,686","1,324","1,939","2,538","1,246",829,"1,148","2,506","7,103","3,461","8,242","7,947","3,081"
2021년02월_여_0~9세,"2,978",61,23,27,29,15,60,25,55,57,11,24,32,94,512,237,811,782,123
2021년02월_여_10~19세,"3,948",150,51,59,48,27,81,39,100,131,42,22,50,149,711,330,929,846,183
2021년02월_여_20~29세,"3,882",135,52,55,41,24,86,63,106,147,43,28,70,172,697,320,876,779,188
2021년02월_여_30~39세,"4,218",135,39,43,55,22,75,50,85,112,40,37,67,150,712,338,"1,091",961,206
2021년02월_여_40~49세,"6,291",240,69,85,76,32,130,83,148,200,72,33,106,272,"1,094",538,"1,461","1,369",283
2021년02월_여_50~59세,"7,950",500,117,156,133,83,256,182,311,417,175,114,190,421,"1,199",558,"1,282","1,276",580
2021년02월_여_60~69세,"8,811",759,183,253,181,120,394,299,435,577,281,196,291,556,"1,084",529,957,993,723
2021년02월_여_70~79세,"6,230",575,148,180,95,98,290,283,371,462,294,201,209,368,698,373,514,572,499
2021년02월_여_80~89세,"4,064",391,92,134,86,82,266,257,272,344,231,140,116,271,340,210,280,308,244
2021년02월_여_90~99세,749,85,20,31,12,14,47,41,50,84,56,34,13,51,50,25,36,53,47
2021년02월_여_100세 이상,53,1,0,1,1,0,1,2,6,7,1,0,4,2,6,3,5,8,5
