카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년06월_계_총인구수,"74,727","8,285","6,644","4,967","4,460","4,931","8,011","4,975","4,286","6,896","11,712","7,473","2,087"
2021년06월_계_연령구간인구수,"74,727","8,285","6,644","4,967","4,460","4,931","8,011","4,975","4,286","6,896","11,712","7,473","2,087"
2021년06월_계_0~9세,"4,869",297,412,152,123,585,862,249,257,538,836,491,67
2021년06월_계_10~19세,"4,965",472,380,215,181,215,546,292,264,547,"1,075",645,133
2021년06월_계_20~29세,"11,540","1,433","1,840","1,475",782,544,812,865,614,704,"1,273",970,228
2021년06월_계_30~39세,"10,476","1,138","1,235",758,552,985,"1,297",625,641,886,"1,315",861,183
2021년06월_계_40~49세,"10,507","1,062",896,539,478,711,"1,187",662,601,"1,128","1,827","1,104",312
2021년06월_계_50~59세,"11,037","1,269",704,600,720,668,"1,203",772,653,"1,049","1,810","1,242",347
2021년06월_계_60~69세,"10,201","1,221",620,589,772,652,"1,100",714,543,961,"1,726",950,353
2021년06월_계_70~79세,"7,148",898,348,403,559,382,659,520,442,713,"1,178",724,322
2021년06월_계_80~89세,"3,438",422,182,191,235,169,291,256,219,329,589,428,127
2021년06월_계_90~99세,474,66,26,43,44,19,42,19,37,37,72,54,15
2021년06월_계_100세 이상,72,7,1,2,14,1,12,1,15,4,11,4,0
2021년06월_남_총인구수,"35,922","4,103","3,161","2,389","2,273","2,485","3,904","2,381","2,029","3,178","5,489","3,500","1,030"
2021년06월_남_연령구간인구수,"35,922","4,103","3,161","2,389","2,273","2,485","3,904","2,381","2,029","3,178","5,489","3,500","1,030"
2021년06월_남_0~9세,"2,498",132,211,78,61,287,426,132,124,304,450,258,35
2021년06월_남_10~19세,"2,558",237,185,113,92,112,308,141,133,273,577,309,78
2021년06월_남_20~29세,"5,516",691,817,633,371,286,424,409,289,331,656,480,129
2021년06월_남_30~39세,"5,432",626,658,426,356,492,632,325,309,436,648,421,103
2021년06월_남_40~49세,"5,317",582,469,275,257,386,619,339,299,539,884,522,146
2021년06월_남_50~59세,"5,477",678,339,324,393,330,571,396,336,500,832,598,180
2021년06월_남_60~69세,"4,722",600,259,300,387,340,525,332,252,407,731,425,164
2021년06월_남_70~79세,"3,020",381,147,163,251,190,272,222,195,272,493,291,143
2021년06월_남_80~89세,"1,255",160,69,66,92,59,116,80,83,107,201,175,47
2021년06월_남_90~99세,113,15,7,10,10,3,9,4,6,9,15,20,5
2021년06월_남_100세 이상,14,1,0,1,3,0,2,1,3,0,2,1,0
2021년06월_여_총인구수,"38,805","4,182","3,483","2,578","2,187","2,446","4,107","2,594","2,257","3,718","6,223","3,973","1,057"
2021년06월_여_연령구간인구수,"38,805","4,182","3,483","2,578","2,187","2,446","4,107","2,594","2,257","3,718","6,223","3,973","1,057"
2021년06월_여_0~9세,"2,371",165,201,74,62,298,436,117,133,234,386,233,32
2021년06월_여_10~19세,"2,407",235,195,102,89,103,238,151,131,274,498,336,55
2021년06월_여_20~29세,"6,024",742,"1,023",842,411,258,388,456,325,373,617,490,99
2021년06월_여_30~39세,"5,044",512,577,332,196,493,665,300,332,450,667,440,80
2021년06월_여_40~49세,"5,190",480,427,264,221,325,568,323,302,589,943,582,166
2021년06월_여_50~59세,"5,560",591,365,276,327,338,632,376,317,549,978,644,167
2021년06월_여_60~69세,"5,479",621,361,289,385,312,575,382,291,554,995,525,189
2021년06월_여_70~79세,"4,128",517,201,240,308,192,387,298,247,441,685,433,179
2021년06월_여_80~89세,"2,183",262,113,125,143,110,175,176,136,222,388,253,80
2021년06월_여_90~99세,361,51,19,33,34,16,33,15,31,28,57,34,10
2021년06월_여_100세 이상,58,6,1,1,11,1,10,0,12,4,9,3,0
