카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년05월_계_총인구수,"98,435","6,689","1,441","3,882","3,097","1,003","2,719","4,027","1,700","1,983","2,602","1,756",749,"2,048","2,824","1,251",341,"2,838","1,172",382,"2,170","2,084",848,"12,550","9,353","7,845","8,169","3,746","9,166"
2020년05월_계_연령구간인구수,"98,435","6,689","1,441","3,882","3,097","1,003","2,719","4,027","1,700","1,983","2,602","1,756",749,"2,048","2,824","1,251",341,"2,838","1,172",382,"2,170","2,084",848,"12,550","9,353","7,845","8,169","3,746","9,166"
2020년05월_계_0~9세,"5,363",303,44,106,108,30,97,84,57,62,100,58,20,72,129,35,8,102,21,7,33,53,31,972,769,556,527,201,778
2020년05월_계_10~19세,"7,792",488,66,169,154,42,116,223,74,77,159,78,38,109,152,66,13,164,48,18,98,107,41,"1,368",885,809,807,359,"1,064"
2020년05월_계_20~29세,"8,445",452,79,205,172,55,156,217,90,114,173,99,37,123,191,81,15,122,47,14,114,96,49,"1,372","1,032",775,846,328,"1,391"
2020년05월_계_30~39세,"7,739",483,78,218,137,39,163,211,87,115,117,78,41,115,179,73,12,161,37,9,106,68,36,"1,355","1,150",730,738,305,898
2020년05월_계_40~49세,"11,799",766,105,338,276,71,221,315,125,151,257,173,63,179,278,116,30,321,89,27,177,189,70,"1,836","1,397","1,156","1,180",519,"1,374"
2020년05월_계_50~59세,"17,223","1,137",241,674,542,210,439,669,317,412,521,346,164,390,543,270,67,518,186,71,324,331,162,"2,120","1,602","1,378","1,521",634,"1,434"
2020년05월_계_60~69세,"17,804","1,297",313,843,637,213,615,978,372,459,623,419,177,444,583,272,94,586,285,69,498,425,188,"1,820","1,373","1,171","1,241",635,"1,174"
2020년05월_계_70~79세,"12,728",993,308,701,564,163,487,761,304,328,382,277,112,355,419,189,61,467,272,80,447,435,141,"1,110",711,751,814,470,626
2020년05월_계_80~89세,"8,252",667,181,546,426,162,361,494,232,232,236,206,86,216,308,126,36,340,160,77,318,319,105,509,383,459,440,255,372
2020년05월_계_90~99세,"1,231",95,25,79,75,16,61,73,42,33,31,21,11,45,41,21,5,53,25,10,54,59,24,82,51,58,50,37,54
2020년05월_계_100세 이상,59,8,1,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,2,1,6,0,2,5,3,1
2020년05월_남_총인구수,"48,286","3,244",697,"1,889","1,498",489,"1,328","1,992",850,"1,020","1,302",886,357,"1,021","1,365",632,177,"1,333",547,198,"1,019",991,410,"6,134","4,699","3,722","3,996","1,861","4,629"
2020년05월_남_연령구간인구수,"48,286","3,244",697,"1,889","1,498",489,"1,328","1,992",850,"1,020","1,302",886,357,"1,021","1,365",632,177,"1,333",547,198,"1,019",991,410,"6,134","4,699","3,722","3,996","1,861","4,629"
2020년05월_남_0~9세,"2,778",162,27,51,61,15,57,38,26,28,46,29,11,36,70,18,4,45,9,2,14,33,15,503,394,290,279,111,404
2020년05월_남_10~19세,"4,132",237,31,101,73,22,77,150,46,48,85,41,19,55,73,37,6,82,28,13,48,46,20,758,473,387,421,200,555
2020년05월_남_20~29세,"4,880",254,49,142,103,34,98,130,51,71,105,62,20,70,105,40,12,73,26,10,73,56,20,762,579,433,461,200,841
2020년05월_남_30~39세,"4,193",267,46,125,82,19,93,128,47,71,64,46,18,68,99,49,6,89,20,6,66,41,16,731,607,387,385,157,460
2020년05월_남_40~49세,"6,281",428,66,224,158,45,138,201,89,88,148,106,44,109,146,61,19,176,56,15,116,112,48,876,713,569,563,293,674
2020년05월_남_50~59세,"9,034",602,147,377,307,123,227,355,187,230,278,192,74,223,274,150,40,275,99,45,164,186,91,"1,036",820,683,825,328,696
2020년05월_남_60~69세,"8,673",648,141,427,326,104,311,472,189,249,315,221,103,216,299,140,50,283,142,37,242,217,98,823,678,530,558,271,583
2020년05월_남_70~79세,"5,448",415,130,282,246,67,197,337,132,151,170,113,44,162,173,83,28,198,109,35,195,186,66,472,302,304,351,213,287
2020년05월_남_80~89세,"2,623",211,55,153,126,56,119,164,73,79,82,69,24,72,111,50,12,100,56,32,93,100,31,160,127,129,141,82,116
2020년05월_남_90~99세,234,18,5,7,14,4,11,16,10,5,8,6,0,10,15,4,0,11,2,3,8,14,5,13,6,10,11,6,12
2020년05월_남_100세 이상,10,2,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년05월_여_총인구수,"50,149","3,445",744,"1,993","1,599",514,"1,391","2,035",850,963,"1,300",870,392,"1,027","1,459",619,164,"1,505",625,184,"1,151","1,093",438,"6,416","4,654","4,123","4,173","1,885","4,537"
2020년05월_여_연령구간인구수,"50,149","3,445",744,"1,993","1,599",514,"1,391","2,035",850,963,"1,300",870,392,"1,027","1,459",619,164,"1,505",625,184,"1,151","1,093",438,"6,416","4,654","4,123","4,173","1,885","4,537"
2020년05월_여_0~9세,"2,585",141,17,55,47,15,40,46,31,34,54,29,9,36,59,17,4,57,12,5,19,20,16,469,375,266,248,90,374
2020년05월_여_10~19세,"3,660",251,35,68,81,20,39,73,28,29,74,37,19,54,79,29,7,82,20,5,50,61,21,610,412,422,386,159,509
2020년05월_여_20~29세,"3,565",198,30,63,69,21,58,87,39,43,68,37,17,53,86,41,3,49,21,4,41,40,29,610,453,342,385,128,550
2020년05월_여_30~39세,"3,546",216,32,93,55,20,70,83,40,44,53,32,23,47,80,24,6,72,17,3,40,27,20,624,543,343,353,148,438
2020년05월_여_40~49세,"5,518",338,39,114,118,26,83,114,36,63,109,67,19,70,132,55,11,145,33,12,61,77,22,960,684,587,617,226,700
2020년05월_여_50~59세,"8,189",535,94,297,235,87,212,314,130,182,243,154,90,167,269,120,27,243,87,26,160,145,71,"1,084",782,695,696,306,738
2020년05월_여_60~69세,"9,131",649,172,416,311,109,304,506,183,210,308,198,74,228,284,132,44,303,143,32,256,208,90,997,695,641,683,364,591
2020년05월_여_70~79세,"7,280",578,178,419,318,96,290,424,172,177,212,164,68,193,246,106,33,269,163,45,252,249,75,638,409,447,463,257,339
2020년05월_여_80~89세,"5,629",456,126,393,300,106,242,330,159,153,154,137,62,144,197,76,24,240,104,45,225,219,74,349,256,330,299,173,256
2020년05월_여_90~99세,997,77,20,72,61,12,50,57,32,28,23,15,11,35,26,17,5,42,23,7,46,45,19,69,45,48,39,31,42
2020년05월_여_100세 이상,49,6,1,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,2,1,6,0,2,4,3,0
