카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년12월_계_총인구수,"87,679","5,027","5,701","13,029","5,953","4,160","9,819","3,902","5,306","10,783","11,789","7,862","4,348"
2021년12월_계_연령구간인구수,"87,679","5,027","5,701","13,029","5,953","4,160","9,819","3,902","5,306","10,783","11,789","7,862","4,348"
2021년12월_계_0~9세,"3,964",149,133,"1,224",151,187,397,95,139,422,308,397,362
2021년12월_계_10~19세,"4,824",282,252,794,382,297,521,188,339,575,592,365,237
2021년12월_계_20~29세,"10,278",727,622,"1,904",577,479,"1,114",348,529,"1,262","1,288","1,004",424
2021년12월_계_30~39세,"10,400",570,559,"2,673",476,400,"1,127",290,388,"1,077","1,155","1,081",604
2021년12월_계_40~49세,"11,575",720,688,"2,036",764,570,"1,202",425,640,"1,362","1,377","1,095",696
2021년12월_계_50~59세,"14,296",828,997,"1,792","1,000",664,"1,644",677,903,"1,792","2,027","1,379",593
2021년12월_계_60~69세,"16,111",882,"1,185","1,491","1,183",753,"1,877",803,"1,088","2,071","2,581","1,458",739
2021년12월_계_70~79세,"10,677",589,840,726,894,554,"1,309",696,849,"1,471","1,576",732,441
2021년12월_계_80~89세,"4,935",257,361,333,459,232,567,335,381,681,803,313,213
2021년12월_계_90~99세,604,23,62,55,67,21,60,45,49,66,80,38,38
2021년12월_계_100세 이상,15,0,2,1,0,3,1,0,1,4,2,0,1
2021년12월_남_총인구수,"42,877","2,532","2,826","6,331","2,908","2,022","4,654","1,921","2,535","5,231","5,821","3,951","2,145"
2021년12월_남_연령구간인구수,"42,877","2,532","2,826","6,331","2,908","2,022","4,654","1,921","2,535","5,231","5,821","3,951","2,145"
2021년12월_남_0~9세,"2,106",66,79,655,74,105,201,55,73,230,159,210,199
2021년12월_남_10~19세,"2,494",156,127,413,212,151,263,104,170,290,296,192,120
2021년12월_남_20~29세,"5,156",366,312,824,325,254,535,196,292,685,682,487,198
2021년12월_남_30~39세,"5,476",308,325,"1,309",271,213,601,163,218,552,667,552,297
2021년12월_남_40~49세,"6,242",409,395,"1,051",392,290,630,238,343,747,769,586,392
2021년12월_남_50~59세,"7,370",463,549,899,537,348,802,383,456,864,"1,047",720,302
2021년12월_남_60~69세,"7,572",403,537,716,553,333,853,396,482,975,"1,210",738,376
2021년12월_남_70~79세,"4,625",270,358,342,380,230,561,269,366,629,704,331,185
2021년12월_남_80~89세,"1,690",87,123,108,154,95,194,105,123,245,265,124,67
2021년12월_남_90~99세,143,4,20,14,10,3,14,12,12,12,22,11,9
2021년12월_남_100세 이상,3,0,1,0,0,0,0,0,0,2,0,0,0
2021년12월_여_총인구수,"44,802","2,495","2,875","6,698","3,045","2,138","5,165","1,981","2,771","5,552","5,968","3,911","2,203"
2021년12월_여_연령구간인구수,"44,802","2,495","2,875","6,698","3,045","2,138","5,165","1,981","2,771","5,552","5,968","3,911","2,203"
2021년12월_여_0~9세,"1,858",83,54,569,77,82,196,40,66,192,149,187,163
2021년12월_여_10~19세,"2,330",126,125,381,170,146,258,84,169,285,296,173,117
2021년12월_여_20~29세,"5,122",361,310,"1,080",252,225,579,152,237,577,606,517,226
2021년12월_여_30~39세,"4,924",262,234,"1,364",205,187,526,127,170,525,488,529,307
2021년12월_여_40~49세,"5,333",311,293,985,372,280,572,187,297,615,608,509,304
2021년12월_여_50~59세,"6,926",365,448,893,463,316,842,294,447,928,980,659,291
2021년12월_여_60~69세,"8,539",479,648,775,630,420,"1,024",407,606,"1,096","1,371",720,363
2021년12월_여_70~79세,"6,052",319,482,384,514,324,748,427,483,842,872,401,256
2021년12월_여_80~89세,"3,245",170,238,225,305,137,373,230,258,436,538,189,146
2021년12월_여_90~99세,461,19,42,41,57,18,46,33,37,54,58,27,29
2021년12월_여_100세 이상,12,0,1,1,0,3,1,0,1,2,2,0,1
