,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년07월_계_총인구수,"283,696","15,200","25,527","19,880","38,304","41,948","16,828","29,826","11,384","12,132","10,826","16,411","26,564","18,866"
2021년07월_계_연령구간인구수,"283,696","15,200","25,527","19,880","38,304","41,948","16,828","29,826","11,384","12,132","10,826","16,411","26,564","18,866"
2021년07월_계_0~9세,"18,687",780,"1,363",871,"2,028","3,954","1,190","2,497",390,427,409,"1,389","2,194","1,195"
2021년07월_계_10~19세,"22,697",710,"1,707","1,461","3,000","4,386","1,342","3,796",507,589,605,996,"2,294","1,304"
2021년07월_계_20~29세,"36,558","1,981","3,481","2,854","4,415","5,625","2,424","3,868","1,415","1,832","1,375","1,849","3,085","2,354"
2021년07월_계_30~39세,"33,728","2,112","3,132","1,920","3,707","5,309","2,016","3,109","1,323","1,507","1,103","2,957","3,270","2,263"
2021년07월_계_40~49세,"40,062","1,840","3,359","2,760","5,081","6,518","2,186","5,303","1,285","1,463","1,437","2,229","4,091","2,510"
2021년07월_계_50~59세,"52,703","2,889","4,994","4,178","7,354","8,113","3,369","5,373","2,037","2,199","1,920","2,586","4,364","3,327"
2021년07월_계_60~69세,"47,761","2,949","4,668","3,652","6,861","5,533","2,561","3,341","2,446","2,443","2,153","2,776","4,573","3,805"
2021년07월_계_70~79세,"21,787","1,351","2,027","1,603","3,669","1,813","1,182","1,723","1,298","1,156","1,284","1,195","1,954","1,532"
2021년07월_계_80~89세,"8,606",523,719,516,"1,979",606,482,726,603,452,485,386,637,492
2021년07월_계_90~99세,"1,073",62,73,62,208,89,73,87,74,64,54,46,100,81
2021년07월_계_100세 이상,34,3,4,3,2,2,3,3,6,0,1,2,2,3
2021년07월_남_총인구수,"140,241","7,719","13,066","10,222","18,546","20,608","8,228","14,619","5,617","6,043","5,292","8,055","13,031","9,195"
2021년07월_남_연령구간인구수,"140,241","7,719","13,066","10,222","18,546","20,608","8,228","14,619","5,617","6,043","5,292","8,055","13,031","9,195"
2021년07월_남_0~9세,"9,657",387,729,451,"1,054","2,046",630,"1,267",190,226,216,711,"1,135",615
2021년07월_남_10~19세,"11,807",338,905,797,"1,539","2,265",680,"1,998",279,302,315,504,"1,190",695
2021년07월_남_20~29세,"19,601","1,044","1,893","1,625","2,377","3,002","1,311","2,059",773,958,735,919,"1,625","1,280"
2021년07월_남_30~39세,"17,582","1,185","1,724","1,076","1,995","2,542","1,049","1,480",738,859,603,"1,544","1,632","1,155"
2021년07월_남_40~49세,"19,932","1,021","1,766","1,419","2,474","3,028","1,046","2,441",665,790,796,"1,164","2,047","1,275"
2021년07월_남_50~59세,"24,976","1,434","2,468","2,084","3,457","3,736","1,523","2,646","1,016","1,062",923,"1,154","2,031","1,442"
2021년07월_남_60~69세,"23,482","1,464","2,326","1,820","3,468","2,884","1,278","1,637","1,138","1,169",997,"1,342","2,171","1,788"
2021년07월_남_70~79세,"10,060",650,978,750,"1,538",896,532,768,598,519,549,585,959,738
2021년07월_남_80~89세,"2,930",180,269,193,596,198,160,298,200,146,149,130,220,191
2021년07월_남_90~99세,211,15,8,7,48,11,17,25,20,12,9,2,21,16
2021년07월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021년07월_여_총인구수,"143,455","7,481","12,461","9,658","19,758","21,340","8,600","15,207","5,767","6,089","5,534","8,356","13,533","9,671"
2021년07월_여_연령구간인구수,"143,455","7,481","12,461","9,658","19,758","21,340","8,600","15,207","5,767","6,089","5,534","8,356","13,533","9,671"
2021년07월_여_0~9세,"9,030",393,634,420,974,"1,908",560,"1,230",200,201,193,678,"1,059",580
2021년07월_여_10~19세,"10,890",372,802,664,"1,461","2,121",662,"1,798",228,287,290,492,"1,104",609
2021년07월_여_20~29세,"16,957",937,"1,588","1,229","2,038","2,623","1,113","1,809",642,874,640,930,"1,460","1,074"
2021년07월_여_30~39세,"16,146",927,"1,408",844,"1,712","2,767",967,"1,629",585,648,500,"1,413","1,638","1,108"
2021년07월_여_40~49세,"20,130",819,"1,593","1,341","2,607","3,490","1,140","2,862",620,673,641,"1,065","2,044","1,235"
2021년07월_여_50~59세,"27,727","1,455","2,526","2,094","3,897","4,377","1,846","2,727","1,021","1,137",997,"1,432","2,333","1,885"
2021년07월_여_60~69세,"24,279","1,485","2,342","1,832","3,393","2,649","1,283","1,704","1,308","1,274","1,156","1,434","2,402","2,017"
2021년07월_여_70~79세,"11,727",701,"1,049",853,"2,131",917,650,955,700,637,735,610,995,794
2021년07월_여_80~89세,"5,676",343,450,323,"1,383",408,322,428,403,306,336,256,417,301
2021년07월_여_90~99세,862,47,65,55,160,78,56,62,54,52,45,44,79,65
2021년07월_여_100세 이상,31,2,4,3,2,2,1,3,6,0,1,2,2,3
