카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년09월_계_총인구수,"100,415","6,263","1,655","2,182","1,630","1,133","3,583","2,646","3,947","5,178","2,463","1,762","2,299","5,360","14,507","6,969","16,713","15,573","6,552"
2020년09월_계_연령구간인구수,"100,415","6,263","1,655","2,182","1,630","1,133","3,583","2,646","3,947","5,178","2,463","1,762","2,299","5,360","14,507","6,969","16,713","15,573","6,552"
2020년09월_계_0~9세,"6,265",151,37,45,62,30,120,65,131,143,49,57,72,195,"1,096",511,"1,693","1,550",258
2020년09월_계_10~19세,"8,386",326,115,122,100,66,196,107,209,267,89,59,119,349,"1,475",649,"1,949","1,787",402
2020년09월_계_20~29세,"9,574",436,188,128,132,60,224,151,274,385,114,98,165,474,"1,688",737,"2,041","1,730",549
2020년09월_계_30~39세,"9,547",352,86,128,124,66,222,140,210,286,106,88,162,408,"1,589",769,"2,313","1,926",572
2020년09월_계_40~49세,"14,071",622,167,254,216,105,349,215,384,480,200,138,261,704,"2,313","1,142","3,015","2,720",786
2020년09월_계_50~59세,"17,252","1,139",277,402,322,224,636,424,688,969,382,272,456,982,"2,479","1,163","2,616","2,539","1,282"
2020년09월_계_60~69세,"16,821","1,478",382,487,357,257,791,591,885,"1,158",544,414,515,"1,046","2,030",967,"1,733","1,807","1,379"
2020년09월_계_70~79세,"11,263","1,043",255,362,173,187,584,523,666,849,535,368,362,730,"1,224",649,897,992,864
2020년09월_계_80~89세,"6,271",606,125,216,128,120,412,373,437,530,378,229,164,409,541,346,409,450,398
2020년09월_계_90~99세,904,107,23,37,15,18,48,56,58,103,64,39,18,61,63,32,43,60,59
2020년09월_계_100세 이상,61,3,0,1,1,0,1,1,5,8,2,0,5,2,9,4,4,12,3
2020년09월_남_총인구수,"50,881","3,193",875,"1,153",875,605,"1,854","1,315","1,998","2,619","1,209",909,"1,152","2,797","7,309","3,469","8,412","7,721","3,416"
2020년09월_남_연령구간인구수,"50,881","3,193",875,"1,153",875,605,"1,854","1,315","1,998","2,619","1,209",909,"1,152","2,797","7,309","3,469","8,412","7,721","3,416"
2020년09월_남_0~9세,"3,159",79,18,16,33,13,58,40,72,86,37,30,42,98,558,246,839,772,122
2020년09월_남_10~19세,"4,357",165,62,60,54,39,106,64,111,130,43,36,67,185,741,332,"1,015",945,202
2020년09월_남_20~29세,"5,620",284,143,77,87,36,136,87,158,229,74,63,93,298,984,405,"1,162",955,349
2020년09월_남_30~39세,"5,154",214,45,82,69,44,140,85,125,167,60,49,94,244,850,413,"1,158",963,352
2020년09월_남_40~49세,"7,733",364,103,168,142,71,209,132,234,272,121,102,158,430,"1,192",590,"1,574","1,374",497
2020년09월_남_50~59세,"9,183",629,156,250,184,138,358,237,370,545,208,150,256,541,"1,255",609,"1,316","1,296",685
2020년09월_남_60~69세,"8,247",742,200,242,181,134,406,299,456,596,273,221,232,503,966,456,828,840,672
2020년09월_남_70~79세,"5,002",476,108,172,82,86,289,237,302,386,231,167,154,345,543,273,373,417,361
2020년09월_남_80~89세,"2,218",212,35,77,40,42,145,118,159,186,142,83,52,142,202,137,138,144,164
2020년09월_남_90~99세,195,26,5,9,3,2,7,16,10,21,19,8,4,11,16,7,8,11,12
2020년09월_남_100세 이상,13,2,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0
2020년09월_여_총인구수,"49,534","3,070",780,"1,029",755,528,"1,729","1,331","1,949","2,559","1,254",853,"1,147","2,563","7,198","3,500","8,301","7,852","3,136"
2020년09월_여_연령구간인구수,"49,534","3,070",780,"1,029",755,528,"1,729","1,331","1,949","2,559","1,254",853,"1,147","2,563","7,198","3,500","8,301","7,852","3,136"
2020년09월_여_0~9세,"3,106",72,19,29,29,17,62,25,59,57,12,27,30,97,538,265,854,778,136
2020년09월_여_10~19세,"4,029",161,53,62,46,27,90,43,98,137,46,23,52,164,734,317,934,842,200
2020년09월_여_20~29세,"3,954",152,45,51,45,24,88,64,116,156,40,35,72,176,704,332,879,775,200
2020년09월_여_30~39세,"4,393",138,41,46,55,22,82,55,85,119,46,39,68,164,739,356,"1,155",963,220
2020년09월_여_40~49세,"6,338",258,64,86,74,34,140,83,150,208,79,36,103,274,"1,121",552,"1,441","1,346",289
2020년09월_여_50~59세,"8,069",510,121,152,138,86,278,187,318,424,174,122,200,441,"1,224",554,"1,300","1,243",597
2020년09월_여_60~69세,"8,574",736,182,245,176,123,385,292,429,562,271,193,283,543,"1,064",511,905,967,707
2020년09월_여_70~79세,"6,261",567,147,190,91,101,295,286,364,463,304,201,208,385,681,376,524,575,503
2020년09월_여_80~89세,"4,053",394,90,139,88,78,267,255,278,344,236,146,112,267,339,209,271,306,234
2020년09월_여_90~99세,709,81,18,28,12,16,41,40,48,82,45,31,14,50,47,25,35,49,47
2020년09월_여_100세 이상,48,1,0,1,1,0,1,1,4,7,1,0,5,2,7,3,3,8,3
